"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,B2,US 7988695 B2,157-189-642-310-373,2011-08-02,2011,US 61454006 A,2006-12-21,US 61454006 A;;US 75254405 P,2005-12-21,Articulated delivery instrument,"An articulated delivery instrument for the proper positioning and placements of inserts, for example, an insert such as a lumbar interbody fusion device (“LIF”). The instrument may comprise a body and a first member slidingly coupled to the body. A rotating member for releasably retaining an insert may be pivotally coupled to a distal end of the body and the first member. A first actuator may function to translate the first member relative to the body. Translation of the first member relative to the body may rotate the rotating member relative to the instrument. A second actuator may function to transition the rotating member between release and retention of the insert.",THEKEN SPINE LLC,DYE JUSTIN,INNOVATIVE SPINAL TECHNOLOGIES (2006-12-20);;THEKEN SPINE LLC (2009-09-10),https://lens.org/157-189-642-310-373,Granted Patent,yes,108,60,2,2,0,A61F2/4611;;A61F2/4611;;A61F2/4465;;A61F2/4465;;A61F2002/30131;;A61F2002/30131;;A61F2002/30538;;A61F2002/30538;;A61F2002/30593;;A61F2002/30593;;A61F2002/4627;;A61F2002/4627;;A61F2002/4628;;A61F2002/4628;;A61F2230/0013;;A61F2230/0013;;A61F2250/0006;;A61F2250/0006,A61B17/70,606 86A;;606/99,0,0,,,,ACTIVE
2,US,A1,US 2008/0065219 A1,092-219-422-206-740,2008-03-13,2008,US 76786807 A,2007-06-25,US 76786807 A;;US 82508906 P;;US 82508406 P,2006-09-08,OFFSET RADIUS LORDOSIS,"A vertebral body replacement or spacer that re-creates a lordosis angle (or other angle) of a human spine. An embodiment of the spacer may comprise contoured superior and inferior bearing surfaces. More particularly, the contoured surfaces may be defined by compound curves such as two radii substantially orthogonal to each other. As a result, the bearing surfaces may conform to the convex end plates of adjacent vertebra. In another embodiment, the present invention may provide a method of establishing a lordosis angle. The method may comprise inserting a spacer into an intervertebral space and positioning the spacer in such a manner that the contoured surfaces generally correspond to the end plates of the adjacent vertebra. However, the spacers and methods of the embodiments of the present invention may be used to re-create other angles in the human spine.",DYE JUSTIN,DYE JUSTIN,INNOVATIVE SPINAL TECHNOLOGIES (2007-08-15);;THEKEN SPINE LLC (2009-09-10),https://lens.org/092-219-422-206-740,Patent Application,yes,100,260,2,5,0,A61F2/4611;;A61F2/4611;;A61F2/4465;;A61F2/4465;;A61F2002/2835;;A61F2002/2835;;A61F2002/3008;;A61F2002/3008;;A61F2002/30133;;A61F2002/30133;;A61F2002/30538;;A61F2002/30538;;A61F2002/30593;;A61F2002/30593;;A61F2002/30616;;A61F2002/30616;;A61F2002/30787;;A61F2002/30787;;A61F2002/30841;;A61F2002/30841;;A61F2002/4627;;A61F2002/4627;;A61F2230/0015;;A61F2230/0015;;A61F2250/0006;;A61F2250/0006;;A61F2250/0098;;A61F2250/0098,A61F2/44,623/17.16,0,0,,,,ACTIVE
3,US,B2,US 8506636 B2,068-855-916-105-947,2013-08-13,2013,US 76786807 A,2007-06-25,US 76786807 A;;US 82508906 P;;US 82508406 P,2006-09-08,Offset radius lordosis,"A vertebral body replacement or spacer that re-creates a lordosis angle (or other angle) of a human spine. An embodiment of the spacer may comprise contoured superior and inferior bearing surfaces. More particularly, the contoured surfaces may be defined by compound curves such as two radii substantially orthogonal to each other. As a result, the bearing surfaces may conform to the convex end plates of adjacent vertebra. In another embodiment, the present invention may provide a method of establishing a lordosis angle. The method may comprise inserting a spacer into an intervertebral space and positioning the spacer in such a manner that the contoured surfaces generally correspond to the end plates of the adjacent vertebra. However, the spacers and methods of the embodiments of the present invention may be used to re-create other angles in the human spine.",DYE JUSTIN;;THEKEN SPINE LLC,DYE JUSTIN,INNOVATIVE SPINAL TECHNOLOGIES (2007-08-15);;THEKEN SPINE LLC (2009-09-10),https://lens.org/068-855-916-105-947,Granted Patent,yes,107,36,2,5,0,A61F2/4611;;A61F2/4611;;A61F2/4465;;A61F2/4465;;A61F2002/2835;;A61F2002/2835;;A61F2002/3008;;A61F2002/3008;;A61F2002/30133;;A61F2002/30133;;A61F2002/30538;;A61F2002/30538;;A61F2002/30593;;A61F2002/30593;;A61F2002/30616;;A61F2002/30616;;A61F2002/30787;;A61F2002/30787;;A61F2002/30841;;A61F2002/30841;;A61F2002/4627;;A61F2002/4627;;A61F2230/0015;;A61F2230/0015;;A61F2250/0006;;A61F2250/0006;;A61F2250/0098;;A61F2250/0098,A61F2/44,623/17.16;;623/17.11,0,0,,,,ACTIVE
4,US,A1,US 2007/0142843 A1,156-193-101-191-32X,2007-06-21,2007,US 61454006 A,2006-12-21,US 61454006 A;;US 75254405 P,2005-12-21,ARTICULATED DELIVERY INSTRUMENT,"An articulated delivery instrument for the proper positioning and placements of inserts, for example, an insert such as a lumbar interbody fusion device (“LIF”). The instrument may comprise a body and a first member slidingly coupled to the body. A rotating member for releasably retaining an insert may be pivotally coupled to a distal end of the body and the first member. A first actuator may function to translate the first member relative to the body. Translation of the first member relative to the body may rotate the rotating member relative to the instrument. A second actuator may function to transition the rotating member between release and retention of the insert.",DYE JUSTIN,DYE JUSTIN,INNOVATIVE SPINAL TECHNOLOGIES (2006-12-20);;THEKEN SPINE LLC (2009-09-10),https://lens.org/156-193-101-191-32X,Patent Application,yes,98,140,2,2,0,A61F2/4611;;A61F2/4611;;A61F2/4465;;A61F2/4465;;A61F2002/30131;;A61F2002/30131;;A61F2002/30538;;A61F2002/30538;;A61F2002/30593;;A61F2002/30593;;A61F2002/4627;;A61F2002/4627;;A61F2002/4628;;A61F2002/4628;;A61F2230/0013;;A61F2230/0013;;A61F2250/0006;;A61F2250/0006,A61F2/00,606/99,0,0,,,,ACTIVE
5,US,B2,US 7976549 B2,172-831-933-500-272,2011-07-12,2011,US 69069207 A,2007-03-23,US 69069207 A;;US 78531806 P;;US 82508406 P;;US 82508906 P,2006-03-23,Instruments for delivering spinal implants,"A method, apparatus, and system are provided to place an insert in a space between boney structures. The insert may be rotatably coupled to the delivery instrument. The delivery instrument may comprise a body and an articulating member. The articulating member may slidably interact with the insert to rotate the insert about a pivot point. A first actuator is operatively coupled to the articulating member such that actuating the first actuator translates the articulating member relative to the body. An engagement member may be coupled to the body and adapted to releasably and rotatably secure the insert to the delivery instrument. The articulating member and the engagement member may be offset from each other in such a manner that when the articulating member engages the insert, the insert rotates relative to the delivery instrument. Alternatively, the insert may be coupled to the delivery instrument via rotatable attachment members.",THEKEN SPINE LLC,DYE JUSTIN;;DYE NOELLE;;COLLERAN DENNIS,INNOVATIVE SPINAL TECHNOLOGIES (2007-04-24);;THEKEN SPINE LLC (2009-09-10),https://lens.org/172-831-933-500-272,Granted Patent,yes,103,72,2,5,0,A61F2/4465;;A61F2/4465;;A61F2/4611;;A61F2/4611;;A61F2002/30112;;A61F2002/30112;;A61F2002/30168;;A61F2002/30168;;A61F2002/30172;;A61F2002/30172;;A61F2002/30428;;A61F2002/30428;;A61F2002/30471;;A61F2002/30471;;A61F2002/30538;;A61F2002/30538;;A61F2002/30601;;A61F2002/30601;;A61F2002/30772;;A61F2002/30772;;A61F2002/4627;;A61F2002/4627;;A61F2002/4681;;A61F2002/4681;;A61F2220/0025;;A61F2220/0025;;A61F2220/0091;;A61F2220/0091;;A61F2230/0004;;A61F2230/0004;;A61F2230/0043;;A61F2230/0043;;A61F2230/0052;;A61F2230/0052;;A61F2250/0006;;A61F2250/0006,A61B17/58;;A61B17/60;;A61F2/00,606/99;;X606 86 A,0,0,,,,ACTIVE
6,US,A1,US 2007/0225726 A1,127-392-218-431-737,2007-09-27,2007,US 69069207 A,2007-03-23,US 69069207 A;;US 78531806 P;;US 82508406 P;;US 82508906 P,2006-03-23,INSTRUMENTS FOR DELIVERING SPINAL IMPLANTS,"A method, apparatus, and system are provided to place an insert in a space between boney structures. The insert may be rotatably coupled to the delivery instrument. The delivery instrument may comprise a body and an articulating member. The articulating member may slidably interact with the insert to rotate the insert about a pivot point. A first actuator is operatively coupled to the articulating member such that actuating the first actuator translates the articulating member relative to the body. An engagement member may be coupled to the body and adapted to releasably and rotatably secure the insert to the delivery instrument. The articulating member and the engagement member may be offset from each other in such a manner that when the articulating member engages the insert, the insert rotates relative to the delivery instrument. Alternatively, the insert may be coupled to the delivery instrument via rotatable attachment members.",DYE JUSTIN;;DYE NOELLE;;COLLERAN DENNIS,DYE JUSTIN;;DYE NOELLE;;COLLERAN DENNIS,INNOVATIVE SPINAL TECHNOLOGIES (2007-04-24);;THEKEN SPINE LLC (2009-09-10),https://lens.org/127-392-218-431-737,Patent Application,yes,99,203,2,5,0,A61F2/4465;;A61F2/4465;;A61F2/4611;;A61F2/4611;;A61F2002/30112;;A61F2002/30112;;A61F2002/30168;;A61F2002/30168;;A61F2002/30172;;A61F2002/30172;;A61F2002/30428;;A61F2002/30428;;A61F2002/30471;;A61F2002/30471;;A61F2002/30538;;A61F2002/30538;;A61F2002/30601;;A61F2002/30601;;A61F2002/30772;;A61F2002/30772;;A61F2002/4627;;A61F2002/4627;;A61F2002/4681;;A61F2002/4681;;A61F2220/0025;;A61F2220/0025;;A61F2220/0091;;A61F2220/0091;;A61F2230/0004;;A61F2230/0004;;A61F2230/0043;;A61F2230/0043;;A61F2230/0052;;A61F2230/0052;;A61F2250/0006;;A61F2250/0006,A61F2/00,606/99,0,0,,,,ACTIVE
7,DE,D1,DE 69934060 D1,038-525-766-298-842,2007-01-04,2007,DE 69934060 T,1999-09-08,US 15012298 A,1998-09-09,Femoraler Schaftbausatz für eine modulare Knieprothese,,DEPUY PRODUCTS INC,O'NEIL MICHAEL;;DYE JUSTIN,,https://lens.org/038-525-766-298-842,Granted Patent,no,0,0,8,8,0,A61F2/3859;;A61F2002/30154;;A61F2002/30266;;A61F2002/30405;;A61F2002/30538;;A61F2002/30604;;A61F2002/30616;;A61F2002/30708;;A61F2002/30729;;A61F2002/30828;;A61F2002/30878;;A61F2002/30886;;A61F2002/4638;;A61F2220/0025;;A61F2220/0041;;A61F2230/0021;;A61F2230/0082;;A61F2250/0006;;A61F2250/0084;;A61F2002/30433;;A61F2/3859;;A61F2002/30886;;A61F2250/0006;;A61F2220/0041;;A61F2002/30266;;A61F2002/30616;;A61F2230/0082;;A61F2002/30878;;A61F2002/30708;;A61F2002/30154;;A61F2220/0025;;A61F2002/30538;;A61F2002/30729;;A61F2002/30828;;A61F2230/0021;;A61F2002/4638;;A61F2250/0084;;A61F2002/30405;;A61F2002/30604;;A61F2002/30433,A61F2/38;;A61F2/00;;A61F2/02;;A61F2/30;;A61F2/46,,0,0,,,,EXPIRED
8,DE,T2,DE 69934060 T2,048-529-529-128-103,2007-05-03,2007,DE 69934060 T,1999-09-08,US 15012298 A,1998-09-09,Femoraler Schaftbausatz für eine modulare Knieprothese,,DEPUY PRODUCTS INC,O'NEIL MICHAEL;;DYE JUSTIN,,https://lens.org/048-529-529-128-103,Granted Patent,no,0,0,8,8,0,A61F2/3859;;A61F2002/30154;;A61F2002/30266;;A61F2002/30405;;A61F2002/30538;;A61F2002/30604;;A61F2002/30616;;A61F2002/30708;;A61F2002/30729;;A61F2002/30828;;A61F2002/30878;;A61F2002/30886;;A61F2002/4638;;A61F2220/0025;;A61F2220/0041;;A61F2230/0021;;A61F2230/0082;;A61F2250/0006;;A61F2250/0084;;A61F2002/30433;;A61F2/3859;;A61F2002/30886;;A61F2250/0006;;A61F2220/0041;;A61F2002/30266;;A61F2002/30616;;A61F2230/0082;;A61F2002/30878;;A61F2002/30708;;A61F2002/30154;;A61F2220/0025;;A61F2002/30538;;A61F2002/30729;;A61F2002/30828;;A61F2230/0021;;A61F2002/4638;;A61F2250/0084;;A61F2002/30405;;A61F2002/30604;;A61F2002/30433,A61F2/38;;A61F2/00;;A61F2/02;;A61F2/30;;A61F2/46,,0,0,,,,EXPIRED
9,US,B1,US 6527807 B1,141-252-902-273-619,2003-03-04,2003,US 15012298 A,1998-09-09,US 15012298 A,1998-09-09,Femoral stem attachment for a modular knee prosthesis,"
    The present invention provides a knee prosthesis having a femoral component having a pair of spaced apart condylar portions and a boss structure extending between the condylar portions. The boss structure has a top surface that extends generally horizontally in a transverse plane and an opposed inferior surface. The knee prosthesis also includes a stem component having a proximal end and a distal end. The knee prosthesis further includes an attachment nut for securing the stem member to the femoral component. 
",JOHNSON & JOHNSON PROFESSIONAL,O'NEIL MICHAEL;;DYE JUSTIN,DEPUY ORTHOPAEDICS INC (1999-07-03);;JOHNSON & JOHNSON PROFESSIONAL INC (1998-09-08),https://lens.org/141-252-902-273-619,Granted Patent,yes,51,83,8,8,0,A61F2/3859;;A61F2002/30154;;A61F2002/30266;;A61F2002/30405;;A61F2002/30538;;A61F2002/30604;;A61F2002/30616;;A61F2002/30708;;A61F2002/30729;;A61F2002/30828;;A61F2002/30878;;A61F2002/30886;;A61F2002/4638;;A61F2220/0025;;A61F2220/0041;;A61F2230/0021;;A61F2230/0082;;A61F2250/0006;;A61F2250/0084;;A61F2002/30433;;A61F2/3859;;A61F2002/30886;;A61F2250/0006;;A61F2220/0041;;A61F2002/30266;;A61F2002/30616;;A61F2230/0082;;A61F2002/30878;;A61F2002/30708;;A61F2002/30154;;A61F2220/0025;;A61F2002/30538;;A61F2002/30729;;A61F2002/30828;;A61F2230/0021;;A61F2002/4638;;A61F2250/0084;;A61F2002/30405;;A61F2002/30604;;A61F2002/30433,A61F2/00;;A61F2/02;;A61F2/30;;A61F2/38;;A61F2/46,623/20.15,1,0,,,"Johnson & Johnson Orthopaedics Research & Development ""P.F.C.(R) Modular Knee System Research Data and Laboratory Testing,"" cover and pp. 8, 36 and 37 (1989).",EXPIRED
10,WO,A1,WO 2004/002333 A1,006-222-134-768-51X,2004-01-08,2004,US 0319098 W,2003-06-19,US 18482902 A,2002-06-28,SOFT TISSUE REPAIR TOOL,"A surgical tool includes a member, a guide wire received within the member by a friction fit, and a guide wire pusher for application of a force to the guide wire to overcome the friction fit and advance the guide wire relative to the member. The member includes a guide wire retainer that provides the friction fit and allows the guide wire to be held in such a way that it is pre-assembled and secure while the tool is being introduced to a surgical site. At the same time, once a hole is drilled into bone, the guide wire retainer allows the remainder of the tool to be removed leaving the guide wire in place at the site. The guide wire pusher allows the guide wire to be impacted into the bone before drilling and limits any possibility of drilling past the end of the guide wire.",SMITH & NEPHEW INC,GABRIEL STEFAN;;DYE JUSTIN,,https://lens.org/006-222-134-768-51X,Patent Application,yes,5,0,12,12,0,A61B17/1637;;A61B17/1697;;A61B17/1714;;Y10S606/916;;A61B17/1714;;A61B17/1697;;A61B17/1637;;Y10S606/916,A61B17/16;;A61B17/17;;A61B17/56,,0,0,,,,PENDING
