"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,WO,A1,WO 2015/184424 A1,003-725-418-392-847,2015-12-03,2015,US 2015/0033429 W,2015-05-30,US 201462005290 P,2014-05-30,BIPOLAR ELECTROSURGERY ACTUATOR,"A system for selectively actuating a heating current conductible from a bipolar generator to a surgical tool may comprise and actuator assembly having an output receptacle, an input plug, and an actuating component. The output receptacle may be configured to receive a complementary tool plus of the surgical tool. The input plug may be configured for mating with a generator receptacle receivable of the heating current from the bipolar generator. The generator receptacle may be complimentary to the tool plug. The actuating component may have at least one of a switch and a lever arm and may be configured to communicate with the bipolar generator for selectively actuating the heating current to flow from the input plug to the output receptacle upon engagement of the switch of the lever arm.",BIPAD LLC,CORNACCHIA LOUIS,,https://lens.org/003-725-418-392-847,Patent Application,yes,10,3,19,19,0,A61B18/1206;;A61B18/1442;;A61B2018/00178;;A61B2018/00589;;A61B2018/00595;;A61B2018/00601;;A61B2018/00708;;A61B2018/00922;;A61B2018/00928;;A61B2018/00958;;A61B2018/1462;;A61B18/1206;;A61B18/1442;;A61B18/1206;;A61B18/1442;;A61B2018/00178;;A61B2018/00589;;A61B2018/00595;;A61B2018/00601;;A61B2018/00708;;A61B2018/00922;;A61B2018/00928;;A61B2018/0094;;A61B2018/00958;;A61B2018/1462;;A61B2018/00946;;A61B2018/00952;;A61B2018/126,A61B18/12,,1,0,,,See also references of EP 3148466A4,PENDING
2,US,A1,US 2016/0249973 A1,159-134-223-907-620,2016-09-01,2016,US 201615150155 A,2016-05-09,US 201615150155 A;;US 201514726490 A;;US 201462005290 P,2014-05-30,BIPOLAR ELECTROSURGERY ACTUATOR,"A system for selectively actuating a heating current conductible from a bipolar generator to a surgical tool may comprise an actuator assembly having an output receptacle, an input plug, and an actuating component. The output receptacle may be configured to receive a complementary tool plug of the surgical tool. The input plug may be configured for mating with a generator receptacle receivable of the heating current from the bipolar generator. The generator receptacle may be complementary to the tool plug. The actuating component may have at least one of a switch and a lever arm and may be configured to communicate with the bipolar generator for selectively actuating the heating current to flow from the input plug to the output receptacle upon engagement of the switch or the lever arm.",BIPAD LLC,CORNACCHIA LOUIS,BIPAD INC (2017-11-20),https://lens.org/159-134-223-907-620,Patent Application,yes,4,0,19,19,0,A61B18/1206;;A61B18/1442;;A61B2018/00178;;A61B2018/00589;;A61B2018/00595;;A61B2018/00601;;A61B2018/00708;;A61B2018/00922;;A61B2018/00928;;A61B2018/00958;;A61B2018/1462;;A61B18/1206;;A61B18/1442;;A61B18/1206;;A61B18/1442;;A61B2018/00178;;A61B2018/00589;;A61B2018/00595;;A61B2018/00601;;A61B2018/00708;;A61B2018/00922;;A61B2018/00928;;A61B2018/0094;;A61B2018/00958;;A61B2018/1462;;A61B2018/00946;;A61B2018/00952;;A61B2018/126,A61B18/14,,0,0,,,,ACTIVE
3,EP,A1,EP 3148466 A1,049-245-441-199-486,2017-04-05,2017,EP 15798750 A,2015-05-30,US 201462005290 P;;US 2015/0033429 W,2014-05-30,BIPOLAR ELECTROSURGERY ACTUATOR,,BIPAD LLC,CORNACCHIA LOUIS,"BIPAD, INC. (2020-06-03)",https://lens.org/049-245-441-199-486,Patent Application,yes,0,0,19,19,0,A61B18/1206;;A61B18/1442;;A61B2018/00178;;A61B2018/00589;;A61B2018/00595;;A61B2018/00601;;A61B2018/00708;;A61B2018/00922;;A61B2018/00928;;A61B2018/00958;;A61B2018/1462;;A61B18/1206;;A61B18/1442;;A61B18/1206;;A61B18/1442;;A61B2018/00178;;A61B2018/00589;;A61B2018/00595;;A61B2018/00601;;A61B2018/00708;;A61B2018/00922;;A61B2018/00928;;A61B2018/0094;;A61B2018/00958;;A61B2018/1462;;A61B2018/00946;;A61B2018/00952;;A61B2018/126,A61B18/12,,0,0,,,,ACTIVE
4,US,A1,US 2015/0342667 A1,087-069-835-604-198,2015-12-03,2015,US 201514726490 A,2015-05-30,US 201514726490 A;;US 201462005290 P,2014-05-30,BIPOLAR ELECTROSURGERY ACTUATOR,"A system for selectively actuating a heating current conductible from a bipolar generator to a surgical tool may comprise an actuator assembly having an output receptacle, an input plug, and an actuating component. The output receptacle may be configured to receive a complementary tool plug of the surgical tool. The input plug may be configured for mating with a generator receptacle receivable of the heating current from the bipolar generator. The generator receptacle may be complementary to the tool plug. The actuating component may have at least one of a switch and a lever arm and may be configured to communicate with the bipolar generator for selectively actuating the heating current to flow from the input plug to the output receptacle upon engagement of the switch or the lever arm.",BIPAD LLC,CORNACCHIA LOUIS,BIPAD INC (2015-12-03),https://lens.org/087-069-835-604-198,Patent Application,yes,7,9,19,19,0,A61B18/1206;;A61B18/1442;;A61B2018/00178;;A61B2018/00589;;A61B2018/00595;;A61B2018/00601;;A61B2018/00708;;A61B2018/00922;;A61B2018/00928;;A61B2018/00958;;A61B2018/1462;;A61B18/1206;;A61B18/1442;;A61B18/1206;;A61B18/1442;;A61B2018/00178;;A61B2018/00589;;A61B2018/00595;;A61B2018/00601;;A61B2018/00708;;A61B2018/00922;;A61B2018/00928;;A61B2018/0094;;A61B2018/00958;;A61B2018/1462;;A61B2018/00946;;A61B2018/00952;;A61B2018/126,A61B18/14;;A61B18/12,,0,0,,,,ACTIVE
5,EP,A4,EP 3148466 A4,175-001-752-762-51X,2018-01-24,2018,EP 15798750 A,2015-05-30,US 201462005290 P;;US 2015/0033429 W,2014-05-30,BIPOLAR ELECTROSURGERY ACTUATOR,,BIPAD LLC,CORNACCHIA LOUIS,"BIPAD, INC. (2020-06-03)",https://lens.org/175-001-752-762-51X,Search Report,no,6,0,19,19,0,A61B18/1206;;A61B18/1442;;A61B2018/00178;;A61B2018/00589;;A61B2018/00595;;A61B2018/00601;;A61B2018/00708;;A61B2018/00922;;A61B2018/00928;;A61B2018/00958;;A61B2018/1462;;A61B18/1206;;A61B18/1442;;A61B18/1206;;A61B18/1442;;A61B2018/00178;;A61B2018/00589;;A61B2018/00595;;A61B2018/00601;;A61B2018/00708;;A61B2018/00922;;A61B2018/00928;;A61B2018/0094;;A61B2018/00958;;A61B2018/1462;;A61B2018/00946;;A61B2018/00952;;A61B2018/126,A61B18/14,,1,0,,,See also references of WO 2015184424A1,ACTIVE
6,RU,C2,RU 2709679 C2,109-651-279-433-948,2019-12-19,2019,RU 2016150485 A,2015-05-30,US 201462005290 P;;US 2015/0033429 W,2014-05-30,BIPOLAR ELECTROSURGICAL ACTUATOR,"FIELD: medicine.SUBSTANCE: group of inventions relates to medical equipment, specifically to means for bipolar electrosurgery. Actuator assembly adapted for use with bipolar electrosurgical instrument, comprises connector, intended for installation of actuating mechanism assembly on tool fork, and switch on connector, which is made with possibility of movement between open position and closed position, wherein the connector is configured to be connected to the electric current generating device for supplying electric current to the tool yoke in response to the switch movement from the open position to the closed position, and actuator lever characterized by the presence of a proximal portion which is configured to be mounted on the connector to move the actuator lever by the user's hand to the switch in order to bring the breaker into a closed position by contacting the switch with the actuator lever, wherein the actuator lever and the connector are made so that the actuator lever extends from its proximal portion towards the distal portion of one of the plates and is spaced from outer surface of said plate to allow movement of actuator lever in direction of said outer surface and into contact with switch when actuator assembly is mounted on tool yoke. Electrosurgical device comprises a bipolar electrosurgical instrument comprising tweezers, having a tool fork on the proximal portion and two plates mounted on the instrument yoke, with opposing inner surfaces, wherein each said plate passes from the instrument plug to the electrode on its distal portion and is characterized by the presence of an outer surface with a handle on its intermediate portion so that the user can force the tweezers by hand, wherein tool yoke is electrically connected with electrodes for application of electric current applied to tool yoke when user drives tweezers by means of handles and actuator assembly.EFFECT: use of inventions enables reducing a risk and delaying an operation.19 cl, 11 dwg",BIPAD LLC,CORNACCHIA LOUIS,,https://lens.org/109-651-279-433-948,Granted Patent,no,6,0,19,19,0,A61B18/1206;;A61B18/1442;;A61B2018/00178;;A61B2018/00589;;A61B2018/00595;;A61B2018/00601;;A61B2018/00708;;A61B2018/00922;;A61B2018/00928;;A61B2018/00958;;A61B2018/1462;;A61B18/1206;;A61B18/1442;;A61B18/1206;;A61B18/1442;;A61B2018/00178;;A61B2018/00589;;A61B2018/00595;;A61B2018/00601;;A61B2018/00708;;A61B2018/00922;;A61B2018/00928;;A61B2018/0094;;A61B2018/00958;;A61B2018/1462;;A61B2018/00946;;A61B2018/00952;;A61B2018/126,A61B18/12,,0,0,,,,ACTIVE
7,US,B2,US 9433460 B2,128-926-580-670-909,2016-09-06,2016,US 201514726490 A,2015-05-30,US 201514726490 A;;US 201462005290 P,2014-05-30,Electrosurgery actuator,"A system for selectively actuating a heating current conductible from a bipolar generator to a surgical tool may comprise an actuator assembly having an output receptacle, an input plug, and an actuating component. The output receptacle may be configured to receive a complementary tool plug of the surgical tool. The input plug may be configured for mating with a generator receptacle receivable of the heating current from the bipolar generator. The generator receptacle may be complementary to the tool plug. The actuating component may have at least one of a switch and a lever arm and may be configured to communicate with the bipolar generator for selectively actuating the heating current to flow from the input plug to the output receptacle upon engagement of the switch or the lever arm.",BIPAD LLC,CORNACCHIA LOUIS,BIPAD INC (2015-12-03),https://lens.org/128-926-580-670-909,Granted Patent,yes,56,6,19,19,0,A61B18/1206;;A61B18/1442;;A61B2018/00178;;A61B2018/00589;;A61B2018/00595;;A61B2018/00601;;A61B2018/00708;;A61B2018/00922;;A61B2018/00928;;A61B2018/00958;;A61B2018/1462;;A61B18/1206;;A61B18/1442;;A61B18/1206;;A61B18/1442;;A61B2018/00178;;A61B2018/00589;;A61B2018/00595;;A61B2018/00601;;A61B2018/00708;;A61B2018/00922;;A61B2018/00928;;A61B2018/0094;;A61B2018/00958;;A61B2018/1462;;A61B2018/00946;;A61B2018/00952;;A61B2018/126,A61B18/12;;A61B18/00;;A61B18/14,,2,0,,,"International Search Report for PCT/US2015/033429 dated Aug. 25, 2015, 3 pp.;;Written Opinion for PCT/US2015/033429 dated Aug. 25, 2015, 8 pp.",ACTIVE
8,US,S,US D0680774 S,182-424-435-694-400,2013-04-30,2013,US 201229436626 F,2012-11-07,US 201229436626 F,2012-11-07,Remote control holder,,CORNACCHIA LOUIS,CORNACCHIA LOUIS,,https://lens.org/182-424-435-694-400,Design Right,no,0,0,1,1,0,,,0606;;D 6467,0,0,,,,ACTIVE
9,US,S,US D0778442 S,043-982-977-084-726,2017-02-07,2017,US 201529546223 F,2015-11-19,US 201529546223 F,2015-11-19,Bipolar electrosurgery actuator system,,BIPAD LLC,CORNACCHIA LOUIS,BIPAD INC (2015-11-25),https://lens.org/043-982-977-084-726,Design Right,no,0,0,1,1,0,,,2402;;D24/144,0,0,,,,ACTIVE
10,AU,A1,AU 2015/266597 A1,177-808-386-567-879,2017-01-12,2017,AU 2015/266597 A,2015-05-30,US 201462005290 P;;US 2015/0033429 W,2014-05-30,Bipolar electrosurgery actuator,"A system for selectively actuating a heating current conductible from a bipolar generator to a surgical tool may comprise and actuator assembly having an output receptacle, an input plug, and an actuating component. The output receptacle may be configured to receive a complementary tool plus of the surgical tool. The input plug may be configured for mating with a generator receptacle receivable of the heating current from the bipolar generator. The generator receptacle may be complimentary to the tool plug. The actuating component may have at least one of a switch and a lever arm and may be configured to communicate with the bipolar generator for selectively actuating the heating current to flow from the input plug to the output receptacle upon engagement of the switch of the lever arm.",BIPAD LLC,CORNACCHIA LOUIS,"BIPAD, INC. (2020-02-13)",https://lens.org/177-808-386-567-879,Patent Application,no,0,0,19,19,0,A61B18/1206;;A61B18/1442;;A61B2018/00178;;A61B2018/00589;;A61B2018/00595;;A61B2018/00601;;A61B2018/00708;;A61B2018/00922;;A61B2018/00928;;A61B2018/00958;;A61B2018/1462;;A61B18/1206;;A61B18/1442;;A61B18/1206;;A61B18/1442;;A61B2018/00178;;A61B2018/00589;;A61B2018/00595;;A61B2018/00601;;A61B2018/00708;;A61B2018/00922;;A61B2018/00928;;A61B2018/0094;;A61B2018/00958;;A61B2018/1462;;A61B2018/00946;;A61B2018/00952;;A61B2018/126,A61B18/12,,0,0,,,,INACTIVE
