"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,AU,A,AU 1997/035092 A,106-458-837-772-423,1998-01-21,1998,AU 1997/035092 A,1997-07-02,US 9711274 W;;ZA 965613 A,1996-07-02,Machine for dispensing a soft-serve product,,VAN DER MERWE MARCEL,ERASMUS MARK HENRY,,https://lens.org/106-458-837-772-423,Patent Application,no,0,0,7,9,0,A23G9/283;;A23G9/163;;A23G9/281,A23G9/04;;A23G9/16;;A23G9/28,,0,0,,,,EXPIRED
2,AU,B2,AU 724349 B2,143-829-754-193-006,2000-09-21,2000,AU 1997/035092 A,1997-07-02,US 9711274 W;;ZA 965613 A,1996-07-02,Machine for dispensing a soft-serve product,,MERWE MARCEL VAN DER,ERASMUS MARK HENRY,,https://lens.org/143-829-754-193-006,Granted Patent,no,3,0,7,9,0,A23G9/283;;A23G9/163;;A23G9/281,A23G9/04;;A23G9/16;;A23G9/28,,0,0,,,,EXPIRED
3,EP,A1,EP 0932578 A1,088-933-111-042-455,1999-08-04,1999,EP 97931474 A,1997-07-02,US 9711274 W;;ZA 965613 A,1996-07-02,MACHINE FOR DISPENSING A SOFT-SERVE PRODUCT,,MERWE MARCEL V D,VAN DER MERWE MARCEL;;ERASMUS MARK HENRY,,https://lens.org/088-933-111-042-455,Patent Application,yes,0,0,7,9,0,A23G9/283;;A23G9/163;;A23G9/281,A23G9/04;;A23G9/16;;A23G9/28,,0,0,,,,DISCONTINUED
4,US,A,US 6145701 A,066-409-049-911-357,2000-11-14,2000,US 20277998 A,1998-12-21,US 20277998 A;;US 9711274 W;;ZA 965613 A,1996-07-02,"Machine for dispensing a soft-serve product such as ice-cream, frozen yoghurt, or the like","A machine for dispensing a soft-serve product comprises a freezer barrel (12), a mix hopper (14) for containing soft-serve mix (16) and being in flow communication with the freezer barrel so that soft-serve mix can flow from the mix hopper into the freezer barrel, a flow passage (42, 42.1) leading from the freezer barrel to a draw spout (64), and a beater assembly (20) for expelling frozen product from the freezer barrel via the flow passage to the draw spout. A solids hopper (52) for containing a flowable solid topping is further provided, and an archimedes screw (56) for feeding the solid topping from the solids hopper into the flow stream of soft-serve product as it passes through the flow passage. A vaned rotor (44) and a rotation sensor (80) meter the flow of soft-serve product through the flow passage and control the speed of a topping motor (60) driving the archimedes screw.",MERWE MARCEL V D,VAN DER MERWE MARCEL;;ERASMUS MARK HENRY,VAN DER MERWE MARCEL (2000-09-05),https://lens.org/066-409-049-911-357,Granted Patent,yes,23,43,1,9,0,A23G9/163;;A23G9/228;;A23G9/281;;A23G9/283;;A23G9/283;;A23G9/163;;A23G9/228;;A23G9/281,A23G9/16;;A23G9/22;;A23G9/28,222/40;;99/455;;222/54;;222/57;;222/63;;222/145.1;;222/145.7;;222/146.6;;222/149;;222/413;;425/135;;425/145,3,0,,,PCT Gazette abstract of WO 91/07879 of Jun. 1991.;;PCT Gazette abstract of WO 95/26640 of Oct. 1995.;;Abstract of EP0293022 of Nov. 1988.,EXPIRED
5,EP,A4,EP 0932578 A4,128-823-697-837-491,2000-03-08,2000,EP 97931474 A,1997-07-02,US 9711274 W;;ZA 965613 A,1996-07-02,MACHINE FOR DISPENSING A SOFT-SERVE PRODUCT,,MERWE MARCEL V D,VAN DER MERWE MARCEL;;ERASMUS MARK HENRY,,https://lens.org/128-823-697-837-491,Search Report,no,9,0,7,9,0,A23G9/283;;A23G9/163;;A23G9/281,A23G9/04;;A23G9/16;;A23G9/28,,1,0,,,See also references of WO 9800360A1,DISCONTINUED
6,ZA,B,ZA 976750 B,197-122-290-762-169,1999-01-29,1999,ZA 976750 A,1997-07-29,ZA 976750 A;;ZA 965613 A,1996-07-02,Machine for dispensing a soft-serve product,,MERWE MARCEL VAN DER,MERWE MARCEL VAN DER;;ERASMUS MARK HENRY,,https://lens.org/197-122-290-762-169,Granted Patent,no,0,0,1,9,0,,A23G/;;B67D/,,0,0,,,,EXPIRED
7,CA,A1,CA 2258846 A1,107-401-734-671-688,1998-01-08,1998,CA 2258846 A,1997-07-02,ZA 965613 A,1996-07-02,MACHINE FOR DISPENSING A SOFT-SERVE PRODUCT,"A machine for dispensing a soft-serve product comprises a freezer barrel (12), a mix hopper (14) for containing soft-serve mix (16) and being in flow communication with the freezer barrel so that soft-serve mix can flow from the mix hopper into the freezer barrell a flow passage (42, 42.1) leading from the freezer barrel to a draw spout (64), and a beater assembly (20) for expelling frozen product from the freezer barrel via the flow passage to the draw spout. A solids hopper (52) for containing a flowable solid topping is further provided, and an archimedes screw (56) for feeding the solid topping from the solids hopper into the flow stream of soft-serve product as it passes through the flow passage. A vaned rotor (44) and a rotation sensor (80) meter the flow of soft-serve product through the flow passage and control the speed of a topping motor (60) driving the archimedes screw.",MERWE MARCEL V D,ERASMUS MARK HENRY;;VAN DER MERWE MARCEL,,https://lens.org/107-401-734-671-688,Patent Application,no,0,0,7,9,0,A23G9/283;;A23G9/163;;A23G9/281,A23G9/04;;A23G9/16;;A23G9/28,,0,0,,,,DISCONTINUED
8,WO,A1,WO 1998/000360 A1,184-578-633-342-451,1998-01-08,1998,US 9711274 W,1997-07-02,ZA 965613 A,1996-07-02,MACHINE FOR DISPENSING A SOFT-SERVE PRODUCT,"A machine for dispensing a soft-serve product comprises a freezer barrel (12), a mix hopper (14) for containing soft-serve mix (16) and being in flow communication with the freezer barrel so that soft-serve mix can flow from the mix hopper into the freezer barrell a flow passage (42, 42.1) leading from the freezer barrel to a draw spout (64), and a beater assembly (20) for expelling frozen product from the freezer barrel via the flow passage to the draw spout. A solids hopper (52) for containing a flowable solid topping is further provided, and an archimedes screw (56) for feeding the solid topping from the solids hopper into the flow stream of soft-serve product as it passes through the flow passage. A vaned rotor (44) and a rotation sensor (80) meter the flow of soft-serve product through the flow passage and control the speed of a topping motor (60) driving the archimedes screw.",HANDELMAN JOSEPH H;;MERWE MARCEL V D;;ERASMUS MARK HENRY,VAN DER MERWE MARCEL;;ERASMUS MARK HENRY,,https://lens.org/184-578-633-342-451,Patent Application,yes,3,3,7,9,0,A23G9/283;;A23G9/163;;A23G9/281,A23G9/04;;A23G9/16;;A23G9/28,,1,0,,,See also references of EP 0932578A4,PENDING
9,WO,A1,WO 2010/140036 A1,019-163-389-195-13X,2010-12-09,2010,IB 2010001218 W,2010-05-24,ZA 200903924 A,2009-06-05,A METHOD OF DESIGNING A KNEE PROSTHESIS,"A method of designing a knee prosthesis is provided which includes imaging a knee, preferably in three dimensions, and comparing a number of features of the imaged knee to corresponding features of a plurality of reference knees. The features which are compared include the anterior length on the medial (APM) and lateral (APL) sides, the medio-lateral length (ML) and the distance between the most anterior points on the medial and lateral condyles (DAC). The features of the reference knees which most closely correspond to those of the imaged knee are selected and the prosthesis modelled to have an external geometry at least similar to the knee associated with the or each selected feature.",UNIV STELLENBOSCH;;SCHEFFER CORNELUIS;;VAN DEN HEEVER DAVID JACOBUS;;ERASMUS PIETER JORDAAN;;DILLON EDWIN MARK,SCHEFFER CORNELUIS;;VAN DEN HEEVER DAVID JACOBUS;;ERASMUS PIETER JORDAAN;;DILLON EDWIN MARK,,https://lens.org/019-163-389-195-13X,Patent Application,yes,6,17,2,2,0,A61F2/30942;;A61F2/3859;;A61F2002/30948;;A61F2002/30952;;A61F2002/3895,A61F2/38,,0,0,,,,PENDING
10,ZA,B,ZA 201109251 B,107-672-299-017-263,2012-08-29,2012,ZA 201109251 A,2011-12-15,ZA 200903924 A;;IB 2010001218 W,2009-06-05,A METHOD OF DESIGNING A KNEE PROSTHESIS,,UNIV STELLENBOSCH,SCHEFFER CORNELIUS;;VAN DEN HEEVER DAVID JACOBUS;;ERASMUS PIETER JORDAN;;DILLON EDWIN MARK,,https://lens.org/107-672-299-017-263,Granted Patent,no,0,0,2,2,0,A61F2/30942;;A61F2/3859;;A61F2002/30948;;A61F2002/30952;;A61F2002/3895,A61F/,,0,0,,,,ACTIVE
