"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A,US 2952851 A,148-403-018-662-904,1960-09-20,1960,US 81793459 A,1959-06-03,US 81793459 A,1959-06-03,Self-loading fastener means,,MELVIN EPSTEIN,MELVIN EPSTEIN,,https://lens.org/148-403-018-662-904,Granted Patent,no,0,11,1,1,0,B65C7/00;;G09F3/14;;B65C7/00;;G09F3/14,B65C7/00;;G09F3/14,,0,0,,,,EXPIRED
2,US,S,US D0280996 S,097-344-156-395-730,1985-10-15,1985,US 45949183 F,1983-01-20,US 45949183 F,1983-01-20,Stringing beads,,QUAKER OATS CO,EPSTEIN MELVIN,QUAKER OATS COMPANY THE (1985-01-14);;FISHER - PRICE INC. A DE CORP (1990-12-06),https://lens.org/097-344-156-395-730,Design Right,yes,3,7,1,1,0,,,D21/59,1,0,,,"""Toys To Grow On"" Catalog, Holiday-1982, p. 10, Item #582, Jumbo Beads & Patterns.",EXPIRED
3,US,S,US D0313689 S,135-823-559-706-470,1991-01-15,1991,US 9452287 F,1987-09-09,US 9452287 F,1987-09-09,Nutritive lollipops,,EPSTEIN MELVIN H,EPSTEIN MELVIN H,,https://lens.org/135-823-559-706-470,Design Right,yes,8,7,1,1,0,,,D 1102,2,0,,,"Gifts & Decorative Accessories publication, Jul., 1984, p. 317, ""Star""-Shaped Lollipop top of page.;;Physician's Desk Reference 34, 1980, p. 425. Element A in upper right corner.",EXPIRED
4,US,S,US D0274430 S,143-273-065-505-237,1984-06-26,1984,US 29009381 F,1981-08-04,US 29009381 F,1981-08-04,Design for a keyboard central processor control,,NAT DIAGNOSTICS DATA CORPORATION,EPSTEIN MELVIN H,NATIONAL DIAGNOSTICS DATA CORPORATION (1981-07-31),https://lens.org/143-273-065-505-237,Design Right,yes,1,0,1,1,0,,,D14/105,2,0,,,"Computer Design, 10-1979, p. 99, ""Commander"" computer (right).;;Datamation, 3-1980, p. 88, AJ460 Micro Diskette System.",EXPIRED
5,US,A,US 4627443 A,083-542-946-931-453,1986-12-09,1986,US 20175780 A,1980-10-29,US 20175780 A,1980-10-29,X-ray readable implantable pressure sensor,A pressure sensor for measuring pressure of a body at a selected site is provided wherein radiopaque means shift in response to pressure. The body is X-rayed using conventional techniques and the shifting of the radiopaque means is observed to indicate the change in pressure. Several embodiments of the present invention are suited for biomedical applications.,UNIV JOHNS HOPKINS,CHUBBUCK JOHN G;;EPSTEIN MELVIN H,JOHNS HOPKINS UNIVERSITY THE A CORP. OF MD (1980-10-27),https://lens.org/083-542-946-931-453,Granted Patent,yes,4,25,1,1,0,A61B5/031;;A61B5/031;;G01L11/00;;G01L11/00,A61B5/03;;G01L11/00,128/748;;X128  1R,0,0,,,,EXPIRED
6,WO,A3,WO 1999/052341 A3,164-786-553-433-83X,1999-10-21,1999,US US9907814,1999-04-09,"US 60/0/081,367",1998-04-10,OPTICAL REFRIGERATOR USING REFLECTIVITY TUNED DIELECTRIC MIRROR,"Optical refrigerator using reflectivity tuned dielectric mirrors (12, 14). Selected working materials (10) can be optically pumped using monochromatic radiation such that the resulting fluorescence has an average photon energy higher than that of the pumping radiation; that is, net anti-Stokes fluorescence. If the quantum efficiency is sufficiently high, the working material will cool, and an optical refrigeration can be achieved. Parallel mirrored faces are employed to increase the optical path of the incident pumping radiation within the working material by multiple reflections. Reflectivity tuned dielectric mirrors which allow higher-energy fluorescence photons to readily escape from the working material while inhibiting the escape of the lower-energy photons which are consequently partially trapped in the working material (10) and ultimately reabsorbed and refluoresced at higher energies are employed. This increase the optical refrigerator efficiency. An efficient geometry for the cooling material is a disk having a large diameter and a small height, since the fluorescence can predominantly escape through the tuned mirror on one end face of the working material.",THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,"EDWARDS, Bradley, C.;;BUCHWALD, Melvin, I.;;EPSTEIN, Richard, I.",,https://lens.org/164-786-553-433-83X,Search Report,yes,0,1,1,1,0,,F25B23/00;;H01S3/00;;H01S3/04,,0,0,,,,UNKNOWN
7,AU,A,AU 1999/035519 A,068-687-630-111-372,1999-11-01,1999,AU 1999/035519 A,1999-04-09,US 8136798 P;;US 9907814 W,1998-04-10,Optical refrigerator using reflectivity tuned dielectric mirror,,UNIV CALIFORNIA,EDWARDS BRADLEY C;;BUCHWALD MELVIN I;;EPSTEIN RICHARD I,,https://lens.org/068-687-630-111-372,Patent Application,no,0,0,4,4,0,F25B23/00;;F25B23/003;;G02B7/1815;;H01S3/0007;;H01S3/04;;H01S3/0408;;F25B23/003;;H01S3/0408;;F25B23/00;;H01S3/0007;;H01S3/04;;G02B7/1815,F25B23/00;;G02B7/18;;H01S3/00;;H01S3/04,,0,0,,,,DISCONTINUED
8,US,A,US 6041610 A,125-325-815-189-923,2000-03-28,2000,US 28941999 A,1999-04-09,US 28941999 A;;US 8136798 P,1998-04-10,Optical refrigerator using reflectivity tuned dielectric mirrors,"Optical refrigerator using reflectivity-tuned dielectric mirrors. Selected working materials can be optically pumped using monochromatic radiation such that the resulting fluorescence has an average photon energy higher than that of the pumping radiation; that is, net anti-Stokes fluorescence. If the quantum efficiency is sufficiently high, the working material will cool and optical refrigeration can be achieved. Parallel mirrored faces are employed to increase the optical path of the incident pumping radiation within the working material by multiple reflections. Reflectivity-tuned dielectric mirrors which allow higher-energy fluorescence photons to readily escape from the working material while inhibiting the escape of the lower-energy photons which are consequently partially trapped in the working material and ultimately reabsorbed and refluoresced at higher energies are employed. This increases the optical refrigerator efficiency. An efficient geometry for the cooling material is a disk having a large diameter and a small height, since the fluorescence can predominantly escape through the tuned mirror on one end face of the working material. An alternative cooling element could be approximately cubic with tuned mirrors on the sides as well as on one end. In another embodiment of the invention, photocells are used to convert escaping fluorescence energy into electricity, thereby reducing the power requirements of the optical refrigerator and reducing the amount of waste that must be removed from the vicinity of the working material.",UNIV CALIFORNIA,EDWARDS BRADLEY C;;BUCHWALD MELVIN I;;EPSTEIN RICHARD I,REGENTS OF THE UNIVERSITY OF CALIFORNIA THE (1999-05-03);;LOS ALAMOS NATIONAL SECURITY LLC (2006-04-10),https://lens.org/125-325-815-189-923,Granted Patent,yes,3,35,4,4,0,F25B23/00;;F25B23/003;;G02B7/1815;;H01S3/0007;;H01S3/04;;H01S3/0408;;F25B23/003;;H01S3/0408;;F25B23/00;;H01S3/0007;;H01S3/04;;G02B7/1815,F25B23/00;;G02B7/18;;H01S3/00;;H01S3/04,62/264;;62/3.1;;62/467,5,3,157-770-423-712-70X;;049-419-157-083-360;;040-715-167-062-028,10.1103/physrevlett.78.1030;;10.1103/physrevlett.76.2037;;10060590;;10.1038/377500a0,"C. E. Mungan et al., Laser Cooling of a Solid by 16 K Starting from Room Temperature, Phys Rev. Lett. 78, 1030 (1997).;;J.L. Clark and G. Rumbles, Laser Cooling in the Condensed Phase by Frequency Up Conversion, Phys. Rev. Lett. 76, 2037 (1996).;;Richard I. Epstein et al., Observation of Laser Induced Fluorescent Cooling of a Solid, Nature 377, 500 (1995).;;Conference Record of the Twenty First IEEE Photovoltaic Specialist Conference 1990, vol. 1, Kissimimee, Florida, May 21 25, 1990.;;Efficiency Increased in Aluminum Free Devices, Laser Focus World 33, 15 (Jan. 1997).",EXPIRED
9,WO,A3,WO 1999/052341 A3,131-324-049-368-350,1999-12-23,1999,US 9907814 W,1999-04-09,US 8136798 P,1998-04-10,OPTICAL REFRIGERATOR USING REFLECTIVITY TUNED DIELECTRIC MIRROR,"Optical refrigerator using reflectivity tuned dielectric mirrors (12, 14). Selected working materials (10) can be optically pumped using monochromatic radiation such that the resulting fluorescence has an average photon energy higher than that of the pumping radiation; that is, net anti-Stokes fluorescence. If the quantum efficiency is sufficiently high, the working material will cool, and an optical refrigeration can be achieved. Parallel mirrored faces are employed to increase the optical path of the incident pumping radiation within the working material by multiple reflections. Reflectivity tuned dielectric mirrors which allow higher-energy fluorescence photons to readily escape from the working material while inhibiting the escape of the lower-energy photons which are consequently partially trapped in the working material (10) and ultimately reabsorbed and refluoresced at higher energies are employed. This increase the optical refrigerator efficiency. An efficient geometry for the cooling material is a disk having a large diameter and a small height, since the fluorescence can predominantly escape through the tuned mirror on one end face of the working material.",UNIV CALIFORNIA,EDWARDS BRADLEY C;;BUCHWALD MELVIN I;;EPSTEIN RICHARD I,,https://lens.org/131-324-049-368-350,Search Report,yes,3,1,4,4,0,F25B23/00;;F25B23/003;;G02B7/1815;;H01S3/0007;;H01S3/04;;H01S3/0408;;F25B23/003;;H01S3/0408;;F25B23/00;;H01S3/0007;;H01S3/04;;G02B7/1815,F25B23/00;;G02B7/18;;H01S3/00;;H01S3/04,,0,0,,,,PENDING
10,WO,A2,WO 1999/052341 A2,139-461-139-337-015,1999-10-21,1999,US 9907814 W,1999-04-09,US 8136798 P,1998-04-10,OPTICAL REFRIGERATOR USING REFLECTIVITY TUNED DIELECTRIC MIRROR,"Optical refrigerator using reflectivity tuned dielectric mirrors. Selected working materials can be optically pumped using monochromatic radiation such that the resulting fluorescence has an average photon energy higher than that of the pumping radiation; that is, net anti-Stokes fluorescence. If the quantum efficiency is sufficiently high, the working material will cool, and an optical refrigeration can be achieved. Parallel mirrored faces are employed to increase the optical path of the incident pumping radiation within the working material by multiple reflections. Reflectivity tuned dielectric mirrors which allow higher-energy fluorescence photons to readily escape from the working material while inhibiting the escape of the lower-energy photons which are consequently partially trapped in the working material and ultimately reabsorbed and refluoresced at higher energies are employed. This increases the optical refrigerator efficiency. An efficient geometry for the cooling material is a disk having a large diameter and a small height, since the fluorescence can predominantly escape through the tuned mirror on one end face of the working material. An alternative cooling element could be approximately cubic with tuned mirrors on the sides as well as on one end. In another embodiment of the invention, photocells are used to convert escaping fluorescence energy into electricity, thereby reducing the power requirements of the optical refrigerator and reducing the amount of waste that must be removed from the vicinity of the working material.",UNIV CALIFORNIA,EDWARDS BRADLEY C;;BUCHWALD MELVIN I;;EPSTEIN RICHARD I,,https://lens.org/139-461-139-337-015,Patent Application,no,0,5,4,4,0,F25B23/00;;F25B23/003;;G02B7/1815;;H01S3/0007;;H01S3/04;;H01S3/0408;;F25B23/003;;H01S3/0408;;F25B23/00;;H01S3/0007;;H01S3/04;;G02B7/1815,F25B23/00;;G02B7/18;;H01S3/00;;H01S3/04,,0,0,,,,PENDING
