"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A1,US 2019/0300456 A1,023-449-255-759-452,2019-10-03,2019,US 201916366025 A,2019-03-27,US 201916366025 A;;US 201862650528 P,2018-03-30,PRODUCTION AND SEPARATION OF DIMETHYL BIPHENYL ISOMERS,"In a process for separating dimethyl biphenyl isomers a mixture comprising one or more 3,3′, 3,4′- or 4,4′-dimethyl biphenyl isomers, one or more 2,X′-dimethyl biphenyl isomers (where X=2, 3, or 4) and one or more further hydrocarbon components is contacted with a first adsorbent, thereby selectively adsorbing one or more of the dimethyl biphenyl isomers within the first adsorbent. A first raffinate stream containing less selectively adsorbed components is withdrawn from the first adsorbent and a first extract stream containing selectively adsorbed dimethyl biphenyl isomers is withdraw. The selectively adsorbed dimethyl biphenyl isomers comprise one or more of 3,3′-, 3,4′- or 4,4′-dimethyl biphenyl isomers and one or more of 2,X′-dimethyl biphenyl isomers (where X′=2, 3, or 4).",EXXONMOBIL RES & ENG CO,LANCI MICHAEL P;;PAEK CHANGYUB;;DORSI CATHERINE M,,https://lens.org/023-449-255-759-452,Patent Application,yes,0,0,2,2,0,C07C7/13;;C07C7/005;;C07C7/04;;C07C7/14;;C07B2200/09;;C07C5/367;;C07C2/66;;C07C5/2732;;C07C7/12,C07C7/00;;C07C2/66;;C07C5/27;;C07C5/367;;C07C7/04;;C07C7/12;;C07C7/14,,0,0,,,,ACTIVE
2,US,A1,US 2019/0300457 A1,153-334-630-735-895,2019-10-03,2019,US 201916365976 A,2019-03-27,US 201916365976 A;;US 201862650495 P,2018-03-30,PRODUCTION AND SEPARATION OF DIMETHYL BIPHENYL ISOMERS,"In a process for producing one or more 2,X′-dimethyl biphenyl isomers (where X=2, 3 or 4), a feed comprising toluene is contacted with hydrogen in the presence of a hydroalkylation catalyst under conditions effective to produce a hydroalkylation reaction product comprising (methylcyclohexyl)toluene. At least part of the hydroalkylation reaction product is dehydrogenated in the presence of a dehydrogenation catalyst under conditions effective to produce a dehydrogenation reaction product comprising dimethyl biphenyl isomers. The dehydrogenation reaction product is then separated into at least a first stream comprising one or more 3,3′-, 3,4′- and 4,4′-dimethyl biphenyl isomers and at least one second stream comprising one or more 2,X′-dimethyl biphenyl isomers (where X=2, 3 or 4). The at least one second stream is then contacted with a first adsorbent thereby selectively adsorbing one or more 2,X′-dimethyl biphenyl isomers (where X=2, 3 or 4) within said first adsorbent and then withdrawing from said first adsorbent a first extract stream comprising one or more selectively adsorbed 2,X′-dimethyl biphenyl isomers (where X=2, 3 or 4) and a first raffinate stream comprising one or more less selectively adsorbed components.",EXXONMOBIL RES & ENG CO,LANCI MICHAEL P;;PAEK CHANGYUB;;DORSI CATHERINE M,,https://lens.org/153-334-630-735-895,Patent Application,yes,1,0,2,2,0,C07C2/74;;C07C15/14;;C07C5/2729;;C07C5/367;;C07C7/005;;C07C7/04;;C07C7/10;;C07C7/13;;Y02P20/52,C07C15/14;;C07C7/04;;C07C7/10,,0,0,,,,ACTIVE
3,US,B2,US 10138176 B2,052-736-190-755-883,2018-11-27,2018,US 201815886408 A,2018-02-01,US 201815886408 A;;US 201762453190 P,2017-02-01,"Production and separation of 3,3′-, 3,4′- and 4,4′-dimethyl biphenyl isomers","In a process for producing one or more 3,3′-, 3,4′- and 4,4′-dimethyl biphenyl isomers, a feed comprising toluene is contacted with hydrogen in the presence of a hydroalkylation catalyst under conditions effective to produce a hydroalkylation reaction product comprising (methylcyclohexyl)toluenes. At least part of the hydroalkylation reaction product is dehydrogenated in the presence of a dehydrogenation catalyst under conditions effective to produce a dehydrogenation reaction product comprising a mixture of dimethyl biphenyl isomers. The dehydrogenation reaction product is then separated into at least a first stream containing one or more 3,3′-, 3,4′- and 4,4′-dimethyl biphenyl isomers and at least one second stream comprising one or more 2,X′-dimethyl biphenyl isomers (where X is 2, 3, or 4). The 3,3′-, 3,4′- and 4,4′-dimethyl biphenyl isomers are then separated utilizing selective adsorption.",EXXONMOBIL RES & ENG CO,LANCI MICHAEL P;;PAEK CHANGYUB;;DORSI CATHERINE M,EXXONMOBIL RESEARCH AND ENGINEERING COMPANY (2018-02-01),https://lens.org/052-736-190-755-883,Granted Patent,yes,17,1,6,6,0,C07C7/13;;B01J20/28007;;B01J20/186;;B01D15/08;;C07C7/13;;C07C15/14;;B01J20/28007;;B01J20/186;;B01D15/08;;C07C2/66;;C07C2/74;;C07C5/10;;C07C5/2732;;C07C5/367,C07C2/74;;C07C2/66;;C07C5/10;;C07C5/27;;C07C5/367;;C07C5/42;;C07C7/12;;C07C7/13,,11,10,012-101-253-223-72X;;088-195-728-434-246;;078-541-050-383-516;;031-556-162-798-042;;031-670-466-244-320;;070-391-122-598-11X;;001-222-121-631-715;;074-629-119-695-210;;013-961-124-595-275;;005-518-142-840-581,10.1021/jp960226h;;10.1016/j.micromeso.2005.08.025;;10.1039/ft9969202499;;10.1021/ie010095t;;10.1002/aic.11062;;10.1016/s1383-5866(00)00063-0;;10.1016/j.chroma.2008.10.075;;19004446;;10.1016/j.seppur.2012.02.034;;10.1002/aic.14732;;10.1016/0009-2509(89)87002-2,"Baertsch et al., “Permeation of aromatic hydrocarbon vapors through silicalite-zeolite membranes”, J. Phys. Chem, 1996, vol. 100, pp. 7676-7679.;;Foster et al., “A geometric solution to the largest-free-sphere problem in zeolite frameworks”, Micropo. Mesopor. Mat., 2006, vol. 90, pp. 32-38.;;Funke et al., “Separation of close-boiling hydrocarbons with silicalite zeolite”, J. Chem. Soc. Faraday Trans., 1996, vol. 92, pp. 2499-2502.;;Minceva et al., “Modeling and simulation of a simulated moving bed for the separation of p-xylene”, Ind. Eng. Chem. Res., 2002, vol. 41, pp. 3454-3461.;;Minceva et al., “Understanding and revamping of industrial scale SMB units for p-xylene separation”, AIChE Journal, 2007, vol. 53, pp. 138-149.;;Pais et al., “Chiral separation by SMB chromatography”, Sep. Pur. Tech., 2000, vol. 20, pp. 67-77.;;Rajendran et al., “Simulated moving bed chromatography for the separation of enantiomers”, J. Chrom. A, 2009, vol. 1216, pp. 709-738.;;Silva et al., “Fixed-bed adsorption of aromatic C8 isomers: Breakthrough experiments, modeling and simulation”, 2012, vol. 90, pp. 246-256.;;Silva et al., “Modeling and simulation of an industrial-scale parex process”, AIChE Journal, 2015, vol. 61, pp. 1345-1363.;;Tokay et al., “Nanopaiticle silicalite-1 crystallization from clear solutions: Nucleation”, Micropor. Mesopor. Mat., 2009, vol. 118, pp. 143-151.;;Ruthven et al., “Counter-Current and Simulated Counter-Current Adsorption Separation Processes”, Chem. Eng. Sci., 1989, vol. 44, pp. 1011-1038.",INACTIVE
4,US,A1,US 2018/0222817 A1,081-988-878-003-13X,2018-08-09,2018,US 201815886408 A,2018-02-01,US 201815886408 A;;US 201762453190 P,2017-02-01,"PRODUCTION AND SEPARATION OF 3,3'-, 3,4'- AND 4,4'-DIMETHYL BIPHENYL ISOMERS","In a process for producing one or more 3,3′-, 3,4′- and 4,4′-dimethyl biphenyl isomers, a feed comprising toluene is contacted with hydrogen in the presence of a hydroalkylation catalyst under conditions effective to produce a hydroalkylation reaction product comprising (methylcyclohexyl)toluenes. At least part of the hydroalkylation reaction product is dehydrogenated in the presence of a dehydrogenation catalyst under conditions effective to produce a dehydrogenation reaction product comprising a mixture of dimethyl biphenyl isomers. The dehydrogenation reaction product is then separated into at least a first stream containing one or more 3,3′-, 3,4′- and 4,4′-dimethyl biphenyl isomers and at least one second stream comprising one or more 2,X′-dimethyl biphenyl isomers (where X is 2, 3, or 4). The 3,3′-, 3,4′- and 4,4′-dimethyl biphenyl isomers are then separated utilizing selective adsorption.",EXXONMOBIL RES & ENG CO,LANCI MICHAEL P;;PAEK CHANGYUB;;DORSI CATHERINE M,EXXONMOBIL RESEARCH AND ENGINEERING COMPANY (2018-02-01),https://lens.org/081-988-878-003-13X,Patent Application,yes,0,0,6,6,0,C07C7/13;;B01J20/28007;;B01J20/186;;B01D15/08;;C07C7/13;;C07C15/14;;B01J20/28007;;B01J20/186;;B01D15/08;;C07C2/66;;C07C2/74;;C07C5/10;;C07C5/2732;;C07C5/367,C07C2/74;;C07C2/66;;C07C5/10;;C07C5/27;;C07C5/367,,0,0,,,,INACTIVE
5,US,B2,US 10676413 B2,159-856-479-282-42X,2020-06-09,2020,US 201916365976 A,2019-03-27,US 201916365976 A;;US 201862650495 P,2018-03-30,Production and separation of dimethyl biphenyl isomers,"In a process for producing one or more 2,X′-dimethyl biphenyl isomers (where X=2, 3 or 4), a feed comprising toluene is contacted with hydrogen in the presence of a hydroalkylation catalyst under conditions effective to produce a hydroalkylation reaction product comprising (methylcyclohexyl)toluene. At least part of the hydroalkylation reaction product is dehydrogenated in the presence of a dehydrogenation catalyst under conditions effective to produce a dehydrogenation reaction product comprising dimethyl biphenyl isomers. The dehydrogenation reaction product is then separated into at least a first stream comprising one or more 3,3′-, 3,4′- and 4,4′-dimethyl biphenyl isomers and at least one second stream comprising one or more 2,X′-dimethyl biphenyl isomers (where X=2, 3 or 4). The at least one second stream is then contacted with a first adsorbent thereby selectively adsorbing one or more 2,X′-dimethyl biphenyl isomers (where X=2, 3 or 4) within said first adsorbent and then withdrawing from said first adsorbent a first extract stream comprising one or more selectively adsorbed 2,X′-dimethyl biphenyl isomers (where X=2, 3 or 4) and a first raffinate stream comprising one or more less selectively adsorbed components.",EXXONMOBIL RES & ENG CO;;EXXONMOBIL RES & ENGINEERING COMPANY,LANCI MICHAEL P;;PAEK CHANGYUB;;DORSI CATHERINE M,,https://lens.org/159-856-479-282-42X,Granted Patent,yes,16,0,2,2,0,C07C2/74;;C07C15/14;;C07C5/2729;;C07C5/367;;C07C7/005;;C07C7/04;;C07C7/10;;C07C7/13;;Y02P20/52,C07C7/12;;C07C7/04;;C07C7/10;;C07C7/13;;C07C15/14,,11,10,012-101-253-223-72X;;088-195-728-434-246;;078-541-050-383-516;;031-556-162-798-042;;031-670-466-244-320;;070-391-122-598-11X;;001-222-121-631-715;;074-629-119-695-210;;013-961-124-595-275;;005-518-142-840-581,10.1021/jp960226h;;10.1016/j.micromeso.2005.08.025;;10.1039/ft9969202499;;10.1021/ie010095t;;10.1002/aic.11062;;10.1016/s1383-5866(00)00063-0;;10.1016/j.chroma.2008.10.075;;19004446;;10.1016/j.seppur.2012.02.034;;10.1002/aic.14732;;10.1016/0009-2509(89)87002-2,"Baertsch et al., “Permeation of aromatic hydrocarbon vapors through silicalite-zeolite membranes”, J. Phys. Chem, 1996, vol. 100, pp. 7676-7679.;;Foster et al., “A geometric solution to the largest-free-sphere problem in zeolite frameworks”, Micropo. Mesopor. Mat., 2006, vol. 90, pp. 32-38.;;Funke et al., “Separation of close-boiling hydrocarbons with silicalite zeolite”, J. Chem. Soc. Faraday Trans., 1996, vol. 92, pp. 2499-2502.;;Minceva et al., “Modeling and simulation of a simulated moving bed for the separation of p-xylene”, Ind. Eng. Chem. Res., 2002, vol. 41, pp. 3454-3461.;;Minceva et al., “Understanding and revamping of industrial scale SMB units for p-xylene separation”, AIChE Journal, 2007, vol. 53, pp. 138-149.;;Pais et al., “Chiral separation by SMB chromatography”, Sep. Pur. Tech., 2000, vol. 20, pp. 67-77.;;Rajendran et al., “Simulated moving bed chromatography for the separation of enantiomers”, J. Chrom. A, 2009, vol. 1216, pp. 709-738.;;Silva et al., “Fixed-bed adsorption of aromatic C8 isomers: Breakthrough experiments, modeling and simulation”, 2012, vol. 90, pp. 246-256.;;Silva et al., “Modeling and simulation of an industrial-scale parex process”, AIChE Journal, 2015, vol. 61, pp. 1345-1363.;;Tokay et al., “Nanopaiticle silicalite-1 crystallization from clear solutions: Nucleation”, Micropor. Mesopor. Mat., 2009, vol. 118, pp. 143-151.;;Ruthven et al., “Counter-Current and Simulated Counter-Current Adsorption Separation Processes”, Chem. Eng. Sci., 1989, vol. 44, pp. 1011-1038.",ACTIVE
6,US,B2,US 10676412 B2,107-631-728-414-101,2020-06-09,2020,US 201916366025 A,2019-03-27,US 201916366025 A;;US 201862650528 P,2018-03-30,Production and separation of dimethyl biphenyl isomers,"In a process for separating dimethyl biphenyl isomers a mixture comprising one or more 3,3′, 3,4′- or 4,4′-dimethyl biphenyl isomers, one or more 2,X′-dimethyl biphenyl isomers (where X=2, 3, or 4) and one or more further hydrocarbon components is contacted with a first adsorbent, thereby selectively adsorbing one or more of the dimethyl biphenyl isomers within the first adsorbent. A first raffinate stream containing less selectively adsorbed components is withdrawn from the first adsorbent and a first extract stream containing selectively adsorbed dimethyl biphenyl isomers is withdraw. The selectively adsorbed dimethyl biphenyl isomers comprise one or more of 3,3′-, 3,4′- or 4,4′-dimethyl biphenyl isomers and one or more of 2,X′-dimethyl biphenyl isomers (where X′=2, 3, or 4).",EXXONMOBIL RES & ENG CO;;EXXONMOBIL RES & ENGINEERING COMPANY,LANCI MICHAEL P;;PAEK CHANGYUB;;DORSI CATHERINE M,,https://lens.org/107-631-728-414-101,Granted Patent,yes,16,0,2,2,0,C07C7/13;;C07C7/005;;C07C7/04;;C07C7/14;;C07B2200/09;;C07C5/367;;C07C2/66;;C07C5/2732;;C07C7/12,C07C7/12;;C07C2/66;;C07C5/27;;C07C5/367;;C07C7/00;;C07C7/04;;C07C7/14,,11,10,012-101-253-223-72X;;088-195-728-434-246;;078-541-050-383-516;;031-556-162-798-042;;031-670-466-244-320;;070-391-122-598-11X;;001-222-121-631-715;;074-629-119-695-210;;013-961-124-595-275;;005-518-142-840-581,10.1021/jp960226h;;10.1016/j.micromeso.2005.08.025;;10.1039/ft9969202499;;10.1021/ie010095t;;10.1002/aic.11062;;10.1016/s1383-5866(00)00063-0;;10.1016/j.chroma.2008.10.075;;19004446;;10.1016/j.seppur.2012.02.034;;10.1002/aic.14732;;10.1016/0009-2509(89)87002-2,"Baertsch et al., “Permeation of aromatic hydrocarbon vapors through silicalite-zeolite membranes”, J. Phys. Chem, 1996, vol. 100, pp. 7676-7679.;;Foster et al., “A geometric solution to the largest-free-sphere problem in zeolite frameworks”, Micropo. Mesopor. Mat., 2006, vol. 90, pp. 32-38.;;Funke et al., “Separation of close-boiling hydrocarbons with silicalite zeolite”, J. Chem. Soc. Faraday Trans., 1996, vol. 92, pp. 2499-2502.;;Minceva et al., “Modeling and simulation of a simulated moving bed for the separation of p-xylene”, Ind. Eng. Chem. Res., 2002, vol. 41, pp. 3454-3461.;;Minceva et al., “Understanding and revamping of industrial scale SMB units for p-xylene separation”, AIChE Journal, 2007, vol. 53, pp. 138-149.;;Pais et al., “Chiral separation by SMB chromatography”, Sep. Pur. Tech., 2000, vol. 20, pp. 67-77.;;Rajendran et al., “Simulated moving bed chromatography for the separation of enantiomers”, J. Chrom. A, 2009, vol. 1216, pp. 709-738.;;Silva et al., “Fixed-bed adsorption of aromatic C8 isomers: Breakthrough experiments, modeling and simulation”, 2012, vol. 90, pp. 246-256.;;Silva et al., “Modeling and simulation of an industrial-scale parex process”, AIChE Journal, 2015, vol. 61, pp. 1345-1363.;;Tokay et al., “Nanopaiticle silicalite-1 crystallization from clear solutions: Nucleation”, Micropor. Mesopor. Mat., 2009, vol. 118, pp. 143-151.;;Ruthven et al., “Counter-Current and Simulated Counter-Current Adsorption Separation Processes”, Chem. Eng. Sci., 1989, vol. 44, pp. 1011-1038.",ACTIVE
7,US,B2,US 10351489 B2,041-031-872-419-634,2019-07-16,2019,US 201715600494 A,2017-05-19,US 201715600494 A;;EP 16185649 A;;US 201662356634 P,2016-06-30,Processes for recovering paraxylene,"Disclosed is a process for recovering paraxylene in which a first simulated moving bed adsorption unit is used to produce two extract streams—one rich in paraxylene and a paraxylene-rich extract stream that is lean in ethylbenzene and an ethylbenzene-rich extract stream that is lean in paraxylene- and a paraxylene-depleted raffinate stream. A significant amount of the ethylbenzene is removed in the ethylbenzene-rich extract stream (at least enough to limit buildup in the isomerization loop), so the paraxylene-depleted raffinate stream may be isomerized in the liquid phase. Avoiding vapor phase isomerization saves energy and capital, as liquid phase isomerization requires less energy and capital than the vapor phase isomerization process due to the requirement of vaporizing the paraxylene-depleted stream and the use of hydrogen, which requires an energy and capital intensive hydrogen recycle loop.",EXXONMOBIL CHEMICAL PATENTS INC,SALCICCIOLI MICHAEL;;AGRAWAL GAURAV;;WEBER MICHAEL W;;PILLIOD DANA L;;DORSI CATHERINE M,EXXONMOBIL CHEMICAL PATENTS INC (2017-05-24),https://lens.org/041-031-872-419-634,Granted Patent,yes,37,0,2,2,0,C07C5/2708;;C07C5/277;;C07C7/12;;C07C7/148;;B01D15/185;;B01D15/1828;;C07C7/005;;C07B63/04;;C07C5/2708;;C07C5/277;;C07C7/12;;C07C7/148;;B01D15/1828;;C07C7/005;;B01D15/185,C07C5/13;;C07B63/04;;C07C5/27;;C07C7/11;;C07C7/12;;C07C7/13;;C07C7/148;;C07C15/08,,6,5,052-503-084-205-012;;044-064-293-134-597;;108-269-059-790-923;;031-556-162-798-042;;013-381-393-769-367,10.1016/0021-9517(65)90059-x;;10.1016/0021-9517(66)90059-5;;10.1016/0021-9517(80)90386-3;;10.1021/ie010095t;;10.1021/ie0505413,"Weisz, P. B., et al., “Superactive Crystalline Aluminosilicate Hydrocarbon Catalysts”, Journal Of Catalysis, vol. 4, Issue 4, pp. 527-529, Aug. 1965.;;Miale, J. N., et al., “Catalysis by Crystalline Aluminosilicates, IV. Attainable Catalytic Cracking Rate Constants, and Superactivity” Journal of Catalysis, vol. 6, Issue 2, pp. 278-287, Oct. 1966.;;Olson, D. H., et al., “Chemical and Physical Properties of the ZSM-5 Substitutional Series”, Journal of Catalysis, vol. 61, Issue 2, pp. 390-396, Feb. 1980.;;Minceva, M., et al., “Modeling and Simulation of a Simulated Moving Bed for the Separation of P-Xylene”, Industrial & Engineering Chemistry Research, vol. 41, pp. 3454-3461, 2002.;;Kurup, A.S., et al., “Comparative Study of Modified Simulated Moving Bed Systems at Optimal Conditions for the Separation of Ternary Mixtures of Xylene Isomers”, Ind. Eng. Chem. Res., vol. 45, Issue 18, pp. 6251-6265, Aug. 2006, DOI: 10.1021/ie0505413.;;U.S. Appl. No. 15/600,494, filed May 19, 2017.",INACTIVE
8,US,A1,US 2018/0002252 A1,040-920-077-147-864,2018-01-04,2018,US 201715600494 A,2017-05-19,US 201715600494 A;;EP 16185649 A;;US 201662356634 P,2016-06-30,Processes for Recovering Paraxylene,"Disclosed is a process for recovering paraxylene in which a first simulated moving bed adsorption unit is used to produce two extract streams—one rich in paraxylene and a paraxylene-rich extract stream that is lean in ethylbenzene and an ethylbenzene-rich extract stream that is lean in paraxylene- and a paraxylene-depleted raffinate stream. A significant amount of the ethylbenzene is removed in the ethylbenzene-rich extract stream (at least enough to limit buildup in the isomerization loop), so the paraxylene-depleted raffinate stream may be isomerized in the liquid phase. Avoiding vapor phase isomerization saves energy and capital, as liquid phase isomerization requires less energy and capital than the vapor phase isomerization process due to the requirement of vaporizing the paraxylene-depleted stream and the use of hydrogen, which requires an energy and capital intensive hydrogen recycle loop.",EXXONMOBIL CHEMICAL PATENTS INC,SALCICCIOLI MICHAEL;;AGRAWAL GAURAV;;WEBER MICHAEL W;;PILLIOD DANA L;;DORSI CATHERINE M,EXXONMOBIL CHEMICAL PATENTS INC (2017-05-24),https://lens.org/040-920-077-147-864,Patent Application,yes,0,9,2,2,0,C07C5/2708;;C07C5/277;;C07C7/12;;C07C7/148;;B01D15/185;;B01D15/1828;;C07C7/005;;C07B63/04;;C07C5/2708;;C07C5/277;;C07C7/12;;C07C7/148;;B01D15/1828;;C07C7/005;;B01D15/185,C07C5/13;;C07B63/04;;C07C7/11;;C07C7/13;;C07C15/08,,0,0,,,,INACTIVE
9,US,A1,US 2019/0002367 A1,174-767-146-548-102,2019-01-03,2019,US 201815974158 A,2018-05-08,US 201815974158 A;;US 201762525793 P,2017-06-28,Systems and Methods for Producing Naphthalenes and Methylnaphthalenes,"A process for producing naphthalene or methylnaphthalenes from an alkane-containing stream. In an embodiment, the produce includes providing an alkane-containing feed stream to a reactor, and contacting the ethane-containing stream with an aromatization catalyst within the reactor. The aromatization catalyst comprises molecular sieve, and a dehydrogenation component. In addition, the process includes producing a reactor effluent stream from the reactor, and separating a product stream from the reactor effluent stream. The product stream comprises at least one or both of naphthalene and methylnaphthalene.",EXXONMOBIL CHEMICAL PATENTS INC,SALCICCIOLI MICHAEL;;GALUSKA ALAN A;;CHEN TAN-JEN;;DORSI CATHERINE M;;SHEKHAR MAYANK,EXXONMOBIL CHEMICAL PATENTS INC (2018-05-09),https://lens.org/174-767-146-548-102,Patent Application,yes,11,0,1,1,0,C07C2/76;;C07C2521/04;;C07C2529/40;;C07C2529/08;;C07C2/42;;C07C6/06;;C07C2521/04;;C07C2529/40;;C07C2529/08;;C07C4/18;;C07C2/76,C07C2/42;;C07C4/18;;C07C6/06,,0,0,,,,DISCONTINUED
10,US,B2,US 10300404 B2,079-128-255-837-144,2019-05-28,2019,US 201715600517 A,2017-05-19,US 201715600517 A;;EP 16185650 A;;US 201662356637 P,2016-06-30,Process for the recovering of paraxylene,"Disclosed herein are processes for recovering paraxylene in which a first simulated moving bed adsorption unit is used to produce a paraxylene-rich extract stream that also contains a significant amount of the ethylbenzene and a paraxylene-depleted raffinate stream. Because a significant amount of the ethylbenzene is removed in the paraxylene-rich extract stream (at least enough to limit buildup in the isomerization loop), the paraxylene-depleted raffinate stream may be isomerized in the liquid phase. Avoiding vapor phase isomerization saves energy and capital, as liquid phase isomerization requires less energy and capital than the vapor phase isomerization process due to the requirement of vaporizing the paraxylene-depleted stream and the use of hydrogen, which requires an energy- and capital-intensive hydrogen recycle loop.",EXXONMOBIL CHEMICAL PATENTS INC,DORSI CATHERINE M;;AGRAWAL GAURAV;;WEBER MICHAEL W;;PILLIOD DANA L;;PORTER JOHN R,EXXONMOBIL CHEMICAL PATENTS INC (2017-05-24),https://lens.org/079-128-255-837-144,Granted Patent,yes,37,0,2,2,0,B01D15/1828;;B01D15/1828;;B01D3/065;;B01D2255/50;;C07C5/2708;;C07C5/2708;;C07C7/005;;C07C7/005;;C07C7/12;;C07C7/12;;C07C7/14;;C07C7/14,C07C5/13;;B01D3/06;;B01D15/18;;C07C5/27;;C07C7/00;;C07C7/12;;C07C7/14,,5,5,052-503-084-205-012;;044-064-293-134-597;;108-269-059-790-923;;031-556-162-798-042;;013-381-393-769-367,10.1016/0021-9517(65)90059-x;;10.1016/0021-9517(66)90059-5;;10.1016/0021-9517(80)90386-3;;10.1021/ie010095t;;10.1021/ie0505413,"Weisz, P. B. et al., “Superactive Crystalline Aluminosilicate Hydrocarbon Catalysts”, Journal of Catalysis, vol. 4, Issue 4, pp. 527-529, Aug. 1965.;;Miale, J. N., et al., “Catalysis by Crystalline Aluminosilicates, IV. Attainable Catalytic Cracking Rate Constants, and Superactivity” Journal of Catalysis, vol. 6, Issue 2, pp. 278-287, Oct. 1966.;;Olson, D. H., et al., “Chemical and Physical Properties of the ZSM-5 Substitutional Series”, Journal of Catalysis, vol. 61, Issue 2, pp. 390-396, Feb. 1980.;;Minceva, M., et al., “Modeling and Simulation of a Simulated Moving Bed for the Separation of P-Xylene”, Industrial & Engineering Chemistry Research, vol. 41, pp. 3454-3461, 2002.;;Kurup, A.S., et al. “Comparative Study of Modified Simulated Moving Bed Systems at Optimal Conditions for the Separation of Ternary Mixtures of Xylene Isomers”, Ind Eng. Chem. Res., vol. 45, Issue 18, pp. 6251-6265, Aug. 2006, DOI: 10.1021/ie0505413.",INACTIVE
