"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A,US 5180309 A,094-319-846-550-677,1993-01-19,1993,US 62142090 A,1990-12-04,US 62142090 A,1990-12-04,Automated answer evaluation and scoring system and method,"Apparatus and method are disclosed for achieving automated evaluation and oring of a participant's response to questions selected pseudo-randomly. A plurality of questions are available for each of a plurality of categories, in a question file. For each question there is an answer in an answer file. The answer includes characters preselected to denote a tolerance that permits a partially correct answer automatically to be credited to the participant's point total. A perfect answer is worth a predetermined full-credit value that is the same for each question; and, a partially correct answer that is within the tolerance for that question, is worth a predetermined fraction of the full-credit value. Pseudo-random selection of the questions from the question file is performed by a number generator that is seeded from the system's clock with the time of day that the system is activated. Each selection by the participant of a category for a question, steps every category to its next question and corresponding answer. The questions are presented on the system's display, and the participant's answers are provided by way of a keyboard.",US NAVY,EGNOR MICHAEL E,UNITED STATES OF AMERICA THE AS REPRESENTED BY THE SECRETARY OF THE NAVY (1990-11-27),https://lens.org/094-319-846-550-677,Granted Patent,yes,9,405,1,1,0,G09B7/04;;G09B7/04,G09B7/04,434/323;;434/327;;434/353;;434/362;;273/430;;364/411,0,0,,,,EXPIRED
2,US,B1,US 10094670 B1,126-633-733-475-96X,2018-10-09,2018,US 201414519358 A,2014-10-21,US 201414519358 A;;US 201213602665 A,2012-09-04,Condensing sensor data for transmission and processing,"Aspects of the disclosure relate generally to condensing sensor data for transmission and processing. For example, laser scan data including location, elevation, and intensity information may be collected along a roadway. This data may be sectioned into quanta representing some period of time during which the laser sweeps through a portion of its field of view. The data may also be filtered spatially to remove data outside of a threshold quality area. The data within the threshold quality area for a particular quantum may be projected onto a two-dimensional grid of cells. For each cell of the two-dimensional grid, a computer evaluates the cells to determine a set of characteristics for the cell. The sets of characteristics for all of the cells of the two-dimensional grid for the particular quantum are then sent to a central computing system for further processing.",WAYMO LLC,CHATHAM ANDREW HUGHES;;MONTEMERLO MICHAEL STEVEN;;EGNOR DANIEL TRAWICK,WAYMO HOLDING INC (2017-03-21);;GOOGLE INC (2012-08-29);;WAYMO LLC (2017-03-22),https://lens.org/126-633-733-475-96X,Granted Patent,yes,9,0,2,2,0,G01S17/89;;G01S17/42;;G01S7/4808;;G01S17/89;;G01S7/4808;;G01S17/42;;G01C3/08;;G01C5/00;;G01C21/26;;G01S7/42,G01C3/08;;G01C5/00;;G01C21/26;;G01S7/42;;G01S17/89,,0,0,,,,ACTIVE
3,US,B1,US 8885151 B1,111-046-055-982-258,2014-11-11,2014,US 201213602665 A,2012-09-04,US 201213602665 A,2012-09-04,Condensing sensor data for transmission and processing,"Aspects of the disclosure relate generally to condensing sensor data for transmission and processing. For example, laser scan data including location, elevation, and intensity information may be collected along a roadway. This data may be sectioned into quanta representing some period of time during which the laser sweeps through a portion of its field of view. The data may also be filtered spatially to remove data outside of a threshold quality area. The data within the threshold quality area for a particular quantum may be projected onto a two-dimensional grid of cells. For each cell of the two-dimensional grid, a computer evaluates the cells to determine a set of characteristics for the cell. The sets of characteristics for all of the cells of the two-dimensional grid for the particular quantum are then sent to a central computing system for further processing.",CHATHAM ANDREW HUGHES;;MONTEMERLO MICHAEL STEVEN;;EGNOR DANIEL TRAWICK;;GOOGLE INC,CHATHAM ANDREW HUGHES;;MONTEMERLO MICHAEL STEVEN;;EGNOR DANIEL TRAWICK,WAYMO HOLDING INC (2017-03-21);;GOOGLE INC (2012-08-29);;WAYMO LLC (2017-03-22),https://lens.org/111-046-055-982-258,Granted Patent,yes,7,16,2,2,0,G01S17/89;;G01S17/42;;G01S7/4808;;G01S17/89;;G01S7/4808;;G01S17/42;;G01C3/08;;G01C5/00;;G01C21/26;;G01S7/42,G01S17/89,356/4.07,0,0,,,,ACTIVE
4,US,B1,US 8565958 B1,171-384-124-139-319,2013-10-22,2013,US 201113151461 A,2011-06-02,US 201113151461 A,2011-06-02,Removing extraneous objects from maps,"Aspects of the present disclosure relate generally to safe and effective use of autonomous vehicles. More specifically, laser data including locations, intensities, and elevation data may be collected along a roadway in order to generate a 3D map of the roadway. In order to remove extraneous objects such as moving vehicles from the 3D map, a 2D grid of the roadway may be generated. The grid may include a plurality of cells, each representing an area of the roadway. The collected data may be sorted into the grid based on location and then evaluated to identify the lowest elevation of the cell. All data points above some threshold distance above this lowest elevation may be removed. The resulting data points may be used to generate a 3D map of the roadway which excludes the extraneous objects.",MONTEMERLO MICHAEL STEVEN;;BURNETTE DONALD JASON;;CHATHAM ANDREW;;EGNOR DANIEL TRAWICK;;GOOGLE INC,MONTEMERLO MICHAEL STEVEN;;BURNETTE DONALD JASON;;CHATHAM ANDREW;;EGNOR DANIEL TRAWICK,GOOGLE LLC (2017-09-29);;WAYMO HOLDING INC (2017-03-21);;WAYMO LLC (2017-03-22),https://lens.org/171-384-124-139-319,Granted Patent,yes,25,34,1,1,0,G05D1/024;;G05D1/0274;;G09B29/106;;G05D1/024;;G05D1/0274;;G09B29/106,G01C21/32;;G05D1/02;;G09B29/00,701/25;;701/28,14,4,144-581-975-269-887;;049-217-083-038-915;;051-802-476-651-576;;089-015-968-588-995,10.1016/0165-1684(91)90017-d;;10.1016/j.optlaseng.2006.12.007;;10.3390/s8095238;;27873812;;pmc3705502;;10.1109/dfua.2001.985715,"Shi, Y. et al., ""An efficient method for making high-accuracy road true-orthoimages by fusing vehicle-based setero image and laser range data"", 30th Asian Conference on Remote Sensing, Dec. 2009, ACRS 2009, Paper TS 17.5, pp. 383-389.;;Lux, P.W. et al., ""Range imaging for autonomous navigation of robotic land vehicles"", Signal Processing, vol. 22 Issue 3, Mar. 1991, pp. 299-311.;;Bartha, Manfred B. et al., ""Robot-motion in unstructured environment"", 6th European ISTVS Conference, Vienna, Austria, Sep. 28-30, 1994, Proceedings vol. II, pp. 570ff.;;Gogle translation of WO 2010/024212.;;Microsoft translation of WO 2010/024212.;;Levinson, Jesse et al., ""Map-based precision vehicle localization in urban environments"", Proceedings of the Robotics: Science and Systems Conference, Jul. 27-30, 2007, Atlanta, GA, 8 pages.;;Witzgall, Christoph et al., ""Terrain characterization from ground-based LADAR"", Proceedings of the PerMIS '03 Workshop, National Institute of Standards and Technology, Sep. 16-18, 2003, Gaithersburg, MD, 8 pages.;;Rao, Rajendran et al., ""Ground surface extraction from side scan vehicluar Lidar"", MAPPS/ASPRS 2006 Fall Conference, Nov. 6-10, 2006, San Antonio, Texas, 8 pages.;;Yu, Si-Jie et al., ""3D reconstruction of road surfaces using an integrated multi-sensory approach"", Optics and Lasers in Engineering, vol. 45 Issue 7, Jul. 2007, pp. 808-818.;;Google translation of WO 2010/024212 (original WO document published Mar. 4, 2010).;;Microsoft translation of WO 2010/024212 (original WO document published Mar. 4, 2010).;;Anttoni Jaakkola, Juha Hyyppa, Hannu Hyyppa, and Antero Kukko, Retrieval Algorithms for Road Surface Modelling Using Laser-Based Mobile Mapping, Sep. 2008, 12 pages.;;Dinesh Manandhar, Ryosuke Shibasaki, Auto-Extraction of Urban Features From Vehicle-Borne Laser Data, 2002, 6 pages.;;Dinesh Manandhar, Ryosuke Shibasaki, Vehicle-borne Laser Mapping System (VLMS)-A New Observation System for 3-D Mapping of Urban Areas, Nov. 2001, 5 pages.",ACTIVE
5,US,B1,US 10845202 B1,094-827-163-067-556,2020-11-24,2020,US 201815878563 A,2018-01-24,US 201815878563 A;;US 201615188138 A;;US 201514590278 A;;US 201113293472 A,2011-11-10,Method and apparatus to transition between levels using warp zones,"An autonomous vehicle may access portions of a map to maneuver a roadway. The map may be split into one or more levels that represent different regions in space. For example, an overpass may be represented by one level while the road below the overpass may be on a separate level. A vehicle traveling on a particular level may use map data that is associated with that level. Furthermore, if the vehicle travels through a warp zone, it may transition from the current level to a destination level and thus begin to use map data associated with the destination level.",WAYMO LLC,URMSON CHRISTOPHER PAUL;;MONTEMERLO MICHAEL STEVEN;;CHATHAM ANDREW HUGHES;;EGNOR DANIEL TRAWICK,WAYMO HOLDING INC (2017-03-21);;GOOGLE INC (2011-11-03);;WAYMO LLC (2017-03-22),https://lens.org/094-827-163-067-556,Granted Patent,yes,13,0,4,4,0,B60W30/12;;B60W30/18154;;B60W2552/05;;B60W2556/50;;G05D1/0088;;G05D1/0246;;G05D1/0255;;G05D1/0257;;G05D1/0274;;G05D1/0278;;G01C21/34;;B60W30/18154;;B60W2552/05;;B60W2556/50;;B60W30/18159;;B60W60/001;;B60W30/12;;G01C21/28;;G01C21/3407,G01C21/34;;G01C21/28;;G05D1/00;;G05D1/02,,5,1,075-477-917-055-142,10.1109/robot.2009.5152365,"Kummerle R, Autonomous Driving in a Multi-level Parking Structure (May 12-17, 2009) (Year: 2009).;;Chen, et al., “Automatic Reconstruction of 3D Road Models by Using 2D Road Maps and Airborne Lidar Data” Center for Space and Remote Sensing Research, (2005).;;Elberink, et al. “Adding the third Dimension to a Topographic Database using Airborne Laser Scanner Data” Department of Earth Observation Science, International Institute for Geo-Information Science and Earth Observation, (2005).;;Kummerle, et al. Autonomous Driving in a Mutli-Level Parking Structure, IEEE International Conference on Robotics and Automation, pp. 3395-3400, May 12-17, 2009, Kobe, Japan.;;Triebel, et al., “Multi-Level Surface Maps for Outdoor Terrain Mapping and Loop Closing” University of Freiburg, Georges-Koehler-Allee 79, 79110 Freiburg, Germany (2005).",ACTIVE
6,US,B1,US 9400183 B1,002-665-863-459-60X,2016-07-26,2016,US 201514590278 A,2015-01-06,US 201514590278 A;;US 201113293472 A,2011-11-10,Method and apparatus to transition between levels using warp zones,"An autonomous vehicle may access portions of a map to maneuver a roadway. The map may be split into one or more levels that represent different regions in space. For example, an overpass may be represented by one level while the road below the overpass may be on a separate level. A vehicle traveling on a particular level may use map data that is associated with that level. Furthermore, if the vehicle travels through a warp zone, it may transition from the current level to a destination level and thus begin to use map data associated with the destination level.",GOOGLE INC,URMSON CHRISTOPHER PAUL;;MONTEMERLO MICHAEL STEVEN;;CHATHAM ANDREW HUGHES;;EGNOR DANIEL TRAWICK,GOOGLE LLC (2017-09-29);;WAYMO HOLDING INC (2017-03-21);;WAYMO LLC (2017-03-22),https://lens.org/002-665-863-459-60X,Granted Patent,yes,4,11,4,4,0,B60W30/12;;B60W30/18154;;B60W2552/05;;B60W2556/50;;G05D1/0088;;G05D1/0246;;G05D1/0255;;G05D1/0257;;G05D1/0274;;G05D1/0278;;G01C21/34;;B60W30/18154;;B60W2552/05;;B60W2556/50;;B60W30/18159;;B60W60/001;;B60W30/12;;G01C21/28;;G01C21/3407,G01D1/02;;B60L15/38;;G01C21/34,,4,1,075-477-917-055-142,10.1109/robot.2009.5152365,"Elberink, et al. ""Adding the third Dimension to a Topographic Database using Airborne Laser Scanner Data"" Department of Earth Observation Science, International Institute for Geo-Information Science and Earth Observation, (2005).;;Kummerle, et al. ""Autonomous Driving in a Mutli-Level Parking Structure"" (2008).;;Chen, et al., ""Automatic Reconstruction of 3D Road Models by Using 2D Road Maps and Airborne Lidar Data"" Center for Space and Remote Sensing Research, (2005).;;Triebel, et al., ""Multi-Level Surface Maps for Outdoor Terrain Mapping and Loop Closing"" University of Freiburg, Georges-Koehler-Allee 79, 79110 Freiburg, Germany (2005).",ACTIVE
7,US,B1,US 11852492 B1,007-579-753-526-622,2023-12-26,2023,US 202017075867 A,2020-10-21,US 202017075867 A;;US 201815878563 A;;US 201615188138 A;;US 201514590278 A;;US 201113293472 A,2011-11-10,Method and apparatus to transition between levels using warp zones,"An autonomous vehicle may access portions of a map to maneuver a roadway. The map may be split into one or more levels that represent different regions in space. For example, an overpass may be represented by one level while the road below the overpass may be on a separate level. A vehicle traveling on a particular level may use map data that is associated with that level. Furthermore, if the vehicle travels through a warp zone, it may transition from the current level to a destination level and thus begin to use map data associated with the destination level.",WAYMO LLC,URMSON CHRISTOPHER PAUL;;MONTEMERLO MICHAEL STEVEN;;CHATHAM ANDREW HUGHES;;EGNOR DANIEL TRAWICK,WAYMO HOLDING INC (2017-03-21);;GOOGLE INC (2011-11-03);;WAYMO LLC (2017-03-22),https://lens.org/007-579-753-526-622,Granted Patent,yes,15,0,4,4,0,B60W30/12;;B60W30/18154;;B60W2552/05;;B60W2556/50;;G05D1/0088;;G05D1/0246;;G05D1/0255;;G05D1/0257;;G05D1/0274;;G05D1/0278;;G01C21/34;;B60W30/18154;;B60W2552/05;;B60W2556/50;;B60W30/18159;;B60W60/001;;B60W30/12;;G01C21/28;;G01C21/3407,B60W30/12;;B60W30/18;;G01C21/28;;G01C21/34;;G05D1/00,,5,0,,,"Kummerle et al., Autonomous Driving in a Multi-level Parking Structure, 2009 IEEE International Conference on Robotics and Automation, Kobe, 2009, pp. 3395-3400 (Year: 2009).;;Chen , et al., “Automatic Reconstruction of 3D Road Models By Using 2D Road Maps and Airborne Lidar Data”, Center for Space and Remote Sensing Research, 2005, 6 pages.;;Elberink , et al., “Adding the third Dimension to a Topographic Database using Airborne Laser Scanner Data” Department of Earth Observation Science, International Institute for Geo-Information Science and Earth Observation, 2005, 6 pages.;;Kummerle , et al., “Autonomous Driving in a Multi-Level Parking Structure,”, IEEE International Conference on Robotics and Automation, Kobe, May 12-17, 2009, pp. 3395-3400.;;Triebel , et al., “Multi-Level Surface Maps for Outdoor Terrain Mapping and Loop Closing”, University of Freiburg, 2005, 7 pages.",ACTIVE
8,US,B1,US 9909887 B1,069-732-546-062-48X,2018-03-06,2018,US 201615188138 A,2016-06-21,US 201615188138 A;;US 201514590278 A;;US 201113293472 A,2011-11-10,Method and apparatus to transition between levels using warp zones,"An autonomous vehicle may access portions of a map to maneuver a roadway. The map may be split into one or more levels that represent different regions in space. For example, an overpass may be represented by one level while the road below the overpass may be on a separate level. A vehicle traveling on a particular level may use map data that is associated with that level. Furthermore, if the vehicle travels through a warp zone, it may transition from the current level to a destination level and thus begin to use map data associated with the destination level.",WAYMO LLC,URMSON CHRISTOPHER PAUL;;MONTEMERLO MICHAEL STEVEN;;CHATHAM ANDREW HUGHES;;EGNOR DANIEL TRAWICK,WAYMO HOLDING INC (2017-03-21);;GOOGLE INC (2011-11-03);;WAYMO LLC (2017-03-22),https://lens.org/069-732-546-062-48X,Granted Patent,yes,6,4,4,4,0,B60W30/12;;B60W30/18154;;B60W2552/05;;B60W2556/50;;G05D1/0088;;G05D1/0246;;G05D1/0255;;G05D1/0257;;G05D1/0274;;G05D1/0278;;G01C21/34;;B60W30/18154;;B60W2552/05;;B60W2556/50;;B60W30/18159;;B60W60/001;;B60W30/12;;G01C21/28;;G01C21/3407,G05D1/02;;B60L15/38;;G01C21/28;;G01C21/34;;G05D1/00,,5,2,075-477-917-055-142;;075-477-917-055-142,10.1109/robot.2009.5152365;;10.1109/robot.2009.5152365,"Kummerle et al., Autonomous Driving in a Multi-level Parking Structure. 2009 IEEE International Conference on Robotics and Automation, Kobe, Japan, May 12-17, 2009.;;Elberink, et al. “Adding the third Dimension to a Topographic Database using Airborne Laser Scanner Data” Department of Earth Observation Science, International Institute for Geo-Information Science and Earth Observation, (2005).;;Kummerle, et al. “Autonomous Driving in a Mutli-Level Parking Structure” (2008).;;Chen, et al., “Automatic Reconstruction of 3D Road Models by Using 2D Road Maps and Airborne Lidar Data” Center for Space and Remote Sensing Research, (2005).;;Triebel, et al., “Multi-Level Surface Maps for Outdoor Terrain Mapping and Loop Closing” University of Freiburg, Georges-Koehler-Allee 79, 79110 Freiburg, Germany (2005).",ACTIVE
9,US,A1,US 2008/0217341 A1,191-870-143-978-475,2008-09-11,2008,US 68429907 A,2007-03-09,US 68429907 A,2007-03-09,HYGIENIC BAKING PAN AND METHODS FOR PRODUCING AND USING SAME,"The present disclosure is directed toward an apparatus for preparing food products. Specifically, a hygienic baking pan comprises a panel having a continuously formed structure comprising at least two sides. The hygienic baking pan may also comprise a frame joined to the panel and/or a plurality of concave molds formed therein. Additionally, the present disclosure includes methods for manufacturing an apparatus for preparing food products. The method includes manufacturing a single continuous sheet of metal material to form a tray having a top surface and two sides, forming the metal material sheet to form a plurality of concave molds therein, and joining a frame to the metal material sheet, wherein a gap is formed between the frame and the metal material sheet.",NESTEC SA,WOLEVER DENNIS SCOTT;;EGNOR RICHARD PATRICK;;WOOD JOHN DAVID;;MULLANEY MICHAEL EDWIN;;WESTFALL GREGORY HOWARD,NESTEC S.A (2007-04-20),https://lens.org/191-870-143-978-475,Patent Application,yes,64,11,4,4,0,A21B3/132;;A21B3/15;;Y10T29/49;;Y10T29/49;;A21B3/15;;A21B3/132,A47J27/00;;A47J27/022;;B23P17/04,220/573.1;;220/573.2;;29/592,0,0,,,,DISCONTINUED
10,CL,A1,CL 2008000694 A1,166-939-723-254-250,2009-09-25,2009,CL 2008000694 A,2008-03-07,US 68429907 A,2007-03-09,Aparato para preparar productos alimenticios que comprende un panel que tiene una estructura formada en modo continuo con a lo menos dos caras y un marco unido al panel definiendo un hieco o espacio vacio entre ellos; donde el marco comprende una barra de soporte; metodo para fabricar un aparato.,"UN APARATO Y UN METODO PARA FABRICAR DICHO APARATO, QUE SIRVE PARA PREPARAR PRODUCTOS ALIMENTICIOS, EL CUAL PROPORCIONA UNA SUPERFICIE QUE CUMPLE CON ESTANDARES HIGIENICOS, QUE COMPRENDE:<br /> UN PANEL (12) QUE TIENE UNA ESTRUCTURA FORMADA EN MODO CONTINUO QUE COMPRENDE A LO MENOS DOS CARAS (14, 15); Y UN MARCO (22) UNIDO AL PANEL (12) QUE DEFINE UN HUECO O ESPACIO VACIO ENTRE ELLOS, Y DONDE EL MARCO COMPRENDE A LO MENOS UNA BARRA DE SOPORTE (24, 26, 28).",NESTEC SA,WOLEVER DENNIS SCOTT;;EGNOR RICHARD PATRICK;;WOOD JOHN DAVID;;MULLANEY MICHAEL EDWIN;;WESTFALL GREGORY HOWARD,,https://lens.org/166-939-723-254-250,Patent Application,no,0,0,4,4,0,A21B3/132;;A21B3/15;;Y10T29/49;;Y10T29/49;;A21B3/15;;A21B3/132,A21B3/13;;A21B3/15,,0,0,,,,PENDING
