"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A,US 4391982 A,088-206-490-215-115,1983-07-05,1983,US 24727981 A,1981-03-25,US 24727981 A;;US 12743680 A,1980-03-05,Intermediates for the production of picropodophyllin and related compounds and processes for the preparation and use thereof,"The present invention provides compounds having the structure: ##STR1## wherein R.sup.1 represents alkoxy or aralkoxy, R.sup.2 represents hydrogen, alkoxy, aralkoxy, alkyl, aralkyl, or R.sup.1 and R.sup.2 taken together represent the group --O--CH.sub.2 --O--, R.sup.3 represents hydrogen, alkyl, aralkyl, acyl or a protecting group, Y represents Cl, Br, I or a leaving group; and X represents Cl, Br or I. The present invention also provides a process for preparation of compounds VI in a single step wherein X and Y are the same and represent Cl, Br, ,or I, and R.sup.3 is as previously defined except that in this instance, it does not represent a protecting group. According to another aspect of the present invention there are provided compounds VII-a and VII-b having the structure: ##STR2## wherein R.sup.1, R.sup.2 and R.sup.3 are as previously defined, j is an integer having a value of 0 or 1, Z.sup.1 represents a non-reacting electron withdrawing group, and Z.sup.2 represents a non-reacting electron withdrawing group or hydrogen, R.sup.8 and R.sup.9 are the same or different and represent hydrogen, alkyl, aralkyl, alkoxy, or aralkoxy, and R.sup.7 represents hydrogen, alkyl, aralkyl or acyl. Compounds VII-a may be prepared from compounds VI through the use of the process of ""insertion-cyclization"" which is provided by another aspect of the present invention. According to a further aspect of the present invention, compounds VII-a are converted into tetralone III-a shown below: ##STR3## wherein R.sup.1, R.sup.2, R.sup.3, Z.sup.1, Z.sup.2, R.sup.7, R.sup.8 and R.sup.9 are as previously defined. Certain of these compounds can, in turn, be readily converted into picropodophyllin and picrosikkimotoxin. The latter can be converted into known antineoplastic agents by known procedures.",UNIV ROCHESTER,KENDE ANDREW S;;CURRAN DENNIS P;;KING MARGARET L;;FELDSTEIN NEIL A,,https://lens.org/088-206-490-215-115,Granted Patent,yes,2,18,1,26,0,C07D493/04;;C07D493/04;;C07D317/50;;C07D317/50;;C07D317/62;;C07D317/62;;C07D317/70;;C07D317/70;;Y02P20/55;;Y02P20/55,C07D317/50;;C07D317/62;;C07D317/70;;C07D493/04,549/433;;560/56;;564/158;;568/312;;568/327,1,1,089-432-261-372-020,10.1021/ja01492a047,"Gensler et al, Journ. Amer. Chem. Society, vol. 82, pp. 1714-1727, (1960).",EXPIRED
2,US,A,US 4294763 A,187-551-858-178-460,1981-10-13,1981,US 12743680 A,1980-03-05,US 12743680 A,1980-03-05,Intermediates for the production of picropodophyllin and related compounds and processes for the preparation and use thereof,"The present invention provides compounds having the structure: ##STR1## wherein R.sup.1 represents alkoxy or aralkoxy, R.sup.2 represents hydrogen, alkoxy, aralkoxy, alkyl, aralkyl, or R.sup.1 and R.sup.2 taken together represent the group --O--CH.sub.2 --O--, R.sup.3 represents hydrogen, alkyl, aralkyl, acyl or a protecting group, Y represents Cl, Br, I or a leaving group; and X represents Cl, Br or I. The present invention also provides a process for preparation of compounds VI in a single step wherein X and Y are the same and represent Cl, Br, or I, and R.sup.3 is as previously defined except that in this instance, it does not represent a protecting group. According to another aspect of the present invention there are provided compounds VII-a and VII-b having the structure: ##STR2## wherein R.sup.1, R.sup.2 and R.sup.3 are as previously defined, j is an integer having a value of 0 or 1, Z.sup.1 represents a non-reacting electron withdrawing group, and Z.sup.2 represents a non-reacting electron withdrawing group or hydrogen, R.sup.8 and R.sup.9 are the same or different and represent hydrogen, alkyl, aralkyl, alkoxy, or aralkoxy, and R.sup.7 represents hydrogen, alkyl, aralkyl or acyl. Compounds VII-a may be prepared from compounds VI through the use of the process of ""insertion-cyclization"" which is provided by another aspect of the present invention. According to a further aspect of the present invention, compounds VII-a are converted into tetralone III-a shown below: ##STR3## wherein R.sup.1, R.sup.2, R.sup.3, Z.sup.1, Z.sup.2, R.sup.7, R.sup.8 and R.sup.9 are as previously defined. Certain of these compounds can, in turn, be readily converted into picropodophyllin and picrosikkimotoxin. The latter can be converted into known antineoplastic agents by known procedures.",UNIV ROCHESTER,KENDE ANDREW S;;CURRAN DENNIS P;;KING MARGARET L;;FELDSTEIN NEIL A,UNIVERSITY OF ROCHESTER (1981-02-09),https://lens.org/187-551-858-178-460,Granted Patent,yes,2,24,23,26,0,C07D317/50;;C07D317/62;;C07D317/70;;C07D493/04;;Y02P20/55;;A61P35/00;;C07D493/04;;C07D317/50;;C07D317/62;;C07D317/70;;Y02P20/55,A61K31/357;;A61K31/36;;A61P35/00;;C07C41/00;;C07C69/003;;C07C41/06;;C07C43/18;;C07C43/20;;C07C43/225;;C07C43/23;;C07C45/00;;C07C49/755;;C07C67/00;;C07C69/63;;C07D317/44;;C07D317/50;;C07D317/54;;C07D317/62;;C07D317/70;;C07D493/04,2603405 DP,18,9,092-076-131-535-928;;010-491-560-458-776;;015-244-312-317-441;;054-560-063-841-507;;104-551-661-497-061;;147-738-483-994-734;;033-336-808-033-03X;;164-806-169-580-62X;;034-581-099-909-013,10.1021/jo00402a034;;10.1021/jo01328a031;;10.1021/jo00878a009;;10.1021/jo00928a016;;10.1021/jo01013a003;;10.1021/ja00842a031;;1133420;;10.1021/ja01508a026;;10.1021/ja01115a018;;10.1002/hlca.19690520410;;5798940,"Shamma, The Isoquinoline Alkaloids, Chemistry and Pharmacology 1972, Academic Press, pp. 42-45.;;Hartwell et al., Fortschr. Chem. Organische Naturstoffe 15, p. 101.;;McOmie, Protective Groups in Organic Chemistry Plenum Press, 1973, pp. 95-143.;;March, Advanced Organic Chemistry, McGraw-Hill Book Co. p. 21.;;Hergrueter et al. Tetrahedron Letters No. 48 pp. 4145-4148, 1977.;;Parham et al., J. Org. Chem., vol. 43, No. 8, 1978 pp. 1606-1607.;;Kraus et al., J. Org. Chem., 44, 2480-2482 (1979).;;Bruwer et al., Tetrahedron Letters, 52, 4573-4574, 1977.;;Parham et al., J. Org. Chem., vol. 41, 1184-1186, 2628-2633, 2704-2706 (1976).;;Parham et al., J. Org. Chem., vol. 39, 2051-2053 (1974).;;Wildeman et al., Tetrahedron Letters, 25, 2213-2216 (1978).;;Gilman et al., J. Org. Chem., 30, 325-328 (1965).;;Semmelhack et al., J.A.C.S., 97, 2507-2516 (1975).;;Uyeo et al., Chem. Abst. 36, 4286g (1964).;;Gensler et al., J. Am. Chem. Soc., 82, 1714-1727, 6074-6081 (1960).;;Wagh et al., Indian J. Chem., 13, 882-885 (1975).;;Campbell et al., J. Am. Chem. Soc., 75, 4681-4684, 1953.;;Kuhn et al., Helv. Chim. Acta. 52, 944-947, 1969.",EXPIRED
3,CH,A5,CH 657363 A5,028-837-563-014-950,1986-08-29,1986,CH 535184 A,1981-02-27,US 12743680 A,1980-03-05,"VERBINDUNGEN, VERWENDBAR ALS ZWISCHENSTUFEN ZUR HERSTELLUNG VON PICROPODOPHYLLIN UND VERWANDTEN VERBINDUNGEN, SOWIE VERFAHREN ZU DEREN HERSTELLUNG.",,UNIV ROCHESTER,KENDE ANDREW S;;CURRAN DENNIS P;;KING MARGARET LOGAN;;FELDSTEIN NEIL A,,https://lens.org/028-837-563-014-950,Granted Patent,no,0,0,23,26,0,C07D317/50;;C07D317/62;;C07D317/70;;C07D493/04;;Y02P20/55;;A61P35/00;;C07D493/04;;C07D317/50;;C07D317/62;;C07D317/70;;Y02P20/55,C07C69/003;;A61K31/357;;A61K31/36;;A61P35/00;;C07C41/00;;C07C41/06;;C07C43/18;;C07C43/20;;C07C43/225;;C07C43/23;;C07C45/00;;C07C49/755;;C07C67/00;;C07C69/63;;C07D317/44;;C07D317/50;;C07D317/54;;C07D317/62;;C07D317/70;;C07D493/04,,0,0,,,,EXPIRED
4,DE,A1,DE 3106674 A1,063-917-798-326-763,1981-12-17,1981,DE 3106674 A,1981-02-23,US 12743680 A,1980-03-05,"ZWISCHENSTUFEN ZUR HERSTELLUNG VON PICROPODOPHYLLIN UND VERWANDTEN VERBINDUNGEN, VERFAHREN ZU DEREN HERSTELLUNG UND DEREN VERWENDUNG",,UNIV ROCHESTER,KENDE ANDREW S;;CURRAN DENNIS P;;KING MARGARET LOGAN;;FELDSTEIN NEIL A,,https://lens.org/063-917-798-326-763,Patent Application,no,1,0,23,26,0,C07D317/50;;C07D317/62;;C07D317/70;;C07D493/04;;Y02P20/55;;A61P35/00;;C07D493/04;;C07D317/50;;C07D317/62;;C07D317/70;;Y02P20/55,C07C69/003;;A61K31/357;;A61K31/36;;A61P35/00;;C07C41/00;;C07C41/06;;C07C43/18;;C07C43/20;;C07C43/225;;C07C43/23;;C07C45/00;;C07C49/755;;C07C67/00;;C07C69/63;;C07D317/44;;C07D317/50;;C07D317/54;;C07D317/62;;C07D317/70;;C07D493/04,,3,1,056-620-003-919-653,10.1248/cpb.26.1558,"Indian J. Chem. 13, 1975, S.882-885;;Chem. Pharm. Bull. 26(5), 1978, S.1558-1569;;C. R. Acad. Sc. Paris, Serie C, t 264, 1967, S.2071-2073",EXPIRED
5,CA,A,CA 1181083 A,130-485-789-670-150,1985-01-15,1985,CA 372161 A,1981-03-03,US 12743680 A,1980-03-05,INTERMEDIATES FOR THE PRODUCTION OF PICROPODOPHYLLIN AND RELATED COMPOUNDS AND PROCESS FOR THE PREPARATION AND USE THEREOF,"According to the present invention, there are provided compounds VII-a and VII-b having the structure: <IMG> VII-a; j=1 VII-b; j=0 wherein R1, R2 and R3 are as previously defined, j is an integer having a value of 0 or 1, Z1 represents a non-reacting electron withdrawing group, and Z2 represents a non-reacting electron withdrawing group or hydrogen, R8 and R9 are the same or different and represent hydrogen, alkyl, aralkyl, alkoxy, or aralkoxy, and R7 represents hydrogen, alkyl, aralkyl or acyl. Compounds VII-a may be prepared through the use of the process of ""insertion-cyclization"" which is provided by another aspect of the present invention. The compounds are useful as intermediates in the production of podophyllotoxin, a known antineoplastic agent.",UNIV ROCHESTER,KENDE ANDREW S;;CURRAN DENNIS P;;KING MARGARET L;;FELDSTEIN NEIL A,,https://lens.org/130-485-789-670-150,Granted Patent,no,0,0,23,26,0,C07D317/50;;C07D317/62;;C07D317/70;;C07D493/04;;Y02P20/55;;A61P35/00;;C07D493/04;;C07D317/50;;C07D317/62;;C07D317/70;;Y02P20/55,C07C69/003;;A61K31/357;;A61K31/36;;A61P35/00;;C07C41/00;;C07C41/06;;C07C43/18;;C07C43/20;;C07C43/225;;C07C43/23;;C07C45/00;;C07C49/755;;C07C67/00;;C07C69/63;;C07D317/44;;C07D317/50;;C07D317/54;;C07D317/62;;C07D317/70;;C07D493/04,260-351.6,0,0,,,,EXPIRED
6,US,A,US 4667043 A,036-766-665-396-720,1987-05-19,1987,US 34073582 A,1982-01-19,US 34073582 A;;US 24727981 A,1981-03-25,Intermediates for the production of picropodophyllin and related compounds and processes for the preparation and use thereof,"The present invention provides compounds having the structure: ##STR1## wherein R.sup.1 represents alkoxy or aralkoxy, R.sup.2 represents hydrogen, alkoxy, aralkoxy, alkyl, aralkyl, or R.sup.1 and R.sup.2 taken together represent the group --O--CH.sub.2 --O--, R.sup.3 represents hydrogen, alkyl, aralkyl, acyl or a protecting group, Y represents Cl, Br, I or a leaving group, and X represents Cl, Br or I.",UNIV ROCHESTER,KENDE ANDREW S;;CURRAN DENNIS P;;KING MARGARET L;;FELDSTEIN NEIL A,,https://lens.org/036-766-665-396-720,Granted Patent,yes,5,0,1,26,0,C07D493/04;;C07D493/04;;C07D317/50;;C07D317/50;;C07D317/62;;C07D317/62;;C07D317/70;;C07D317/70;;Y02P20/55;;Y02P20/55,C07D317/50;;C07D317/62;;C07D317/70;;C07D493/04,547/445;;568/644,0,0,,,,EXPIRED
7,IT,B,IT 1212502 B,097-264-481-732-585,1989-11-22,1989,IT 2014881 A,1981-03-05,US 12743680 A,1980-03-05,"INTERMEDI PER LA PRODUZIONE DI PICROPODOFILLINA E COMPOSTI RELATIVI, E PROCEDIMENTI PER LALORO PREPARAZIONE E IL LORO USO.",,UNIV ROCHESTER ROCHESTER N Y S,KENDE ANDREW S;;CURRAN DENNIS P;;KING MARGARET LOGAN;;FELDSTEIN NEIL A,,https://lens.org/097-264-481-732-585,Granted Patent,no,0,0,23,26,0,C07D317/50;;C07D317/62;;C07D317/70;;C07D493/04;;Y02P20/55;;A61P35/00;;C07D493/04;;C07D317/50;;C07D317/62;;C07D317/70;;Y02P20/55,A61K31/357;;C07C69/003;;A61K31/36;;A61P35/00;;C07C41/00;;C07C41/06;;C07C43/18;;C07C43/20;;C07C43/225;;C07C43/23;;C07C45/00;;C07C49/755;;C07C67/00;;C07C69/63;;C07D317/44;;C07D317/50;;C07D317/54;;C07D317/62;;C07D317/70;;C07D493/04,,0,0,,,,EXPIRED
8,GB,B,GB 2116182 B,124-193-864-508-224,1984-10-31,1984,GB 8308455 A,1983-03-28,US 12743680 A,1980-03-05,INTERMEDIATES FOR THE PRODUCTION OF PICROPODPHYLLIN AND PICROSIKKIMOTOXIN,,UNIV ROCHESTER,KENDE ANDREW S;;CURRAN DENNIS P;;KING MARGARET LOGAN;;FELDSTEIN NEIL A,,https://lens.org/124-193-864-508-224,Granted Patent,no,0,0,23,26,0,C07D317/50;;C07D317/62;;C07D317/70;;C07D493/04;;Y02P20/55;;A61P35/00;;C07D493/04;;C07D317/50;;C07D317/62;;C07D317/70;;Y02P20/55,A61K31/357;;C07C69/003;;A61K31/36;;A61P35/00;;C07C41/00;;C07C41/06;;C07C43/18;;C07C43/20;;C07C43/225;;C07C43/23;;C07C45/00;;C07C49/755;;C07C67/00;;C07C69/63;;C07D317/44;;C07D317/50;;C07D317/54;;C07D317/62;;C07D317/70;;C07D493/04,C2C1494;;C2C213;;C2C247;;C2C253;;C2C25Y;;C2C305;;C2C314;;C2C31Y;;C2C337;;C2C339;;C2C364;;C2C36Y;;C2C500;;C2C50Y;;C2C624;;C2C652;;C2C777;;C2CAA;;C2CWD;;U1S1313;;U1SC2C,0,0,,,,EXPIRED
9,IT,A0,IT 8120148 A0,131-622-046-549-813,1981-03-05,1981,IT 2014881 A,1981-03-05,US 12743680 A,1980-03-05,"INTERMEDI PER LA PRODUZIONE DI PICROPODOFILLINA E COMPOSTI RELATIVI, E PROCEDIMENTI PER LALORO PREPARAZIONE E IL LORO USO.",,UNIV ROCHESTER ROCHESTER N Y S,KENDE ANDREW S;;CURRAN DENNIS P;;KING MARGARET LOGAN;;FELDSTEIN NEIL A,,https://lens.org/131-622-046-549-813,Patent Application,no,0,0,23,26,0,C07D317/50;;C07D317/62;;C07D317/70;;C07D493/04;;Y02P20/55;;A61P35/00;;C07D493/04;;C07D317/50;;C07D317/62;;C07D317/70;;Y02P20/55,A61K31/357;;C07C69/003;;A61K31/36;;A61P35/00;;C07C41/00;;C07C41/06;;C07C43/18;;C07C43/20;;C07C43/225;;C07C43/23;;C07C45/00;;C07C49/755;;C07C67/00;;C07C69/63;;C07D317/44;;C07D317/50;;C07D317/54;;C07D317/62;;C07D317/70;;C07D493/04,,0,0,,,,EXPIRED
10,CA,A,CA 1182827 A,136-395-762-845-415,1985-02-19,1985,CA 432955 A,1983-07-21,CA 432955 A;;CA 372161 A;;US 12743680 A,1980-03-05,INTERMEDIATES FOR THE PRODUCTION OF PICROPODOPHYLLIN AND PROCESSES FOR THE PREPARATION AND USE THEREOF,"The present invention provides compounds useful as intermediates in the preparation of antineoplastic agents, having the structure: <IMG> VI wherein R1 represents alkoxy or aralkoxy, R2 represents hydrogen, alkoxy, aralkoxy, alkyl, aralkyl, or R1 and R2 taken together represent the group -O-CH2-O-, R3 represents hydrogen, alkyl, aralkyl, acyl or a protecting group, Y represents Cl, Br, I or a leaving group; and X represents Cl, Br or I. The present invention also provides a process for preparation of compounds VI in a single step wherein X and Y are the same and represent Cl, Br, or I, and R3 is as previously defined except that in this instance, it does not represent a protecting group.",UNIV ROCHESTER,KENDE ANDREW S;;CURRAN DENNIS P;;KING MARGARET L;;FELDSTEIN NEIL A,,https://lens.org/136-395-762-845-415,Granted Patent,no,0,0,1,26,0,Y02P20/55,C07C43/225;;C07D317/48,260-353.5,0,0,,,,EXPIRED
