"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,EP,A2,EP 1873685 A2,015-409-418-466-739,2008-01-02,2008,EP 07110991 A,2007-06-25,US 42632406 A,2006-06-26,Mirrored spinner with paired offset facets,"A mirrored spinner with paired offset facets for scattering a laser beam. The mirrored spinner (16) includes a first number of mirrored facets (40-50), including a second number of pairs of offset mirrored facets. 
The spinner is used in optical bar code scanners for producing horizontal and vertical scan lines.
",NCR CORP,DETWILER PAUL,"NCR CORPORATION (2010-03-31);;NCR CORPORATION, ATLANTA, US (2020-02-03)",https://lens.org/015-409-418-466-739,Patent Application,yes,2,2,9,9,0,G02B5/09;;G06K7/10623;;H04N1/113;;G02B5/09;;H04N1/113;;G06K7/10623,G06K7/10;;B41J2/47;;G02B26/12;;G02B27/00;;G06K15/12;;H04N1/00;;H04N1/113,,0,0,,,,ACTIVE
2,EP,B1,EP 3115923 B1,034-049-997-547-180,2019-08-07,2019,EP 15202748 A,2015-12-24,US 201514795177 A,2015-07-09,MULTIPLE VIEW SINGLE CAMERA IMAGING SCANNER,,NCR CORP,DETWILER PAUL,NCR CORPORATION (2018-05-16),https://lens.org/034-049-997-547-180,Granted Patent,yes,3,0,6,6,0,G06K7/10623;;G06K7/10702;;G06K7/10801;;H04N23/55;;G06K7/10613;;G06K7/10722;;G06K7/1096;;H04N23/55;;G06K7/10613;;G06K7/10722;;G06K7/1096;;H04N23/51;;H04N23/55;;G02B26/105;;G06K7/10623,G06K7/10;;G02B26/10;;H04N5/225,,0,0,,,,ACTIVE
3,US,A1,US 2017/0011242 A1,140-208-647-279-399,2017-01-12,2017,US 201514795177 A,2015-07-09,US 201514795177 A,2015-07-09,MULTIPLE VIEW SINGLE CAMERA IMAGING SCANNER,"An imaging system includes a camera having a field of view, a set of axially spaced moveable mirrors supported on a rotor to rotate the mirrors within the field of view of the camera, and a set of stationary mirrors supported to redirect the fields of view from the set of moveable mirrors to provide multiple fields of view at different angles.",NCR CORP,DETWILER PAUL,NCR VOYIX CORPORATION (2015-07-08),https://lens.org/140-208-647-279-399,Patent Application,yes,0,12,6,6,0,G06K7/10623;;G06K7/10702;;G06K7/10801;;H04N23/55;;G06K7/10613;;G06K7/10722;;G06K7/1096;;H04N23/55;;G06K7/10613;;G06K7/10722;;G06K7/1096;;H04N23/51;;H04N23/55;;G02B26/105;;G06K7/10623,G06K7/10;;G02B26/10;;H04N5/225,,0,0,,,,ACTIVE
4,EP,A3,EP 1873685 A3,059-713-380-382-515,2009-05-06,2009,EP 07110991 A,2007-06-25,US 42632406 A,2006-06-26,Mirrored spinner with paired offset facets,"A mirrored spinner with paired offset facets for scattering a laser beam. The mirrored spinner (16) includes a first number of mirrored facets (40-50), including a second number of pairs of offset mirrored facets. 
The spinner is used in optical bar code scanners for producing horizontal and vertical scan lines.
",NCR CORP,DETWILER PAUL,"NCR CORPORATION (2010-03-31);;NCR CORPORATION, ATLANTA, US (2020-02-03)",https://lens.org/059-713-380-382-515,Search Report,yes,9,0,9,9,0,G02B5/09;;G06K7/10623;;H04N1/113;;G02B5/09;;H04N1/113;;G06K7/10623,G06K7/10;;B41J2/47;;G02B26/12;;G02B27/00;;G06K15/12;;H04N1/00;;H04N1/113,,0,0,,,,ACTIVE
5,US,A1,US 2016/0148030 A1,070-313-886-010-802,2016-05-26,2016,US 201414552642 A,2014-11-25,US 201414552642 A,2014-11-25,SCANNER WITH ADJUSTABLE FIELD OF VIEW,A scanner having a single integrated camera and a mechanism to adjustable alter the field of view of the camera to provide a field of view coverage area equivalent to scanners having two or more integrated cameras.,NCR CORP,DETWILER PAUL,NCR VOYIX CORPORATION (2014-11-25),https://lens.org/070-313-886-010-802,Patent Application,yes,0,5,6,6,0,G06K7/10613;;G06K7/10702;;G06K7/10881;;G02B7/1821;;G02B26/105;;G06Q20/208;;G02B26/105;;G02B7/1821;;G06K7/1439;;G06K7/1465,G06K7/14;;G06Q20/20,,0,0,,,,ACTIVE
6,EP,B1,EP 1873685 B1,092-629-235-692-335,2012-01-18,2012,EP 07110991 A,2007-06-25,US 42632406 A,2006-06-26,Mirrored spinner with paired offset facets,,NCR CORP,DETWILER PAUL,"NCR CORPORATION (2010-03-31);;NCR CORPORATION, ATLANTA, US (2020-02-03)",https://lens.org/092-629-235-692-335,Granted Patent,yes,9,0,9,9,0,G02B5/09;;G06K7/10623;;H04N1/113;;G02B5/09;;H04N1/113;;G06K7/10623,G06K7/10;;B41J2/47;;G02B26/12;;G02B27/00;;G06K15/12;;H04N1/00;;H04N1/113,,0,0,,,,ACTIVE
7,EP,A1,EP 3115923 A1,014-805-982-938-344,2017-01-11,2017,EP 15202748 A,2015-12-24,US 201514795177 A,2015-07-09,MULTIPLE VIEW SINGLE CAMERA IMAGING SCANNER,"An imaging system (100) includes a camera (110) having a field of view (115), a set of axially spaced moveable mirrors (120 to 122) supported on a rotor (125) to rotate the mirrors (120 to 122) within the field of view (115) of the camera (110), and a set of stationary mirrors (135 to 137) supported to redirect the fields of view from the set of moveable mirrors (120 to 122) to provide multiple fields of view at different angles.
",NCR CORP,DETWILER PAUL,NCR CORPORATION (2018-05-16),https://lens.org/014-805-982-938-344,Patent Application,yes,3,0,6,6,0,G06K7/10623;;G06K7/10702;;G06K7/10801;;H04N23/55;;G06K7/10613;;G06K7/10722;;G06K7/1096;;H04N23/55;;G06K7/10613;;G06K7/10722;;G06K7/1096;;H04N23/51;;H04N23/55;;G02B26/105;;G06K7/10623,G06K7/10,,0,0,,,,ACTIVE
8,CN,A,CN 101131473 A,135-555-126-789-292,2008-02-27,2008,CN 200710112650 A,2007-06-26,US 42632406 A,2006-06-26,Mirrored spinner with paired offset facets,,NCR CORP,PAUL DETWILER,,https://lens.org/135-555-126-789-292,Patent Application,no,0,1,9,9,0,G02B5/09;;G06K7/10623;;H04N1/113;;G02B5/09;;H04N1/113;;G06K7/10623,G02B26/10;;G06K7/00;;G06K7/10,,0,0,,,,INACTIVE
9,US,B2,US 9710684 B2,029-816-930-430-15X,2017-07-18,2017,US 201514795177 A,2015-07-09,US 201514795177 A,2015-07-09,Multiple view single camera imaging scanner,"An imaging system includes a camera having a field of view, a set of axially spaced moveable mirrors supported on a rotor to rotate the mirrors within the field of view of the camera, and a set of stationary mirrors supported to redirect the fields of view from the set of moveable mirrors to provide multiple fields of view at different angles.",NCR CORP,DETWILER PAUL,NCR VOYIX CORPORATION (2015-07-08),https://lens.org/029-816-930-430-15X,Granted Patent,yes,6,7,6,6,0,G06K7/10623;;G06K7/10702;;G06K7/10801;;H04N23/55;;G06K7/10613;;G06K7/10722;;G06K7/1096;;H04N23/55;;G06K7/10613;;G06K7/10722;;G06K7/1096;;H04N23/51;;H04N23/55;;G02B26/105;;G06K7/10623,G02B26/00;;G02B26/10;;G06K7/10;;H04N5/225,,0,0,,,,ACTIVE
10,CN,A,CN 105631379 A,055-010-642-419-28X,2016-06-01,2016,CN 201510828571 A,2015-11-24,US 201414552642 A,2014-11-25,Scanner with adjustable field of view,A scanner having a single integrated camera and a mechanism to adjustably alter the field of view of the camera to provide a field of view coverage area equivalent to scanners having two or more integrated cameras.,NCR CORP,PAUL DETWILER,,https://lens.org/055-010-642-419-28X,Patent Application,no,4,0,6,6,0,G06K7/10613;;G06K7/10702;;G06K7/10881;;G02B7/1821;;G02B26/105;;G06Q20/208;;G02B26/105;;G02B7/1821;;G06K7/1439;;G06K7/1465,G06K7/10,,0,0,,,,ACTIVE
