"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A,US 1856159 A,103-610-984-274-859,1932-05-03,1932,US 49866530 A,1930-11-28,US 49866530 A,1930-11-28,Water closet seat,,THOMAS GRILLO;;PETER MONGILLO,THOMAS GRILLO;;PETER MONGILLO,,https://lens.org/103-610-984-274-859,Granted Patent,no,0,4,1,1,0,A47K13/10;;A47K13/10,A47K13/10,,0,0,,,,EXPIRED
2,US,B1,US 6457062 B1,027-329-136-416-720,2002-09-24,2002,US 28976499 A,1999-04-08,US 28976499 A,1999-04-08,System and method for synchronizing multiple calendars over wide area network,"
    A system and method are provided for sharing calendar data sets among a plurality of users. Included are a plurality of personal digital assistants, or PDA's, each suitable for storing personal calendar data sets thereon. Further provided is a server for synchronizing server calendar data sets stored thereon with the personal calendar data sets stored on the PDA's upon establishing communication therebetween. At least one communication link is adapted for establishing communication between the PDA's and the server. By establishing such communication between the PDA's and the server, the personal calendar data sets of different PDA's may be synchronized. 
",PALM INC,PIVOWAR ALVIN;;HANRAHAN STEVE;;GRILLO PETER,ACCESS SYSTEMS AMERICAS INC (2006-10-17);;WESYNC.COM (2001-11-15);;WESYNC.COM INC (2000-09-21);;PALM INC (2001-11-15);;ACCESS CO. LTD (2011-02-25),https://lens.org/027-329-136-416-720,Granted Patent,yes,48,257,3,3,0,G06Q10/109;;G06F16/273;;G06Q10/109;;G06F16/273,G06F17/30;;G06Q10/10,709/248;;709/200;;709/202;;709/204;;709/213;;709/217,5,0,,,"Puma Technology, Intellisync, Feb. 22, 1999.;;TrueSync Technology, TrueSync Tehcnology Platform, Feb. 22, 1999.;;When.com, What is When.com?, Apr. 7, 1999.;;PointCast, PointCast Network, Apr. 7, 1999.;;PointCast, PointCast Network, Apr. 7, 1999.",EXPIRED
3,EP,B1,EP 0619940 B1,135-953-195-243-975,1998-08-26,1998,EP 94200969 A,1994-04-11,IT VI930055 A;;IT VI930078 U,1993-04-13,A container for the purpose of humidifying vessels of flowers and plants and vessels capable of humidifying flowers and or plants,"A container (1) made for instance of ceramic, terracotta, or plastic material, is capable of supporting conventional vessels (4) by means of a plate (3) which is provided with openings. The vessels have a top peripheral border (5) which protrudes with respect to the peripheral border of the container so that the vessels are raised from the bottom of the container. Water is placed at the bottom of the container, some strips of felt (9) or similar absorbing material is inserted into the vessel and reaches the bottom of the container so that water is transferred to the soil by capillary action and also by evaporation. The containers consist of three compartments; the upper compartment (7) containing the soil, the lower compartment (6) containing the water, and an intermediate compartment (24) forming an air chamber. The walls (the container (1), the plate (3), and the vessel(s) [4]) containing the air chamber (24) act as an evaporation barrier. As water evaporates from the reservoir (6) it condenses along the walls containing the air chamber (24). Water is thereby reclaimed by the reservoir or is absorbed by the soil in the upper chamber (7). <IMAGE>",GARDNER TERRY;;PERAZZOLO REMIGIO;;GRILLO JOSEPH PETER;;WILSON EARNEST L,GARDNER TERRY;;PERAZZOLO REMIGIO;;GRILLO JOSEPH PETER;;WILSON EARNEST L,,https://lens.org/135-953-195-243-975,Granted Patent,yes,6,0,7,13,0,A01G27/04;;A01G27/04,A01G27/04,,0,0,,,,EXPIRED
4,EP,A2,EP 0619940 A2,034-050-678-033-287,1994-10-19,1994,EP 94200969 A,1994-04-11,IT VI930055 A;;IT VI930078 U,1993-04-13,A container for the purpose of humidifying vessels of flowers and plants and vessels capable of humidifying flowers and or plants.,"A container (1) made for instance of ceramic, terracotta, or plastic material, is capable of supporting conventional vessels (4) by means of a plate (3) which is provided with openings. The vessels have a top peripheral border (5) which protrudes with respect to the peripheral border of the container so that the vessels are raised from the bottom of the container. Water is placed at the bottom of the container, some strips of felt (9) or similar absorbing material is inserted into the vessel and reaches the bottom of the container so that water is transferred to the soil by capillary action and also by evaporation. The containers consist of three compartments; the upper compartment (7) containing the soil, the lower compartment (6) containing the water, and an intermediate compartment (24) forming an air chamber. The walls (the container (1), the plate (3), and the vessel(s) [4]) containing the air chamber (24) act as an evaporation barrier. As water evaporates from the reservoir (6) it condenses along the walls containing the air chamber (24). Water is thereby reclaimed by the reservoir or is absorbed by the soil in the upper chamber (7).",GARDNER TERRY;;PERAZZOLO REMIGIO;;GRILLO JOSEPH PETER;;WILSON EARNEST L,GARDNER TERRY;;PERAZZOLO REMIGIO;;GRILLO JOSEPH PETER;;WILSON EARNEST L,,https://lens.org/034-050-678-033-287,Patent Application,yes,0,8,7,13,0,A01G27/04;;A01G27/04,A01G27/04,,0,0,,,,EXPIRED
5,US,A,US 5535542 A,115-356-881-587-195,1996-07-16,1996,US 22628594 A,1994-04-11,IT VI930055 A;;IT VI930078 U,1993-04-13,Container for the purpose of humidifying vessels of flowers and plants and vessels capable of humidifying flowers and or plants,"A container (1) made for instance of ceramic, terracotta, or plastic material, is capable of supporting conventional vessels (4) by means of a plate (3) which is provided with openings. The vessels have a top peripheral border (5) which protrudes with respect to the peripheral border of the container so that the vessels are raised from the bottom of the container. Water is placed at the bottom of the container, some strips of felt (9) or similar absorbing material is inserted into the vessel and reaches the bottom of the container so that water is transferred to the soil by capillary action and also by evaporation. The containers consist of three compartments; the upper compartment corresponding to the vessel which contains the soil (7), the lower compartment (6) containing the water, and an intermediate compartment (24) forming an air chamber. The walls (the container (1), the plate (3), and the vessel(s) [4]) form the air chamber (24) and act as an evaporation barrier. As water evaporates from the reservoir (6) it condenses along the walls containing the air chamber (24). Water is thereby reclaimed by the reservoir or is absorbed by the soil in the upper chamber (7).",GARDNER TERRY;;PERAZZOLO REMIGIO;;GRILLO JOSEPH PETER;;WILSON EARNEST L,GARDNER TERRY;;PERAZZOLO REMIGIO;;GRILLO JOSEPH PETER;;WILSON EARNEST L,,https://lens.org/115-356-881-587-195,Granted Patent,yes,10,47,7,13,0,A01G27/04;;A01G27/04,A01G27/04,47/18;;47/81,0,0,,,,EXPIRED
6,DE,T2,DE 69412681 T2,111-375-015-463-40X,1999-05-06,1999,DE 69412681 T,1994-04-11,IT VI930055 A;;IT VI930078 U,1993-04-13,"Ein Behälter zur Befeuchtung von Gefässen mit Blumen und Pflanzen und Gefässen, die Blumen bzw. Pflanzen befeuchten können","A container (1) made for instance of ceramic, terracotta, or plastic material, is capable of supporting conventional vessels (4) by means of a plate (3) which is provided with openings. The vessels have a top peripheral border (5) which protrudes with respect to the peripheral border of the container so that the vessels are raised from the bottom of the container. Water is placed at the bottom of the container, some strips of felt (9) or similar absorbing material is inserted into the vessel and reaches the bottom of the container so that water is transferred to the soil by capillary action and also by evaporation. The containers consist of three compartments; the upper compartment (7) containing the soil, the lower compartment (6) containing the water, and an intermediate compartment (24) forming an air chamber. The walls (the container (1), the plate (3), and the vessel(s) [4]) containing the air chamber (24) act as an evaporation barrier. As water evaporates from the reservoir (6) it condenses along the walls containing the air chamber (24). Water is thereby reclaimed by the reservoir or is absorbed by the soil in the upper chamber (7). <IMAGE>",GARDNER TERRY;;PERAZZOLO REMIGIO;;GRILLO JOSEPH PETER;;WILSON EARNEST L,GARDNER TERRY;;PERAZZOLO REMIGIO;;GRILLO JOSEPH PETER;;WILSON EARNEST L,,https://lens.org/111-375-015-463-40X,Granted Patent,no,0,0,7,13,0,A01G27/04;;A01G27/04,A01G27/04,,0,0,,,,EXPIRED
7,IT,U1,IT VI930078 U1,151-052-295-289-219,1995-04-05,1995,IT VI930078 U,1993-10-05,IT VI930078 U,1993-10-05,VASO PER FIORI O PIANTE CON RISERVA D'ACQUA PER LA COLTURA,"Si tratta di un particolare vaso, per fiori o piante in genere, che realizza l'umidificazione autoregolata protratta nel tempo del terreno di coltura, comprendendo al suo interno una nervatura periferica (o altro elemento di sostegno equivalente) sulla quale viene appoggiato un setto piano forato che divide il volume interno del vaso in due vani, di cui quello superiore destinato a contenere la terra e quello inferiore l'acqua di riserva per l'umidificazione graduale del terreno soprastante. Il trasferimento dell'acqua avviene per evaporazione e insieme per capillarità attraverso alcune adeguate fettucce di feltro pescanti inferiormente nell'acqua e immerse superiormente (passando attraverso altrettanti fori periferici del setto) nella massa terrosa;",GARDNER TERRY;;PERAZZOLO REMIGIO;;GRILLO JOSEPH PETER;;WILSON EARNEST L,GARDNER TERRY;;PERAZZOLO REMIGIO;;GRILLO JOSEPH PETER;;WILSON EARNEST L,,https://lens.org/151-052-295-289-219,Patent Application,no,0,0,3,13,0,,A01G/;;A47G/,,0,0,,,,EXPIRED
8,EP,A3,EP 0619940 A3,106-264-326-036-728,1994-11-23,1994,EP 94200969 A,1994-04-11,IT VI930055 A;;IT VI930078 U,1993-04-13,A CONTAINER FOR THE PURPOSE OF HUMIDIFYING VESSELS OF FLOWERS AND PLANTS AND VESSELS CAPABLE OF HUMIDIFYING FLOWERS AND OR PLANTS.,"A container (1) made for instance of ceramic, terracotta, or plastic material, is capable of supporting conventional vessels (4) by means of a plate (3) which is provided with openings. The vessels have a top peripheral border (5) which protrudes with respect to the peripheral border of the container so that the vessels are raised from the bottom of the container. Water is placed at the bottom of the container, some strips of felt (9) or similar absorbing material is inserted into the vessel and reaches the bottom of the container so that water is transferred to the soil by capillary action and also by evaporation. The containers consist of three compartments; the upper compartment (7) containing the soil, the lower compartment (6) containing the water, and an intermediate compartment (24) forming an air chamber. The walls (the container (1), the plate (3), and the vessel(s) [4]) containing the air chamber (24) act as an evaporation barrier. As water evaporates from the reservoir (6) it condenses along the walls containing the air chamber (24). Water is thereby reclaimed by the reservoir or is absorbed by the soil in the upper chamber (7).",GARDNER TERRY;;PERAZZOLO REMIGIO;;GRILLO JOSEPH PETER;;WILSON EARNEST L,GARDNER TERRY;;PERAZZOLO REMIGIO;;GRILLO JOSEPH PETER;;WILSON EARNEST L,,https://lens.org/106-264-326-036-728,Search Report,yes,6,0,7,13,0,A01G27/04;;A01G27/04,A01G27/04,,0,0,,,,EXPIRED
9,IT,B,IT 1270344 B,147-621-505-554-686,1997-05-05,1997,IT VI930055 A,1993-04-13,IT VI930055 A,1993-04-13,Automatic watering system for flower or plant pots using strips of felt inserted in the soil dipping into water within an original container,"This relates to a watering system which is based on capillary absorption by the soil in flower or plant pots in contact with strips of pieces of felt which dip into water within a special container designed for the purpose. This container, which is made of ceramics, terracotta, plastics or other material, is designed in such a way as to support and contain conventional pots, preferably of terracotta, in such a way that they remain raised above the base of the container on which they are supported by means of their upper peripheral projecting edge. In this way even an appreciable quantity of water can be poured into the base of the container which acts as a reserve over long periods and which is gradually transferred to the earth in the pots above through the strips of felt inserted in the earth in the pots, in addition to by evaporation. <IMAGE>",GARDNER TERRY;;PERAZZOLO REMIGIO;;GRILLO JOSEPH PETER;;WILSON EARNEST L,GARDNER TERRY;;PERAZZOLO REMIGIO;;GRILLO JOSEPH PETER;;WILSON EARNEST L,,https://lens.org/147-621-505-554-686,Granted Patent,no,0,0,3,13,0,,A01F/,,0,0,,,,EXPIRED
10,IT,V0,IT VI930078 V0,116-224-027-974-489,1993-10-05,1993,IT VI930078 U,1993-10-05,IT VI930078 U,1993-10-05,VASO PER FIORI O PIANTE CON RISERVA D'ACQUA PER LA COLTURA,,GARDNER TERRY;;PERAZZOLO REMIGIO;;GRILLO JOSEPH PETER;;WILSON EARNEST L,GARDNER TERRY;;PERAZZOLO REMIGIO;;GRILLO JOSEPH PETER;;WILSON EARNEST L,,https://lens.org/116-224-027-974-489,Patent Application,no,0,0,3,13,0,,A01G/;;A47G/,,0,0,,,,EXPIRED
