"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A1,US 2018/0325854 A1,085-400-413-568-849,2018-11-15,2018,US 201615773920 A,2016-10-24,US 201615773920 A;;US 201562251937 P;;US 2016/0058402 W,2015-11-06,USE OF PROTEASOME INHIBITORS TO TREAT OCULAR DISORDERS,"Hydrocinnamate compounds that exhibit proteasome modulation activity, and in particular, proteasome inhibitory activity, can be used to topically or systemically treat ocular disorders associated with proteasome activity. The hydrocinnamate compounds can be applied to the eye, in any of a variety of ocular formulations, to treat ocular disorders, such as ocular rosacea, diabetic retinopathy, macular degeneration, and dry eye. The hydrocinnamate compounds can also be administered systemically to treat ocular disorders.",ACCUITIS PHARMACEUTICALS INC,COULON RICHARD,,https://lens.org/085-400-413-568-849,Patent Application,yes,0,6,9,9,0,A61K9/00;;A61K45/06;;A61K9/0048;;A61K9/06;;A61K31/216;;A61P27/02;;A61K45/06;;A61K9/0048;;A61K9/00;;A61K9/06;;A61K31/216;;A61P27/02;;A61K9/0024;;A61K2300/00,A61K31/216;;A61K9/00;;A61P27/02,,0,0,,,,DISCONTINUED
2,CA,C,CA 2978874 C,022-961-828-760-722,2023-08-29,2023,CA 2978874 A,2015-03-17,US 201461954103 P;;US 2015/0020973 W,2014-03-17,OCULAR FORMULATIONS COMPRISING A GLYCOSAMINOGLYCAN AND AN ANESTHETIC,"Compositions and methods for providing anesthesia to the eye, for treating or preventing inflammatory disorders in the eye, or for treating or preventing ocular infections, are disclosed. The compositions include a glycosaminoglycan, such as hyaluronic acid, in a concentration suitable for achieving a desired viscosity, as well as an active agent, such as an anesthetic, anti-inflammatory, antimicrobial, antiproliferative, antimetabolite, prostaglandin, antioxidant, TGF-beta, or mitomycin C.",ENCOMPASS DEV INC,ROWE THOMAS;;COULON RICHARD,,https://lens.org/022-961-828-760-722,Granted Patent,no,0,0,7,7,0,A61K47/36;;A61K9/0048;;A61K38/1841;;A61K31/728;;A61K31/245;;A61P27/02;;A61P31/00;;A61K47/36;;A61K9/0048;;A61K38/1841;;A61K31/728;;A61K31/245,A61K31/403;;A61K38/18;;A61K45/06;;A61K47/36;;A61P27/02;;A61P31/00,,0,0,,,,PENDING
3,US,B2,US 10821092 B2,187-635-346-081-516,2020-11-03,2020,US 201515126063 A,2015-03-17,US 201515126063 A;;US 201461954103 P;;US 2015/0020973 W,2014-03-17,Viscous topical ocular formulations,"Compositions and methods for providing anesthesia to the eye, for treating or preventing inflammatory disorders in the eye, or for treating or preventing ocular infections, are disclosed. The compositions include a glycosaminoglycan, such as hyaluronic acid, in a concentration suitable for achieving a desired viscosity, as well as an active agent, such as an anesthetic, anti-inflammatory, antimicrobial, antiproliferative, antimetabolite, prostaglandin, antioxidant, TGF-beta, or mitomycin C.",ENCOMPASS DEV INC,ROWE THOMAS;;COULON RICHARD,,https://lens.org/187-635-346-081-516,Granted Patent,yes,9,0,7,7,0,A61K47/36;;A61K9/0048;;A61K38/1841;;A61K31/728;;A61K31/245;;A61P27/02;;A61P31/00;;A61K47/36;;A61K9/0048;;A61K38/1841;;A61K31/728;;A61K31/245,A61K31/245;;A61K9/00;;A61K31/728;;A61K38/18;;A61K47/36,,1,0,,,"European Search Report for Application 15764070.7, dated Sep. 8, 2017.",ACTIVE
4,CA,A1,CA 2978874 A1,003-212-447-192-736,2015-09-24,2015,CA 2978874 A,2015-03-17,US 201461954103 P;;US 2015/0020973 W,2014-03-17,OCULAR FORMULATIONS COMPRISING A GLYCOSAMINOGLYCAN AND AN ANESTHETIC,"Compositions and methods for providing anesthesia to the eye, for treating or preventing inflammatory disorders in the eye, or for treating or preventing ocular infections, are disclosed. The compositions include a glycosaminoglycan, such as hyaluronic acid, in a concentration suitable for achieving a desired viscosity, as well as an active agent, such as an anesthetic, anti-inflammatory, antimicrobial, antiproliferative, antimetabolite, prostaglandin, antioxidant, TGF-beta, or mitomycin C.",ENCOMPASS DEV INC,ROWE THOMAS;;COULON RICHARD,,https://lens.org/003-212-447-192-736,Patent Application,no,0,0,7,7,0,A61K47/36;;A61K9/0048;;A61K38/1841;;A61K31/728;;A61K31/245;;A61P27/02;;A61P31/00;;A61K47/36;;A61K9/0048;;A61K38/1841;;A61K31/728;;A61K31/245,A61K31/403;;A61K38/18;;A61K45/06;;A61K47/36;;A61P27/02;;A61P31/00,,0,0,,,,PENDING
5,EP,A1,EP 3119392 A1,000-129-294-034-81X,2017-01-25,2017,EP 15764070 A,2015-03-17,US 201461954103 P;;US 2015/0020973 W,2014-03-17,OCULAR FORMULATIONS,,ENCOMPASS DEV INC,ROWE THOMAS;;COULON RICHARD,,https://lens.org/000-129-294-034-81X,Patent Application,yes,0,0,7,7,0,A61K47/36;;A61K9/0048;;A61K38/1841;;A61K31/728;;A61K31/245;;A61P27/02;;A61P31/00;;A61K47/36;;A61K9/0048;;A61K38/1841;;A61K31/728;;A61K31/245,A61K31/403;;A61K38/18;;A61K45/06;;A61K47/36;;A61P27/02;;A61P31/00,,0,0,,,,DISCONTINUED
6,EP,A4,EP 3119392 A4,075-286-225-679-18X,2017-10-11,2017,EP 15764070 A,2015-03-17,US 201461954103 P;;US 2015/0020973 W,2014-03-17,OCULAR FORMULATIONS,,ENCOMPASS DEV INC,ROWE THOMAS;;COULON RICHARD,,https://lens.org/075-286-225-679-18X,Search Report,no,2,0,7,7,0,A61K47/36;;A61K9/0048;;A61K38/1841;;A61K31/728;;A61K31/245;;A61P27/02;;A61P31/00;;A61K47/36;;A61K9/0048;;A61K38/1841;;A61K31/728;;A61K31/245,A61K31/403;;A61K38/18;;A61K45/06;;A61K47/36;;A61P27/02;;A61P31/00,,0,0,,,,DISCONTINUED
7,US,A1,US 2017/0087117 A1,161-897-062-262-565,2017-03-30,2017,US 201515126063 A,2015-03-17,US 201515126063 A;;US 201461954103 P;;US 2015/0020973 W,2014-03-17,OCULAR FORMULATIONS,"Compositions and methods for providing anesthesia to the eye, for treating or preventing inflammatory disorders in the eye, or for treating or preventing ocular infections, are disclosed. The compositions include a glycosaminoglycan, such as hyaluronic acid, in a concentration suitable for achieving a desired viscosity, as well as an active agent, such as an anesthetic, anti-inflammatory, antimicrobial, antiproliferative, antimetabolite, prostaglandin, antioxidant, TGF-beta, or mitomycin C.",ENCOMPASS DEV INC,ROWE THOMAS;;COULON RICHARD,,https://lens.org/161-897-062-262-565,Patent Application,yes,7,0,7,7,0,A61K47/36;;A61K9/0048;;A61K38/1841;;A61K31/728;;A61K31/245;;A61P27/02;;A61P31/00;;A61K47/36;;A61K9/0048;;A61K38/1841;;A61K31/728;;A61K31/245,A61K31/245;;A61K9/00;;A61K47/36,,1,0,,,"Shahinian US pat no 5, 760,077",ACTIVE
8,WO,A1,WO 2015/142853 A1,167-022-068-030-323,2015-09-24,2015,US 2015/0020973 W,2015-03-17,US 201461954103 P,2014-03-17,OCULAR FORMULATIONS,"Compositions and methods for providing anesthesia to the eye, for treating or preventing inflammatory disorders in the eye, or for treating or preventing ocular infections, are disclosed. The compositions include a glycosaminoglycan, such as hyaluronic acid, in a concentration suitable for achieving a desired viscosity, as well as an active agent, such as an anesthetic, anti-inflammatory, antimicrobial, antiproliferative, antimetabolite, prostaglandin, antioxidant, TGF-beta, or mitomycin C.",ENCOMPASS DEV INC,ROWE THOMAS;;COULON RICHARD,,https://lens.org/167-022-068-030-323,Patent Application,yes,11,4,7,7,0,A61K47/36;;A61K9/0048;;A61K38/1841;;A61K31/728;;A61K31/245;;A61P27/02;;A61P31/00;;A61K47/36;;A61K9/0048;;A61K38/1841;;A61K31/728;;A61K31/245,A61K38/18;;A61K31/403;;A61K45/06;;A61K47/36;;A61P27/02;;A61P31/00,,4,2,139-864-172-589-499;;089-648-914-106-735,10.1097/ico.0b013e31817f3a0e;;18813071;;10.1177/112067210901900408;;19551670,"""Remington's Pharmaceutical Sciences"", 1990, MACK PUBLISHING CO.;;KOJIMA ET AL.: ""Autologous serum eye drops for the treatment of dry eye diseases"", CORNEA, vol. 27, 2008, pages S25 - 30;;ZANON-MORENO ET AL.: ""Antioxidant status modifications by topical administration of dorzolamide in primary open-angle glaucoma"", EUR J OPHTHALMOL, vol. 9, no. 4, 2009, pages 565 - 571;;BENITO ET AL.: ""Effect of TGF-β on ocular surface epithelial cells"", EXP EYE RES, vol. 107, February 2013 (2013-02-01), pages 88 - 100",PENDING
9,US,A1,US 2020/0390695 A1,050-162-573-800-028,2020-12-17,2020,US 202017005196 A,2020-08-27,US 202017005196 A;;US 201815985554 A;;US 201514618355 A;;US 201213378335 A;;US 2010/0039250 W;;US 21889909 P,2009-06-19,"TIME-RELEASE AND MICRO-DOSE FORMULATIONS FOR TOPICAL APPLICATION OF ESTROGEN AND ESTROGEN ANALOGS OR OTHER ESTROGEN RECEPTOR MODULATORS IN THE TREATMENT OF DRY EYE SYNDROME, AND METHODS OF PREPARATION AND APPLICATION","A topical application formulation of estrogen and estrogen analogs or other estrogen receptor modulators is disclosed for the treatment of primary or secondary dry eye syndrome (also known as keratoconjunctivitis sicca (KCS)). Preferred formulations include 17-β-estradiol and its derivatives in lipid, liposomes, polymers, or aqueous or non-aqueous vehicles for the topical treatment of the ocular surface tissues particularly as time-release or micro-dose formulations. These formulations may also be useful in treating other conditions where KCS may occur, such as post-operative refractive surgery and corneal transplant patients.",REDWOOD PHARMA AB,READING CLIVE H;;ROWE THOMAS;;FSADNI MARIO G;;COULON RICHARD,REDWOOD PHARMA AB (2018-04-24);;CAPA VISION LIMITED (2014-07-09);;ALTOS VISION LIMITED (2012-01-31),https://lens.org/050-162-573-800-028,Patent Application,yes,1,0,9,9,0,A61K31/568;;A61K31/5685;;A61K45/06;;A61K47/32;;A61K47/36;;A61K47/40;;A61K9/0048;;A61K31/565;;A61K31/566;;A61P27/02;;A61P27/04;;A61P29/00;;A61K31/568;;A61K31/5685;;A61K45/06;;A61K47/32;;A61K47/36;;A61K47/40;;A61K9/0048;;A61K31/565;;A61K31/566,A61K9/00;;A61K31/565;;A61K31/566;;A61K31/568;;A61K31/5685;;A61K45/06;;A61K47/32;;A61K47/36;;A61K47/40,,2,1,128-679-727-069-240,10.1016/s0168-3659(02)00175-x;;12220839,"Wei et al., Journal of Controlled Release 83 (2002)65-74 (Year: 2002);;Dumortier et al., Pharmaceutical Research, vol. 23, no. 12, 2006 (Year: 2006)",DISCONTINUED
10,US,B2,US 10799446 B2,087-266-822-613-215,2020-10-13,2020,US 201815985554 A,2018-05-21,US 201815985554 A;;US 201514618355 A;;US 201213378335 A;;US 2010/0039250 W;;US 21889909 P,2009-06-19,"Time-release and micro-dose formulations for topical application of estrogen and estrogen analogs or other estrogen receptor modulators in the treatment of dry eye syndrome, and methods of preparation and application","A topical application formulation of estrogen and estrogen analogs or other estrogen receptor modulators is disclosed for the treatment of primary or secondary dry eye syndrome (also known as keratoconjunctivitis sicca (KCS)). Preferred formulations include 17-β-estradiol and its derivatives in lipid, liposomes, polymers, or aqueous or non-aqueous vehicles for the topical treatment of the ocular surface tissues particularly as time-release or micro-dose formulations. These formulations may also be useful in treating other conditions where KCS may occur, such as post-operative refractive surgery and corneal transplant patients.",REDWOOD PHARMA AB,READING CLIVE H;;ROWE THOMAS;;FSADNI MARIO G;;COULON RICHARD,REDWOOD PHARMA AB (2018-04-24);;CAPA VISION LIMITED (2014-07-09);;ALTOS VISION LIMITED (2012-01-31),https://lens.org/087-266-822-613-215,Granted Patent,yes,22,0,9,9,0,A61K31/568;;A61K31/5685;;A61K45/06;;A61K47/32;;A61K47/36;;A61K47/40;;A61K9/0048;;A61K31/565;;A61K31/566;;A61P27/02;;A61P27/04;;A61P29/00;;A61K31/568;;A61K31/5685;;A61K45/06;;A61K47/32;;A61K47/36;;A61K47/40;;A61K9/0048;;A61K31/565;;A61K31/566,A61K9/00;;A61K31/565;;A61K31/566;;A61K31/568;;A61K31/5685;;A61K45/06;;A61K47/32;;A61K47/36;;A61K47/40,,15,12,097-016-315-342-685;;125-331-764-293-237;;042-155-521-445-727;;095-409-911-123-133;;033-201-886-754-272;;101-895-491-374-842;;035-334-484-845-149;;098-498-911-079-714;;133-954-072-102-461;;067-347-263-504-82X;;040-161-380-130-796;;047-336-929-137-669,10.1038/eye.1999.17;;10396391;;10.2174/187221108783331410;;19075892;;18275911;;10.1016/j.drudis.2007.11.002;;9634957;;10.1007/978-1-4615-5359-5_99;;3296154;;18453761;;10.1159/000131073;;10.1089/jop.2000.16.497;;11132897;;10.3891/acta.chem.scand.12-1675;;3926712;;10.1615/critrevtherdrugcarriersyst.v12.i2-3.30;;9501970;;15547478;;10.1016/s0181-5512(04)96241-9;;10.1159/000246039;;9403264,"German et al, “Reliability of drop size from multi-dose eye drop bottles: is it cause for concern?,” Eye, vol. 13, No. 1, pp. 93-100 (Year: 1999).;;Conway, Barbara R., “Recent Patents on Ocular Drug Delivery Systems”, Recent Patents on Drug Delivery and Formulation, vol. 2, No. 1, 2008, pp. 1-8.;;del Amo et al., “Current and Future Ophthalmic Drug Delivery Systems. A Shift to the Posterior Segment.”, Drug Discovery Today, vol. 13, No. 3/4, Feb. 2008, pp. 135-143.;;Murube et al., “Classification of Artificial Tears. 1: Composition and Properties”, Lacrimal Gland, Tear Film, and Dry Eye Syndromes 2, Advances in Experimental Medicine and Biology, vol. 438, 1998, pp. 693-704.;;International Preliminary Report on Patentability received for PCT Patent Application No. PCT/US2010/039250, dated Jan. 5, 2012, 14 pages.;;International Search Report and Written Opinion received for PCT Patent Application No. PCT/US2010/039250, dated Oct. 26, 2010, 20 pages.;;Prause, J. U., “Treatment of Keratoconjunctivitis Sicca With Lacrisert”, Scandinavian Journal of Rheumatology Supplement, vol. 61, 1986, pp. 261-263.;;Tuft et al., “Medical Management of Dry Eye Disease”, Geerling G, Brewitt H (eds): Surgery for the Dry Eye, Dev. Ophthalmol., Basel, Karger, vol. 41,2008, pp. 54-74.;;Burgalassi et al., “Xyloglucan as a Novel Vehicle for Timolol: Pharmacokinetics and Pressure Lowering Activity in Rabbits”, Journal of Ocular Pharmacology and Therapeutics, vol. 16, No. 6, 2000, pp. 497-509.;;Ferno et al., “High Molecular Weight Enzyme Inhibitors, III. Polyestradiol Phosphate (P.E.P), a Long-acting Estrogen.”, Acta. Chem. Scand., vol. 12, No. 8, 1958, pp. 1675-1689.;;Knepper et al., “Effect of Dexamethasone, Progesterone, and Testosterone on IOP and GAGs in the Rabbit Eye”, Investigative Ophthalmology & Visual Science, vol. 26, Aug. 1985, pp. 1093-1100.;;Margalit, Rimona, “Liposome-Mediated Drug Targeting in Topical and Regional Therapies.”, Critical Reviews in Therapeutic Drug Carrier Systems, vol. 12, No. 2 & 3, 1995, pp. 233-261.;;Oprea et al., “Hormonal Regulatory Influence in Tear Film”, Journal Francais Ophtalmologie, vol. 27, No. 8, Oct. 2004, pp. 933-941.;;Reimer et al., “Povidone-Iodine Liposomes—An Overview”, Dermatology, vol. 195, Suppl. 2, 1997, pp. 93-99.;;Rowe et al., “Measurement and Prediction of Timolol Diffusion with and Without Simulated Tear Flow”, Invest. Ophthalmol. Vis. Sci., vol. 51, E-Abstract 2452, 2010, 2 pages.",ACTIVE
