"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A,US 4300441 A,169-419-078-831-835,1981-11-17,1981,US 8991879 A,1979-10-31,US 8991879 A,1979-10-31,Baseboard distribution hot air heating system,"One or more ducts conduct hot air from a central heating plant to a baseboard distribution system in a room or other space to be heated. The baseboard unit forms an enclosed space through which a conduit extends longitudinally at approximately the horizontal centerline. The conduit and baseboard each include a plurality of laterally spaced openings through which heat may escape, those in the baseboard being at or near floor level, whereby the hot air escaping from the conduit fills the upper portion of the baseboard enclosure before passing through the lower level openings into the room. The baseboard enclosure thus serves as a reservoir for hot air, avoiding abrupt changes in temperature usually associated with forced hot air heating systems.",DICKS ROBERT H,DICKS ROBERT H,,https://lens.org/169-419-078-831-835,Granted Patent,yes,7,13,1,1,0,F24D5/02;;F24D5/02,F24D5/02,98 40C,0,0,,,,EXPIRED
2,US,A,US 2833699 A,166-767-498-879-01X,1958-05-06,1958,US 37330653 A,1953-08-10,US 37330653 A,1953-08-10,Catalyst stripping process,,SHELL DEV,DICKS ROBERT S,,https://lens.org/166-767-498-879-01X,Granted Patent,no,6,8,5,5,0,B01J8/003;;B01J8/1863;;B01J8/26;;B01J8/34;;B01J8/003;;B01J8/1863;;B01J8/26;;B01J8/34,B01J8/00;;B01J8/18;;B01J8/26;;B01J8/34,,0,0,,,,EXPIRED
3,DE,C,DE 953899 C,079-742-902-118-366,1956-12-06,1956,DE N0009305 A,1954-08-08,US 37330653 A,1953-08-10,Verfahren und Vorrichtung zum Abstreifen von feinverteilten Katalysatoren,,BATAAFSCHE PETROLEUM,DICKS ROBERT STANLEY,,https://lens.org/079-742-902-118-366,Granted Patent,no,2,1,5,5,0,B01J8/003;;B01J8/1863;;B01J8/26;;B01J8/34;;B01J8/003;;B01J8/1863;;B01J8/26;;B01J8/34,B01J8/00;;B01J8/18;;B01J8/26;;B01J8/34,,0,0,,,,EXPIRED
4,ZA,B,ZA 892260 B,193-522-023-441-747,1989-11-29,1989,ZA 892260 A,1989-03-28,US 17502888 A,1988-03-30,METHOD AND APPARATUS FOR MEASURING WALL EROSION,"A method and apparatus for measuring decreasing thickness of the refractory lining of a high pressure, high temperature, water cooled reactor wall, such as a high pressure gasifier, during aggressive corrosion attack. A pulse-echo ultrasonic probe is inserted in the wall, which will corrode at approximately the same rate as the wall of the reactor.",SHELL RES LTD,DICKS LYNTON WILLIAM ROBERT;;LYNTON WILLIAM ROBERT DICKS,,https://lens.org/193-522-023-441-747,Granted Patent,no,0,0,15,15,0,G01B17/02;;G01N17/00;;G01N17/00;;G01B17/02,F27D21/00;;G01B17/02;;G01N17/00,,0,0,,,,EXPIRED
5,AU,A,AU 1989/031757 A,005-802-969-632-164,1989-10-05,1989,AU 1989/031757 A,1989-03-28,US 17502888 A,1988-03-30,METHOD AND APPARATUS FOR MEASURING WALL EROSION,"A method and apparatus for measuring decreasing thickness of the refractory lining of a high pressure, high temperature, water cooled reactor wall, such as a high pressure gasifier, during aggressive corrosion attack. A pulse-echo ultrasonic probe is inserted in the wall, which will corrode at approximately the same rate as the wall of the reactor.",SHELL INT RESEARCH,DICKS LYNTON WILLIAM ROBERT,,https://lens.org/005-802-969-632-164,Patent Application,no,0,1,15,15,0,G01B17/02;;G01N17/00;;G01N17/00;;G01B17/02,F27D21/00;;G01B17/02;;G01N17/00,,0,0,,,,EXPIRED
6,DE,T2,DE 68906815 T2,074-575-454-599-559,1993-10-28,1993,DE 68906815 T,1989-03-28,US 17502888 A,1988-03-30,Verfahren und Vorrichtung zum Messen der Erosion einer Mauer.,"A method and apparatus for measuring decreasing thickness of the refractory lining of a high pressure, high temperature, water cooled reactor wall, such as a high pressure gasifier, during aggressive corrosion attack. A pulse-echo ultrasonic probe is inserted in the wall, which will corrode at approximately the same rate as the wall of the reactor.",SHELL INT RESEARCH,DICKS LYNTON WILLIAM ROBERT,,https://lens.org/074-575-454-599-559,Granted Patent,no,0,0,15,15,0,G01B17/02;;G01N17/00;;G01N17/00;;G01B17/02,F27D21/00;;G01B17/02;;G01N17/00,,0,0,,,,EXPIRED
7,AT,T1,AT E90152 T1,044-800-161-210-722,1993-06-15,1993,AT 89200787 T,1989-03-28,EP 89200787 A;;US 17502888 A,1988-03-30,VERFAHREN UND VORRICHTUNG ZUM MESSEN DER EROSION EINER MAUER.,"A method and apparatus for measuring decreasing thickness of the refractory lining of a high pressure, high temperature, water cooled reactor wall, such as a high pressure gasifier, during aggressive corrosion attack. A pulse-echo ultrasonic probe is inserted in the wall, which will corrode at approximately the same rate as the wall of the reactor.",SHELL INT RESEARCH,DICKS LYNTON WILLIAM ROBERT,,https://lens.org/044-800-161-210-722,Granted Patent,no,0,0,15,15,0,G01B17/02;;G01N17/00;;G01N17/00;;G01B17/02,F27D21/00;;G01B17/02;;G01N17/00,,0,0,,,,DISCONTINUED
8,ES,T3,ES 2040980 T3,041-085-769-825-320,1993-11-01,1993,ES 89200787 T,1989-03-28,US 17502888 A,1988-03-30,METODO Y APARATO PARA MEDIR LA EROSION DE UNA PARED.,"A method and apparatus for measuring decreasing thickness of the refractory lining of a high pressure, high temperature, water cooled reactor wall, such as a high pressure gasifier, during aggressive corrosion attack. A pulse-echo ultrasonic probe is inserted in the wall, which will corrode at approximately the same rate as the wall of the reactor.",SHELL INTERNATIONALE RESEARCH MAATSCHAPPIJ B.V.,"DICKS, LYNTON WILLIAM ROBERT",,https://lens.org/041-085-769-825-320,Granted Patent,no,0,0,15,15,0,G01B17/02;;G01N17/00;;G01N17/00;;G01B17/02,F27D21/00;;G01B17/02;;G01N17/00,,0,0,,,,EXPIRED
9,EP,A3,EP 0335470 A3,139-137-722-971-967,1990-06-13,1990,EP 89200787 A,1989-03-28,US 17502888 A,1988-03-30,METHOD AND APPARATUS FOR MEASURING WALL EROSION,"A method and apparatus for measuring decreasing thickness of the refractory lining of a high pressure, high temperature, water cooled reactor wall, such as a high pressure gasifier, during aggressive corrosion attack. A pulse-echo ultrasonic probe is inserted in the wall, which will corrode at approximately the same rate as the wall of the reactor.  ",SHELL INTERNATIONALE RESEARCH MAATSCHAPPIJ B.V.,"DICKS, LYNTON WILLIAM ROBERT",,https://lens.org/139-137-722-971-967,Search Report,yes,3,0,15,15,0,G01B17/02;;G01N17/00;;G01N17/00;;G01B17/02,F27D21/00;;G01B17/02;;G01N17/00,,1,1,048-495-807-845-952,10.1109/ultsym.1978.197050,"ULTRASONIC SYMPOSIUM PROCEEDINGS, Cherry Hill, New Jersey, 25th-27th September 1978, pages 305-310; C.A. YOUNGDAHL: ""Development of ultrasonic techniques for remote monitoring of erosive wear in coal-conversion systems""",EXPIRED
10,AU,B2,AU 615996 B2,117-848-720-389-650,1991-10-17,1991,AU 1989/031757 A,1989-03-28,US 17502888 A,1988-03-30,METHOD AND APPARATUS FOR MEASURING WALL EROSION,"A method and apparatus for measuring decreasing thickness of the refractory lining of a high pressure, high temperature, water cooled reactor wall, such as a high pressure gasifier, during aggressive corrosion attack. A pulse-echo ultrasonic probe is inserted in the wall, which will corrode at approximately the same rate as the wall of the reactor.",SHELL INT RESEARCH,DICKS LYNTON WILLIAM ROBERT,,https://lens.org/117-848-720-389-650,Granted Patent,no,3,0,15,15,0,G01B17/02;;G01N17/00;;G01N17/00;;G01B17/02,F27D21/00;;G01B17/02;;G01N17/00,,0,0,,,,EXPIRED
