"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A1,US 2004/0049270 A1,081-456-083-730-547,2004-03-11,2004,US 23832602 A,2002-09-10,US 23832602 A,2002-09-10,Bone graft device,"
   A bone graft device adapted to be received in an implant site in a patient, including, for example without limitation, an anterior spinal resection of one or more vertebrae of a spinal column of the patient. The bone graft implant site can be defined as a resection formed in any damaged or injured bone tissue, which can be, for further example, the spinal column resection that is formed between an inferior vertebral surface that confronts a superior vertebral surface where between one or more vertebral bodies and or vertebral discs or portions thereof have been removed to establish the implant site. The bone graft device includes a plurality of pseudo-vertebrae that are each formed with a transverse cross-sectional profile sized for implant in the anterior spinal resection. The pseudo vertebrae can be wedge-shaped and are stacked on at least one stanchion that can be centrally positioned or spaced apart. At least one of the plurality of pseudo-vertebrae defines an exteriorly facing sill that is adapted to be frictionally confronting and received against at least one of the inferior and superior vertebral surfaces to maximize frictional contact between the sill and at least one of the surfaces. Each pseudo-vertebral sill is sized and shaped to be equal to or smaller than the cross-section of the vertebral bodies defining the superior and inferior vertebral body surfaces so as to not invade the vertebral channel of the spinal column when the bone graft device is introduced into and received in the resection. 
",GEWIRTZ ROBERT J.,GEWIRTZ ROBERT J,,https://lens.org/081-456-083-730-547,Patent Application,yes,3,170,3,3,0,A61F2/28;;A61F2/28;;A61F2/44;;A61F2/44;;A61F2/4465;;A61F2/4465;;A61F2002/30113;;A61F2002/30113;;A61F2002/30125;;A61F2002/30125;;A61F2002/30133;;A61F2002/30133;;A61F2002/30156;;A61F2002/30156;;A61F2002/30433;;A61F2002/30433;;A61F2002/30604;;A61F2002/30604;;A61F2002/30616;;A61F2002/30616;;A61F2002/3071;;A61F2002/3071;;A61F2002/30785;;A61F2002/30785;;A61F2220/0041;;A61F2220/0041;;A61F2230/0006;;A61F2230/0006;;A61F2230/0008;;A61F2230/0008;;A61F2230/0015;;A61F2230/0015;;A61F2230/0023;;A61F2230/0023;;A61F2250/0085;;A61F2250/0085,A61F2/00;;A61F2/28;;A61F2/30;;A61F2/44,623/17.11;;606/61,0,0,,,,DISCONTINUED
2,AU,A1,AU 2003/270474 A1,081-639-238-072-094,2004-04-30,2004,AU 2003/270474 A,2003-09-09,US 23832602 A;;US 0328305 W,2002-09-10,BONE GRAFT DEVICE,,GEWIRTZ ROBERT J,GEWIRTZ ROBERT J,,https://lens.org/081-639-238-072-094,Patent Application,no,0,0,3,3,0,A61F2/28;;A61F2/28;;A61F2/44;;A61F2/44;;A61F2/4465;;A61F2/4465;;A61F2002/30113;;A61F2002/30113;;A61F2002/30125;;A61F2002/30125;;A61F2002/30133;;A61F2002/30133;;A61F2002/30156;;A61F2002/30156;;A61F2002/30433;;A61F2002/30433;;A61F2002/30604;;A61F2002/30604;;A61F2002/30616;;A61F2002/30616;;A61F2002/3071;;A61F2002/3071;;A61F2002/30785;;A61F2002/30785;;A61F2220/0041;;A61F2220/0041;;A61F2230/0006;;A61F2230/0006;;A61F2230/0008;;A61F2230/0008;;A61F2230/0015;;A61F2230/0015;;A61F2230/0023;;A61F2230/0023;;A61F2250/0085;;A61F2250/0085,A61F2/00;;A61F2/28;;A61F2/30;;A61F2/44,,0,0,,,,DISCONTINUED
3,WO,A1,WO 2004/024038 A1,021-296-598-040-282,2004-03-25,2004,US 0328305 W,2003-09-09,US 23832602 A,2002-09-10,BONE GRAFT DEVICE,"A bone graft device (100)including a plurality of pseudo-vertebrae (110) that are each formed with a transverse cross-sectional profile sized for implantation in the anterior spinal area. The pseudo vertebrae can be wedge-shaped and are stacked on at least on stanchion that can be centrally positioned or spaced apart. At least one of the plurality of pseudo-vertebrae defines an exteriorly facing sill (125) that engages at least one of the inferior and superior vertebral surfaces (IVS, SVS) to maximize frictional contact between the sill and at least one of the surfaces. Each pseudo-vertebral sill is sized and shaped to be equal to or smaller than the cross-section of the vertebral bodies (C,T) defining the superior and inferior vertebral body surfaces so as to not invad the vertebral channel of the spinal column (S) when the bone graft device (100) is introduced into a resected area.",GEWIRTZ ROBERT J,GEWIRTZ ROBERT J,,https://lens.org/021-296-598-040-282,Patent Application,yes,3,0,3,3,0,A61F2/28;;A61F2/28;;A61F2/44;;A61F2/44;;A61F2/4465;;A61F2/4465;;A61F2002/30113;;A61F2002/30113;;A61F2002/30125;;A61F2002/30125;;A61F2002/30133;;A61F2002/30133;;A61F2002/30156;;A61F2002/30156;;A61F2002/30433;;A61F2002/30433;;A61F2002/30604;;A61F2002/30604;;A61F2002/30616;;A61F2002/30616;;A61F2002/3071;;A61F2002/3071;;A61F2002/30785;;A61F2002/30785;;A61F2220/0041;;A61F2220/0041;;A61F2230/0006;;A61F2230/0006;;A61F2230/0008;;A61F2230/0008;;A61F2230/0015;;A61F2230/0015;;A61F2230/0023;;A61F2230/0023;;A61F2250/0085;;A61F2250/0085,A61F2/00;;A61F2/28;;A61F2/30;;A61F2/44,,0,0,,,,PENDING
4,EP,A1,EP 2388705 A1,101-105-975-713-856,2011-11-23,2011,EP 11166730 A,2011-05-19,US 78427610 A,2010-05-20,Method and apparatus for accessing cache memory,"A request for reading data from a memory location of a main memory is received, the memory location being identified by a physical memory address. In response to the request, a cache memory is accessed based on the physical memory address to determine whether the cache memory contains the data being requested. The data associated with the request is returned from the cache memory without accessing the memory location if there is a cache hit. The data associated is returned from the main memory if there is a cache miss. In response to the cache miss, it is determined whether there have been a number of accesses within a predetermined period of time. A cache entry is allocated from the cache memory to cache the data if there have been a predetermined number of accesses within the predetermined period of time.
",ERICSSON TELEFON AB L M,GEWIRTZ EVAN;;HATHAWAY ROBERT,,https://lens.org/101-105-975-713-856,Patent Application,yes,0,2,3,3,0,G06F12/0888;;G06F12/0888;;G06F12/12,G06F12/08,,1,1,003-858-502-428-549,10.1109/hpca.2010.5416642,"XIAOWEI JIANG ET AL: ""CHOP: Adaptive filter-based DRAM caching for CMP server platforms"", HIGH PERFORMANCE COMPUTER ARCHITECTURE (HPCA), 2010 IEEE 16TH INTERNATIONAL SYMPOSIUM ON, IEEE, PISCATAWAY, NJ, USA, 9 January 2010 (2010-01-09), pages 1 - 12, XP031640712, ISBN: 978-1-4244-5658-1",DISCONTINUED
5,US,A1,US 2011/0289257 A1,091-310-671-951-152,2011-11-24,2011,US 78427610 A,2010-05-20,US 78427610 A,2010-05-20,METHOD AND APPARATUS FOR ACCESSING CACHE MEMORY,"A request for reading data from a memory location of a main memory is received, the memory location being identified by a physical memory address. In response to the request, a cache memory is accessed based on the physical memory address to determine whether the cache memory contains the data being requested. The data associated with the request is returned from the cache memory without accessing the memory location if there is a cache hit. The data associated is returned from the main memory if there is a cache miss. In response to the cache miss, it is determined whether there have been a number of accesses within a predetermined period of time. A cache entry is allocated from the cache memory to cache the data if there have been a predetermined number of accesses within the predetermined period of time.",HATHAWAY ROBERT;;GEWIRTZ EVAN;;ERICSSON TELEFON AB L M,HATHAWAY ROBERT;;GEWIRTZ EVAN,TELEFONAKTIEBOLAGET L M ERICSSON (PUBL) A CORPORATION OF SWEDEN (2010-05-17),https://lens.org/091-310-671-951-152,Patent Application,yes,3,19,3,3,0,G06F12/0888;;G06F12/0888;;G06F12/12,G06F12/08;;G06F12/00,711/3;;711/144;;711/141;;X711E12001;;X711E12025,1,0,,,"Jim Handy, The Cache Memory Book, Academic Press,1998, second edition, pages 50-51 and 67-68",INACTIVE
6,US,B2,US 8914581 B2,153-082-836-638-953,2014-12-16,2014,US 78427610 A,2010-05-20,US 78427610 A,2010-05-20,Method and apparatus for accessing cache memory,"A request for reading data from a memory location of a main memory is received, the memory location being identified by a physical memory address. In response to the request, a cache memory is accessed based on the physical memory address to determine whether the cache memory contains the data being requested. The data associated with the request is returned from the cache memory without accessing the memory location if there is a cache hit. The data associated is returned from the main memory if there is a cache miss. In response to the cache miss, it is determined whether there have been a number of accesses within a predetermined period of time. A cache entry is allocated from the cache memory to cache the data if there have been a predetermined number of accesses within the predetermined period of time.",HATHAWAY ROBERT;;GEWIRTZ EVAN;;ERICSSON TELEFON AB L M,HATHAWAY ROBERT;;GEWIRTZ EVAN,TELEFONAKTIEBOLAGET L M ERICSSON (PUBL) A CORPORATION OF SWEDEN (2010-05-17),https://lens.org/153-082-836-638-953,Granted Patent,yes,3,7,3,3,0,G06F12/0888;;G06F12/0888;;G06F12/12,G06F12/12;;G06F12/08,711/133,2,1,003-858-502-428-549,10.1109/hpca.2010.5416642,"Jim Handy, The Cache Memory Book, Academic Press,1998, second edition, pp. 50-51 and 67-68.;;Xiaowei Jiang et al., ""CHOP: Adaptive Filter-Based DRAM Caching for CMP Server Platforms"", Jan. 9, 2010, pp. 1-12, 2010 IEEE 16th International Symposium on High Performance Computer Architecture (HPCA), Piscataway, New Jersey.",INACTIVE
7,US,B1,US 8051227 B1,062-720-394-825-747,2011-11-01,2011,US 77708410 A,2010-05-10,US 77708410 A,2010-05-10,Programmable queue structures for multiprocessors,"A command is received from a first agent via a first predetermined memory-mapped register, the first agent being one of multiple agents representing software processes, each being executed by one of processor cores of a network processor in a network element. A first queue associated with the command is identified based on the first predetermined memory-mapped register. A pointer is atomically read from a first hardware-based queue state register associated with the first queue. Data is atomically accessed at a memory location of the memory based on the pointer. The pointer stored in the first hardware-based queue state register is atomically updated, including incrementing the pointer of the first hardware-based queue state register, reading a queue size of the queue from a first hardware-based configuration register associated with the first queue, and wrapping around the pointer if the pointer reaches an end of the first queue based on the queue size.",ERICSSON TELEFON AB L M,GEWIRTZ EVAN;;HATHAWAY ROBERT;;MEIER STEPHAN,TELEFONAKTIEBOLAGET L M ERICSSON (PUBL) A CORPORATION OF SWEDEN (2010-03-22),https://lens.org/062-720-394-825-747,Granted Patent,yes,5,24,4,4,0,G06F9/544;;G06F9/544;;G06F9/52;;G06F9/52,G06F3/00;;G06F13/00,710/56;;711/146,0,0,,,,INACTIVE
8,EP,A1,EP 2386962 A1,187-963-342-068-325,2011-11-16,2011,EP 11164626 A,2011-05-03,US 77708410 A,2010-05-10,Programmable queue structures for multiprocessors,"A command is received from a first agent via a first predetermined memory-mapped register, the first agent being one of multiple agents representing software processes, each being executed by one of processor cores of a network processor in a network element. A first queue associated with the command is identified based on the first predetermined memory-mapped register. A pointer is atomically read from a first hardware-based queue state register associated with the first queue. Data is atomically accessed at a memory location of the memory based on the pointer. The pointer stored in the first hardware-based queue state register is atomically updated, including incrementing the pointer of the first hardware-based queue state register, reading a queue size of the queue from a first hardware-based configuration register associated with the first queue, and wrapping around the pointer if the pointer reaches an end of the first queue based on the queue size.
",ERICSSON TELEFON AB L M,GEWIRTZ EVAN;;HATHAWAY ROBERT;;MEIER STEPHAN,,https://lens.org/187-963-342-068-325,Patent Application,yes,0,3,4,4,0,G06F9/544;;G06F9/544;;G06F9/52;;G06F9/52,G06F15/167,,2,2,016-406-074-773-649;;127-392-846-303-867,10.1016/0165-6074(92)90131-p;;10.1109/40.342014,"SU S-C ET AL: ""A memory-mapped interprocessor communication architecture using FIFO RAMs"", MICROPROCESSING AND MICROPROGRAMMING, ELSEVIER SCIENCE PUBLISHERS, BV., AMSTERDAM, NL, vol. 34, no. 1-5, 1 February 1992 (1992-02-01), pages 187 - 191, XP024233494, ISSN: 0165-6074, [retrieved on 19920201], DOI: 10.1016/0165-6074(92)90131-P;;MATTHIAS BLUMRICH ET AL: ""Virtual-Memory-Mapped Network Interfaces"", IEEE MICRO, vol. 15, no. 1, 1 February 1995 (1995-02-01), pages 21 - 28, XP055007890, ISSN: 0272-1732, DOI: 10.1109/40.342014",ACTIVE
9,US,A1,US 2011/0276732 A1,063-562-989-539-526,2011-11-10,2011,US 77708410 A,2010-05-10,US 77708410 A,2010-05-10,PROGRAMMABLE QUEUE STRUCTURES FOR MULTIPROCESSORS,"A command is received from a first agent via a first predetermined memory-mapped register, the first agent being one of multiple agents representing software processes, each being executed by one of processor cores of a network processor in a network element. A first queue associated with the command is identified based on the first predetermined memory-mapped register. A pointer is atomically read from a first hardware-based queue state register associated with the first queue. Data is atomically accessed at a memory location of the memory based on the pointer. The pointer stored in the first hardware-based queue state register is atomically updated, including incrementing the pointer of the first hardware-based queue state register, reading a queue size of the queue from a first hardware-based configuration register associated with the first queue, and wrapping around the pointer if the pointer reaches an end of the first queue based on the queue size.",ERICSSON TELEFON AB L M,GEWIRTZ EVAN;;HATHAWAY ROBERT;;MEIER STEPHAN,TELEFONAKTIEBOLAGET L M ERICSSON (PUBL) A CORPORATION OF SWEDEN (2010-03-22),https://lens.org/063-562-989-539-526,Patent Application,yes,0,5,4,4,0,G06F9/544;;G06F9/544;;G06F9/52;;G06F9/52,G06F5/16,710/56,0,0,,,,INACTIVE
10,EP,B1,EP 2386962 B1,064-507-944-789-235,2014-04-02,2014,EP 11164626 A,2011-05-03,US 77708410 A,2010-05-10,Programmable queue structures for multiprocessors,,ERICSSON TELEFON AB L M,GEWIRTZ EVAN;;HATHAWAY ROBERT;;MEIER STEPHAN,,https://lens.org/064-507-944-789-235,Granted Patent,yes,0,0,4,4,0,G06F9/544;;G06F9/544;;G06F9/52;;G06F9/52,G06F15/167,,2,0,,,"SU S-C ET AL: ""A memory-mapped interprocessor communication architecture using FIFO RAMs"", MICROPROCESSING AND MICROPROGRAMMING, ELSEVIER SCIENCE PUBLISHERS, BV., AMSTERDAM, NL, vol. 34, no. 1-5, 1 February 1992 (1992-02-01), pages 187-191, XP024233494, ISSN: 0165-6074, DOI: 10.1016/0165-6074(92)90131-P [retrieved on 1992-02-01];;MATTHIAS BLUMRICH ET AL: ""Virtual-Memory-Mapped Network Interfaces"", IEEE MICRO, vol. 15, no. 1, 1 February 1995 (1995-02-01), pages 21-28, XP55007890, ISSN: 0272-1732, DOI: 10.1109/40.342014",ACTIVE
