"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,CN,A,CN 105307564 A,171-101-181-182-273,2016-02-03,2016,CN 201480034015 A,2014-04-21,US 2014/0034798 W;;US 201361814964 P,2013-04-23,Cerebrospinal fluid cooling device,"A device for topical cooling of the nervous system via cooling of cerebrospinal fluid, or CSF, using a solid thermally conductive material. The solid thermally conductive material is coupled to a heat exchange apparatus. The thermally conductive material may be coupled to any catheter that is used in existing clinical standard of care for acute neuronal injuries, such as catheters used to monitor and relieve intracranial pressure. The thermally conductive material is a biocompatible and solid material, for instance, metals such as steel, tungsten and titanium, and non-metallic materials such as thermal diamond paste.",DHALL SANJAY,DHALL SANJAY,,https://lens.org/171-101-181-182-273,Patent Application,no,0,1,11,13,0,A61M2202/0464;;A61M2210/0693;;A61M2205/3606;;A61M2205/366;;A61M19/00;;A61F2007/0002;;A61F7/12;;A61F2007/126;;A61M1/84;;A61M1/87;;A61F7/12;;A61F2007/126;;A61M2210/0693;;A61M2202/0464;;A61M2205/3606;;A61M2205/366;;A61M19/00;;A61F2007/0002;;A61M1/84;;A61M1/87,A61B5/03;;A61F7/12,,0,0,,,,DISCONTINUED
2,US,A1,US 2017/0079837 A1,099-944-299-293-645,2017-03-23,2017,US 201615369391 A,2016-12-05,US 201615369391 A;;US 201414257135 A;;US 201361814964 P;;US 201562262501 P,2013-04-23,SOLID CONDUCTION INDUCED HYPOTHERMIA DEVICES,"Medical devices for inducing hypothermia are disclosed. Induced hypothermia is a treatment used to reduce secondary complications caused by reduced oxygen and blood flow during traumatic injuries and surgeries. However, induced hypothermia also has negative side effects such as shivering and lowered immune system. These devices incorporate Highly-Oriented Pyrolytic Graphite (HOPG) for solid conduction to lower the temperature at targeted locations on and inside the body. The benefits of incorporating HOPG include: highly efficient heat conduction, flexibility in design and manufacture, reduction of dependence on inefficient and unstable fluid-filled implants and catheters, and anti-thrombotic effects.",DHALL SANJAY,DHALL SANJAY,GREAT CIRCLE TECHNOLOGIES INC (2019-09-03),https://lens.org/099-944-299-293-645,Patent Application,yes,0,0,2,13,0,A61M19/00;;A61F2007/0002;;A61M2202/0464;;A61M2205/3606;;A61M2205/366;;A61M2210/0693;;A61F2007/0247;;A61M2205/3673;;A61F7/12;;A61F7/02;;A61F2007/0008;;A61F2007/0018;;A61F2007/0075;;A61F2007/0233;;A61F2007/0234;;A61F2007/126;;A61M1/84;;A61F7/12;;A61F7/02;;A61F2007/0008;;A61F2007/0018;;A61F2007/0075;;A61F2007/0233;;A61F2007/0234;;A61F2007/126;;A61M2205/3606;;A61M19/00;;A61M2210/0693;;A61M2202/0464;;A61M2205/366;;A61F2007/0002;;A61M2205/3673;;A61F2007/0247;;A61M1/84,A61F7/12;;A61F7/00;;A61F7/02,,0,0,,,,ACTIVE
3,EP,A1,EP 2988663 A1,168-271-961-689-693,2016-03-02,2016,EP 14789033 A,2014-04-21,US 201361814964 P;;US 2014/0034798 W,2013-04-23,CEREBROSPINAL FLUID COOLING DEVICE,,DHALL SANJAY,DHALL SANJAY,,https://lens.org/168-271-961-689-693,Patent Application,yes,0,0,11,13,0,A61M2202/0464;;A61M2210/0693;;A61M2205/3606;;A61M2205/366;;A61M19/00;;A61F2007/0002;;A61F7/12;;A61F2007/126;;A61M1/84;;A61M1/87;;A61F7/12;;A61F2007/126;;A61M2210/0693;;A61M2202/0464;;A61M2205/3606;;A61M2205/366;;A61M19/00;;A61F2007/0002;;A61M1/84;;A61M1/87,A61B5/03;;A61F7/00;;A61F7/12;;A61M1/00;;A61M19/00,,0,0,,,,DISCONTINUED
4,KR,A,KR 20160005049 A,121-535-530-530-307,2016-01-13,2016,KR 20157032989 A,2014-04-21,US 201361814964 P;;US 2014/0034798 W,2013-04-23,CEREBROSPINAL FLUID COOLING DEVICE,"고체 열전도성 재료를 사용한, 뇌척수액 또는 CSF의 냉각을 통한 신경계의 국부 냉각용 장치. 고체 열전도성 재료는 열 교환 장치에 결합된다. 열전도성 물질은, 두개내압을 감시하고 완화시키는 데에 사용되는 카테터와 같은, 급성 뉴런 손상에 대한 치료의 기존의 임상적 표준에 사용되는 임의의 카테터에 결합될 수 있다. 열전도성 물질은 생체적합성 고체 물질, 예를 들어, 스틸, 텅스텐 및 티타늄과 같은 금속, 및 열적 다이아몬드 페이스트와 같은 비금속 물질이다.",DHALL SANJAY,DHALL SANJAY,,https://lens.org/121-535-530-530-307,Patent Application,no,0,0,11,13,0,A61M2202/0464;;A61M2210/0693;;A61M2205/3606;;A61M2205/366;;A61M19/00;;A61F2007/0002;;A61F7/12;;A61F2007/126;;A61M1/84;;A61M1/87;;A61F7/12;;A61F2007/126;;A61M2210/0693;;A61M2202/0464;;A61M2205/3606;;A61M2205/366;;A61M19/00;;A61F2007/0002;;A61M1/84;;A61M1/87,A61M1/00;;A61M19/00,,0,0,,,,DISCONTINUED
5,WO,A1,WO 2014/176162 A1,171-776-059-634-868,2014-10-30,2014,US 2014/0034798 W,2014-04-21,US 201361814964 P,2013-04-23,CEREBROSPINAL FLUID COOLING DEVICE,"A device for topical cooling of the nervous system via cooling of cerebrospinal fluid, or CSF, using a solid thermally conductive material. The solid thermally conductive material is coupled to a heat exchange apparatus. The thermally conductive material may be coupled to any catheter that is used in existing clinical standard of care for acute neuronal injuries, such as catheters used to monitor and relieve intracranial pressure. The thermally conductive material is a biocompatible and solid material, for instance, metals such as steel, tungsten and titanium, and non-metallic materials such as thermal diamond paste.",DHALL SANJAY,DHALL SANJAY,,https://lens.org/171-776-059-634-868,Patent Application,yes,3,0,11,13,0,A61M2202/0464;;A61M2210/0693;;A61M2205/3606;;A61M2205/366;;A61M19/00;;A61F2007/0002;;A61F7/12;;A61F2007/126;;A61M1/84;;A61M1/87;;A61F7/12;;A61F2007/126;;A61M2210/0693;;A61M2202/0464;;A61M2205/3606;;A61M2205/366;;A61M19/00;;A61F2007/0002;;A61M1/84;;A61M1/87,A61B5/03;;A61F7/12,,1,0,,,See also references of EP 2988663A4,PENDING
6,US,B2,US 10485698 B2,184-936-406-280-50X,2019-11-26,2019,US 201615369391 A,2016-12-05,US 201615369391 A;;US 201414257135 A;;US 201361814964 P;;US 201562262501 P,2013-04-23,Solid conduction induced hypothermia devices,"Medical devices for inducing hypothermia are disclosed. Induced hypothermia is a treatment used to reduce secondary complications caused by reduced oxygen and blood flow during traumatic injuries and surgeries. However, induced hypothermia also has negative side effects such as shivering and lowered immune system. These devices incorporate Highly-Oriented Pyrolytic Graphite (HOPG) for solid conduction to lower the temperature at targeted locations on and inside the body. The benefits of incorporating HOPG include: highly efficient heat conduction, flexibility in design and manufacture, reduction of dependence on inefficient and unstable fluid-filled implants and catheters, and anti-thrombotic effects.",DHALL SANJAY;;GREAT CIRCLE TECH INC,DHALL SANJAY,GREAT CIRCLE TECHNOLOGIES INC (2019-09-03),https://lens.org/184-936-406-280-50X,Granted Patent,yes,47,0,2,13,0,A61M19/00;;A61F2007/0002;;A61M2202/0464;;A61M2205/3606;;A61M2205/366;;A61M2210/0693;;A61F2007/0247;;A61M2205/3673;;A61F7/12;;A61F7/02;;A61F2007/0008;;A61F2007/0018;;A61F2007/0075;;A61F2007/0233;;A61F2007/0234;;A61F2007/126;;A61M1/84;;A61F7/12;;A61F7/02;;A61F2007/0008;;A61F2007/0018;;A61F2007/0075;;A61F2007/0233;;A61F2007/0234;;A61F2007/126;;A61M2205/3606;;A61M19/00;;A61M2210/0693;;A61M2202/0464;;A61M2205/366;;A61F2007/0002;;A61M2205/3673;;A61F2007/0247;;A61M1/84,A61F7/12;;A61F7/00;;A61F7/02,,39,22,123-698-350-014-101;;073-681-400-422-718;;059-063-632-806-045;;022-024-440-596-886;;033-928-612-794-629;;046-559-034-354-12X;;020-117-849-515-80X;;015-099-172-812-222;;012-254-083-245-13X;;017-079-670-270-15X;;010-727-747-789-717;;009-455-889-900-642;;107-162-730-768-049;;021-036-975-229-021;;004-527-846-718-101;;114-694-934-450-199;;011-948-096-313-971;;009-067-538-984-245;;037-291-758-009-486;;000-563-864-554-051;;079-351-215-080-521;;076-496-108-059-194,10.1016/s1062-1458(02)00735-3;;10.1093/med/9780190467654.003.0001;;12105348;;10.1161/01.str.0000019910.90280.f1;;10.1161/01.str.32.8.1847;;11486115;;9836751;;10.1161/01.str.29.12.2461;;14767590;;10.1007/s00134-003-2151-y;;10027064;;10.1046/j.1440-1681.1999.02986.x;;22132918;;10.3171/2011.9.peds11192;;pmc3254583;;10.1016/j.athoracsur.2005.04.031;;16242463;;21990455;;10.1136/jnis.2010.004432;;10.1186/cc5023;;pmc1794440;;17096865;;pmc3565432;;10.1056/nejmoa1207363;;23234472;;8680392;;10.1080/026990596124719;;21878875;;10.1097/01.ccm.0000108868.97433.3f;;14758179;;10.1016/j.resuscitation.2007.03.001;;17462808;;pmc2703218;;19675695;;17639905;;10.3171/jns-07/07/0248;;17122685;;10.1097/00001199-200611000-00009;;10.1152/ajpregu.00215.2004;;15308484;;19783872;;10.2463/mrms.8.91;;19249933;;10.3171/2009.1.jns081320;;10.1016/j.pscychresns.2007.11.002;;18502618;;pmc2770439,"Dhall, U.S. Office Action dated Sep. 24, 2018, directed to U.S. Appl. No. 14/257,135; 15 pages.;;Office Action dated Aug. 24, 2018, directed to CN Application No. 201480034015.8; 5 pages. (with English translation).;;The Hypothermia After Cardiac Arrest Study Group, “Mid Therapeutic Hypothermia to Improve the Neurological Outcome after Cardiac Arrest,” New England Journal of Medicine, 2002; 346(8):549-56.;;Kammersgaard LP, et al., “Admission Body Temperature Predicts Long-Term Mortality After Acute Stroke: The Copenhagen Stroke Study,” Stroke, 2002, 33(7):1759-82.;;Krieger, DW, et al. “Cooling for acute ischemic brain damage (Cool Aid) An open pilot study of induced hypothermia in acute ischemic stroke,” Stroke, 2001, 32(8); 1847-54.;;Schwab S. et al., “Moderate hypothermia in the treatment of patients with severe middle cerebral artery infarction,” Stroke, 1998, 29(12):2461-66.;;Polderman KH, “Application of therapeutic hypothermia in the intensive care unit,” Intensive Care Medicine, 2004, 30(5):757-69.;;Saunders N, et al., “Barrier Mechanisms in the Brain, I. Adult Brain,” Critical and Experimental Pharmacology and Physiology, 1999, 26 (1):11-19.;;Shannon CN, et al., “The economic impact of ventriculoperitoneal shunt failure,” Journal of Neurosurgery Pediatrics, 2011, 8:(6) 593.;;Mori MD, et al., “An Epidural Cooling Catheter Protects the Spinal Cord Against ischemic injury in Pigs,” The Annals of Thoracic Surgery, 2005, 80(5):1829-33.;;Moomiae RM, et al., “Novel intracranial Brain Cooling Catheter to Mitigate Brain Injuries,” J NeuroIntervent Surg. 2012, 4:130-133.;;Polderman and Callaghan, “Equipment review: Cooling catheters to induce therapeutic hypothermia,” Critical Care, 2006, 10:234.;;Chesnut RM, et al., “A trial of intracranial-pressure monitoring in traumatic brain injury,” New England Journal of Medicine, 2012, 367(26):2471-81.;;Sosin, et al., “incidence of mild and moderate brain injury in the United States, 1991” Brain Injury, 1996, 10(1):46-54.;;Taccone F. “When, where and how to initiate hypothermia after adult cardiac arrest,” Minerva Anestesiol, 2011, 77, 927-33.;;Diringer MN, “Treatment of fever in the neurologic intensive care unit with a catheter-based heat exchange system,” Critical Care Medicine, 2004, 32(2):559-64.;;Haugk M, et al., “Feasibility and efficacy of a new non-invasive surface cooling device in post-resuscitation intensive care medicine,” Resuscitation, 2007, 75(1):76-81.;;Flemming K et al., “Comparison of external and intravascular cooling to induce hypothermia in patients after CPR,” GMS German Medical Science, 2006, 4:Doc4.;;Wong GK, et al., “External Ventricular Drain Infection,” Journal of Neurosurgery, 2007, 107(1):248.;;Medexsupply, “Cincinnati Sub-Zero Blanketrol III Hyper-Hypothermia System,” 2013, Available at (https://www.medexsupply.com/orthopedic-therapy-hot-cold-therapy-heating-units-gel-warmers-cincinnati-sub-zero-blanketrol-iii-hyper-hypothermia-system-x_pid-32065.html?products_id=32065).;;Rutland-Brown W, et al., “incidence of traumatic brain injury in the United States,” The Journal of Head Trauma Rehabilitation, 2006, 21(6):544.;;Edsbagge M, “Spinal CSF absorption in healthy individuals,” American Journal of Physiology:Regulatory, Integrative & Comparative Physiology, 2004, 58(6):R1450-R5.;;Yoshida K, et al., Phase-contrast MR Studies of CSF Flow Rate in the Cerebral Aqueduct and Cervical Subarachnoid Space with Correlation-based Segmentation, Magnetic Resonance in Medical Sciences, 2009, 8(3):91-100.;;Bondy GP, “Pathology 425 Cerebrospinal Fluid (CSF),” Department of Pathology and Laboratory Medicine at the University of British Columbia, 2011.;;Dhall, Non-Final Office Action dated Jun. 17, 2016, directed to U.S. Appl. No. 14/257,135; 7 pages.;;Dhall, Non-Final Office Action dated Dec. 7, 2016, directed to U.S. Appl. No. 14/257,135; 10 pages.;;Examination Report No. 1 dated Jan. 22, 2018, directed to AU Application No. 2014257323; 5 pages.;;Dhall, U.S. Office Action dated Jul. 5, 2017, directed to U.S. Appl. No. 14/257,135; 10 pages.;;Dhall, U.S. Office Action dated Dec. 12, 2017, directed to U.S. Appl. No. 14/257,135; 11 pages.;;International Search Report and Written Opinion dated Sep. 19, 2014 directed International Application No. PCT/US2014/034798; 8 pages.;;Office Action dated Oct. 20, 2017, directed to CN Application No. 201480034015.8; 8 pages.;;Extended Search Report dated Nov. 11, 2016, directed to EP Application No.14789033.9; 8 pages.;;CDC Centers for Disease Control and Prevention, “Spinal Cord Injury (SCI): Fact Sheet,” Available at http://www.cdc.gov/traumaticbraininsury/scifacts.html visited on Apr. 23, 2014. 4 pages.;;Harris, et al., (2009) “Discrete Cerebral Hypothermia in the Management of Traumatic Brain Injury: A Randomized Controlled Trial,” Journal of Neurosurgery, 110(6): 1256-1264.;;Office Action dated Apr. 3, 2018, directed to JP Application No. JP-2016-510719; 6 pages. (Machine translation).;;Penguin Cold Caps, “Cap information,” Available at http://penguincoldcaps.co.nz/public/default.php?page=17 visited on Apr. 28, 2014. 2 pages.;;Vidal CN, et al., (2008) “Three-dimensional mapping of the lateral ventricles in autism,” Psychiatry Research: Neuroimaging, 163:106-115.;;Dhall, U.S. Office Action dated Apr. 30, 2019, directed to U.S. Appl. No. 14/257,135; 18 pages.;;Notice of Reasons for Refusal dated Feb. 26, 2019, directed to JP Application No. JP-2016-510719; 6 pages.",ACTIVE
7,US,B1,US 9139284 B1,150-740-865-367-892,2015-09-22,2015,US 201314055272 A,2013-10-16,US 201314055272 A,2013-10-16,Telescopic wing with rotating structural spar,"An aircraft wing assembly includes a first wing portion and a structural spar that is disposed within the first wing portion. The structural spar is rotatable between an engaged position, wherein the structural spar engages a first internal structure of the first wing portion to stiffen the first wing portion, and a disengaged position, wherein the structural spar does not engage the first internal structure of the first wing portion.",DHALL SANJAY,DHALL SANJAY,,https://lens.org/150-740-865-367-892,Granted Patent,yes,10,10,1,1,0,B64C3/185;;B64C3/187;;B64C3/56;;B64C3/185;;B64C3/187;;B64C3/26;;B64C3/56,B64C3/56;;B64C3/18;;B64C3/26,,0,0,,,,INACTIVE
8,US,B2,US 10485697 B2,188-510-627-202-692,2019-11-26,2019,US 201414257135 A,2014-04-21,US 201414257135 A;;US 201361814964 P,2013-04-23,Cerebrospinal fluid cooling device,"A device for topical cooling of the nervous system via cooling of cerebrospinal fluid, or CSF, using a solid thermally conductive material. The solid thermally conductive material is coupled to a heat exchange apparatus. The thermally conductive material may be coupled to any catheter that is used in existing clinical standard of care for acute neuronal injuries, such as catheters used to monitor and relieve intracranial pressure. The thermally conductive material is a biocompatible and solid material, for instance, metals such as steel, tungsten and titanium, and non-metallic materials such as thermal diamond paste.",DHALL SANJAY;;GREAT CIRCLE TECH INC,DHALL SANJAY,GREAT CIRCLE TECHNOLOGIES INC (2019-09-03),https://lens.org/188-510-627-202-692,Granted Patent,yes,47,0,11,13,0,A61M2202/0464;;A61M2210/0693;;A61M2205/3606;;A61M2205/366;;A61M19/00;;A61F2007/0002;;A61F7/12;;A61F2007/126;;A61M1/84;;A61M1/87;;A61F7/12;;A61F2007/126;;A61M2210/0693;;A61M2202/0464;;A61M2205/3606;;A61M2205/366;;A61M19/00;;A61F2007/0002;;A61M1/84;;A61M1/87,A61F7/12;;A61M1/00,,34,22,123-698-350-014-101;;073-681-400-422-718;;059-063-632-806-045;;022-024-440-596-886;;033-928-612-794-629;;046-559-034-354-12X;;020-117-849-515-80X;;015-099-172-812-222;;012-254-083-245-13X;;017-079-670-270-15X;;010-727-747-789-717;;009-455-889-900-642;;107-162-730-768-049;;021-036-975-229-021;;004-527-846-718-101;;114-694-934-450-199;;011-948-096-313-971;;009-067-538-984-245;;037-291-758-009-486;;000-563-864-554-051;;079-351-215-080-521;;076-496-108-059-194,10.1016/s1062-1458(02)00735-3;;10.1093/med/9780190467654.003.0001;;12105348;;10.1161/01.str.0000019910.90280.f1;;10.1161/01.str.32.8.1847;;11486115;;9836751;;10.1161/01.str.29.12.2461;;14767590;;10.1007/s00134-003-2151-y;;10027064;;10.1046/j.1440-1681.1999.02986.x;;22132918;;10.3171/2011.9.peds11192;;pmc3254583;;10.1016/j.athoracsur.2005.04.031;;16242463;;21990455;;10.1136/jnis.2010.004432;;10.1186/cc5023;;pmc1794440;;17096865;;pmc3565432;;10.1056/nejmoa1207363;;23234472;;8680392;;10.1080/026990596124719;;21878875;;10.1097/01.ccm.0000108868.97433.3f;;14758179;;10.1016/j.resuscitation.2007.03.001;;17462808;;pmc2703218;;19675695;;17639905;;10.3171/jns-07/07/0248;;17122685;;10.1097/00001199-200611000-00009;;10.1152/ajpregu.00215.2004;;15308484;;19783872;;10.2463/mrms.8.91;;19249933;;10.3171/2009.1.jns081320;;10.1016/j.pscychresns.2007.11.002;;18502618;;pmc2770439,"The Hypothermia After Cardiac Arrest Study Group, “Mild Therapeutic Hypothermia to Improve the Neurological Outcome after Cardiac Arrest,” New England Journal of Medicine, 2002, 346(8):549-56.;;Kammersgaard LP, et al., “Admission Body Temperature Predicts Long-Term Mortality After Acute Stroke: The Copenhagen Stroke Study,” Stroke, 2002, 33(7):1759-62.;;Krieger DW, et al., “Cooling for acute ischemic brain damage (COOL AID) An open pilot study of induced hypothermia in acute ischemic stroke,” Stroke, 2001, 32(8):1847-54.;;Schwab S, et al., “Moderate hypothermia in the treatment of patients with severe middle cerebral artery infarction,” Stroke, 1998, 29(12):2461-66.;;Polderman KH, “Application of therapeutic hypothermia in the intensive care unit,” Intensive Care Medicine, 2004, 30(5):757-69.;;Saunders N, et al., “Barrier Mechanisms in the Brain, I. Adult Brain,” Clinical and Experimental Pharmacology and Physiology, 1999, 26(1):11-19.;;Shannon CN, et al., “The economic impact of ventriculoperitoneal shunt failure,” Journal of Neurosurgery Pediatrics, 2011, 8:(6):593.;;Mori MD, et al., “An Epidural Cooling Catheter Protects the Spinal Cord Against Ischemic Injury in Pigs,” The Annals of Thoracic Surgery, 2005, 80(5):1829-33.;;Moomiae RM, et al., “Novel Intracranial Brain Cooling Catheter to Mitigate Brain Injuries,” J NeuroIntervent Surg, 2012, 4:130-133.;;Polderman and Callaghan, “Equipment review: Cooling catheters to induce therapeutic hypothermia,” Critical Care, 2006, 10:234.;;Chesnut RM, et al., “A trial of intracranial-pressure monitoring in traumatic brain injury,” New England Journal of Medicine, 2012, 367(26):2471-81.;;Sosin, et al., “Incidence of mild and moderate brain injury in the United States, 1991” Brain Injury, 1996, 10(1):46-54.;;Taccone F, “When, where and how to initiate hypothermia after adult cardiac arrest,” Minerva Anestesiol, 2011, 77: 927-33.;;Diringer MN, “Treatment of fever in the neurologic intensive care unit with a catheter-based heat exchange system,” Critical Care Medicine, 2004, 32(2):559-64.;;Haugk M, et al., “Feasibility and efficacy of a new non-invasive surface cooling device in post-resuscitation intensive care medicine,” Resuscitation, 2007, 75(1):76-81.;;Flemming K, et al., “Comparison of external and intravascular cooling to induce hypothermia in patients after CPR,” GMS German Medical Science, 2006, 4:Doc4.;;Wong GK, et al., “External Ventricular Drain Infection,” Journal of Neurosurgery, 2007, 107(1):248.;;MEDEXSUPPLY, “Cincinnati Sub-Zero Blanketrol III Hyper-Hypothermia System,” 2013, Available at: (https://www.medexsupply.com/orthopedic-therapy-hot-cold-therapy-heating-units-gel-warmers-cincinnati-sub-zero-blanketrol-iii-hyper-hypothermia-system-x_pid-32065.html?products_id=32065).;;Rutland-Brown W, et al., “Incidence of traumatic brain injury in the United States,” The Journal of Head Trauma Rehabilitation, 2006, 21(6):544.;;Edsbagge M, “Spinal CSF absorption in healthy individuals,” American Journal of Physiology: Regulatory, Integrative & Comparative Physiology, 2004, 56(6):R1450-R5.;;Yoshida K, et al., “Phase-contrast MR Studies of CSF Flow Rate in the Cerebral Aqueduct and Cervical Subarachnoid Space with Correlation-based Segmentation,” Magnetic Resonance in Medical Sciences, 2009, 8(3):91-100.;;Bondy GP, “Pathology 425 Cerebrospinal Fluid (CSF),” Department of Pathology and Laboratory Medicine at the University of British Columbia, 2011.;;CDC Centers for Disease Control and Prevention, “Spinal Cord Injury (SCI): Fact Sheet,” Available at http://www.cdc.gov/traumaticbraininsury/scifacts.html visited on Apr. 23, 2014. 4 pages.;;Harris, et al., (2009) “Discrete Cerebral Hypothermia in the Management of Traumatic Brain Injury: A Randomized Controlled Trial,” Journal of Neurosurgery, 110(6): 1256-1264.;;Office Action dated Apr. 3, 2018, directed to JP Application No. JP-2016-510719; 6 pages (Machine translation).;;Penguin Cold Caps, “Cap Information,” Available at http://penguincoldcaps.co.nz/public/default.php?page=17 visited on Apr. 28, 2014. 2 pages.;;Vidal CN, et al., (2008) “Three-dimensional mapping of the lateral ventricles in autism,” Psychiatry Research: Neuroimaging, 163:106-115.;;International Search Report and Written Opinion dated Sep. 19, 2014 directed International Application No. PCT/US2014/034798.;;First Office Action dated Oct. 20, 2017, directed to CN Application No. 201480034015.8; 8 pages.;;Extended Search Report dated Nov. 11, 2016, directed to EP Application No. 14789033.9; 8pages.;;Examination Report No. 1 dated Jan. 22, 2018, directed to AU Application No. 2014257323; 5 pages.;;Dhall., U.S. Office Action dated Apr. 12, 2019, directed to U.S. Appl. No. 15/369,391; 31 pages.;;Notice of Reasons for Refusal dated Feb. 26, 2019, directed to JP Application No. JP-2016-510719; 6 pages.;;Second Office Action dated Aug. 24, 2018, directed to CN Application No. 201480034015.8; 5 pages. (with English translation).",ACTIVE
9,US,B1,US 8439314 B1,056-316-297-486-382,2013-05-14,2013,US 83493410 A,2010-07-13,US 83493410 A;;US 93544807 A;;US 85691606 P,2006-11-06,Aircraft having offset telescopic wings,"An aircraft includes a fuselage, a first wing, and a second wing. The first wing and the second wing each have at least two wing panels, where the at least two wing panels of each wing are telescopically related to one another for movement between an extended position and a retracted position. The first wing and the second wing are both connected to the fuselage and are positioned with respect to the fuselage such that the first wing is offset with respect to the second wing.",DHALL SANJAY,DHALL SANJAY,,https://lens.org/056-316-297-486-382,Granted Patent,yes,17,17,1,2,0,B60F5/02;;B64C3/56;;B64C37/00;;B64C39/12;;B64C3/56;;B64C37/00;;B64C39/12;;B60F5/02,B64C3/56,244/218;;X244 45 R;;244/2,0,0,,,,ACTIVE
10,EP,A4,EP 2988663 A4,008-441-996-119-954,2016-12-14,2016,EP 14789033 A,2014-04-21,US 201361814964 P;;US 2014/0034798 W,2013-04-23,CEREBROSPINAL FLUID COOLING DEVICE,,DHALL SANJAY,DHALL SANJAY,,https://lens.org/008-441-996-119-954,Search Report,no,4,0,11,13,0,A61M2202/0464;;A61M2210/0693;;A61M2205/3606;;A61M2205/366;;A61M19/00;;A61F2007/0002;;A61F7/12;;A61F2007/126;;A61M1/84;;A61M1/87;;A61F7/12;;A61F2007/126;;A61M2210/0693;;A61M2202/0464;;A61M2205/3606;;A61M2205/366;;A61M19/00;;A61F2007/0002;;A61M1/84;;A61M1/87,A61B5/03;;A61F7/00;;A61F7/12;;A61M1/00;;A61M19/00,,1,0,,,See also references of WO 2014176162A1,DISCONTINUED
