"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,GB,A,GB 190707663 A,190-733-643-811-412,1908-02-27,1908,GB 190707663D A,1907-04-02,GB 190707663T A,1907-04-02,Improvements in Vibrators for Siphon Recorders used in Working Long Submarine Cables.,"7663. Taylor, T. D. April 2. Telegraphs.-The siphon of a siphon-recorder is vibrated mechanically by a rotating hexagonal or angular cam driven at high speed from the paperfeed mechanism. The shaft B, carrying the hexagonal cam A, is mounted in bearings C in the adjustable bracket K, and is rotated by a flexible band Q passing over a pulley E clamped to one of the wheels of the gearing G that drives the paperfeed wheels H. The cam A revolves between the paper J and the siphon I at a speed of about five hundred revolutions per minute. Reference is made to prior arrangements in which the siphon is vibrated by means of sound-discharges, or by a spring set in motion by an indented wheel, or by an electrically-operated thread.",TAYLOR THOMAS DUCKER,TAYLOR THOMAS DUCKER,,https://lens.org/190-733-643-811-412,Patent Application,no,0,0,1,1,0,,,,0,0,,,,DISCONTINUED
2,CS,A2,CS 18591 A2,081-794-725-321-924,1991-10-15,1991,CS 18591 A,1991-01-28,DE 4002583 A;;EP 90123403 A,1990-01-30,SEATING OF EXHAUST GAS TURBO-BLOWER,,KUHNLE AG,MUNKEL UWE;;DUCKER THOMAS;;OBERHOLZ GERHARD,,https://lens.org/081-794-725-321-924,Patent Application,no,0,0,4,10,0,,F02B39/00;;F01D25/16;;F02C7/06;;F16B21/06;;F16C27/02;;F16C35/02,,0,0,,,,PENDING
3,GB,A,GB 924308 A,170-554-216-956-036,1963-04-24,1963,GB 2732861 A,1961-07-27,GB 2732861 A,1961-07-27,Improvements in and relating to tracers for automatic machine tools,"924,308. Electric copying machines. BLACKBURN AIRCRAFT Ltd. Sept. 18, 1961 [July 27, 1961], No. 27328/61. Class 38 (6). The stylus A of a template-following copying machine is supported for both axial and angular movement by a spherical bearing S; and through a ball and cone coupling, Fig. 2 (not shown), rocks a pivoted lever B. Movement of lever B moves a T-shaped contact plate G through a push-rod E. Plate G is pivoted at H and restrained by a tension spring M which urges the stylus A outwards. Plate G carries 6 contacts which co-operate with contacts on a further spring-loaded plate J carried by a pivot K at right-angles to pivot H. The contacts 1 close initially on outward movement of the stylus, governing movement of the cutter into the workpiece, and the contacts 2 close on angular movement of the stylus causing rocking of the lever B to control the cutter to move both inwards and sideways. Axial inwards displacement of the stylus further displaces the lever B to close the contacts 3 and move the cutter sideways, and still further displacement of lever B on angular movement of the stylus closes contacts 4 to move the cutter both sideways and outwards, with further inwards axial movement of the stylus causing contacts 5 to close and move the cutter outwards. Any further axial movement of the stylus closes contacts 6 to stop further movement of the cutter.",BLACKBURN AIRCRAFT LTD,BANCROFT THOMAS;;WALKER SAMUEL;;DUCKER GEOFFREY BOWER;;LUCAS JAMES EDWARD,,https://lens.org/170-554-216-956-036,Granted Patent,no,0,0,3,3,0,B23Q35/32;;Y10T409/303528;;Y10T409/303528;;B23Q35/32,B23Q35/32,G3N NG2           G2;;G3N N2            D;;G3N N252          D;;G3N N292          G2;;G3N N353          D,0,0,,,,EXPIRED
4,US,A,US 3148590 A,049-489-257-227-759,1964-09-15,1964,US 14934461 A,1961-11-01,GB 2732861 A,1961-07-27,Tracers for automatic machine tools,,BLACKBURN AIRCRAFT LTD,THOMAS BANCROFT;;SAMUEL WALKER;;EDWARD LUCAS JAMES;;BOWER DUCKER GEOFFREY,,https://lens.org/049-489-257-227-759,Granted Patent,no,4,3,3,3,0,B23Q35/32;;Y10T409/303528;;Y10T409/303528;;B23Q35/32,B23Q35/32,,0,0,,,,EXPIRED
5,US,B2,US 9789012 B2,092-227-914-343-274,2017-10-17,2017,US 201514634718 A,2015-02-27,US 201514634718 A;;US 201461948744 P;;US 201461946595 P,2014-02-28,Absorbent article with multi-layer folded absorbent core,"Absorbent laminates and multi-layer, folded absorbent cores comprising the absorbent laminates for use in absorbent articles are presented. Specifically, multi-layer, folded absorbent cores are presented that are formed from an absorbent laminate comprising an absorbent layer between two tissue layers, in which the absorbent core includes a central channel running longitudinally along the core and crenellations profiled along the thickness of the core and providing enhanced liquid distribution across the core surface area or profile and improved liquid absorption into the laminate.",ATTENDS HEALTHCARE PRODUCTS INC,CHMIELEWSKI HARRY;;DUCKER PAUL;;VROOMAN JACOB;;KAISER THOMAS;;SERGEANT TIM,ATTENDS HEALTHCARE PRODUCTS INC (2015-02-24),https://lens.org/092-227-914-343-274,Granted Patent,yes,14,6,15,15,0,A61F13/534;;A61F13/535;;A61F2013/530547;;A61F13/53427;;A61F13/53427;;A61F13/53409;;A61F2013/530883;;A61F2013/5355;;A61F2013/530547;;A61F13/534;;A61F13/535,A61F13/535;;A61F13/53;;A61F13/534,,2,0,,,"International Preliminary Report on Patentability for PCT/US2015/018198 issued Sep. 15, 2016.;;Extended European Search Report issued in European Application No. 15754606.0, dated Aug. 25, 2017.",ACTIVE
6,US,A1,US 2015/0245958 A1,144-968-591-270-535,2015-09-03,2015,US 201514634718 A,2015-02-27,US 201514634718 A;;US 201461948744 P;;US 201461946595 P,2014-02-28,ABSORBENT ARTICLE WITH MULTI-LAYER FOLDED ABSORBENT CORE,"Absorbent laminates and multi-layer, folded absorbent cores comprising the absorbent laminates for use in absorbent articles are presented. Specifically, multi-layer, folded absorbent cores are presented that are formed from an absorbent laminate comprising an absorbent layer between two tissue layers, in which the absorbent core includes a central channel running longitudinally along the core and crenellations profiled along the thickness of the core and providing enhanced liquid distribution across the core surface area or profile and improved liquid absorption into the laminate.",ATTENDS HEALTHCARE PRODUCTS INC,CHMIELEWSKI HARRY;;DUCKER PAUL;;VROOMAN JACOB;;KAISER THOMAS;;SERGEANT TIM,ATTENDS HEALTHCARE PRODUCTS INC (2015-02-24),https://lens.org/144-968-591-270-535,Patent Application,yes,6,58,15,15,0,A61F13/534;;A61F13/535;;A61F2013/530547;;A61F13/53427;;A61F13/53427;;A61F13/53409;;A61F2013/530883;;A61F2013/5355;;A61F2013/530547;;A61F13/534;;A61F13/535,A61F13/534,,0,0,,,,ACTIVE
7,ES,T3,ES 2819181 T3,141-270-555-721-091,2021-04-15,2021,ES 15754606 T,2015-02-27,US 201461946595 P;;US 201461948744 P;;US 2015/0018198 W,2014-02-28,Artículo absorbente con núcleo absorbente plegado de capa múltiple,"Un núcleo (200, 400, 500, 600) absorbente que comprende un laminado (100) absorbente de capa múltiple plegado longitudinalmente de al menos tres capas, comprendiendo el laminado (100) absorbente una capa (102) de laminado superior; una capa (104) de laminado inferior; y en el que una capa (106) absorbente está situada entre la capa (102) de laminado superior y la capa (104) de laminado inferior, la capa (106) absorbente comprende más del 90 por ciento en peso de polímero superabsorbente, caracterizado porque - un canal se extiende longitudinalmente a lo largo del laminado absorbente plegado; - un primer conjunto de capas de laminado está situado en un lado del canal y un segundo conjunto de capas de laminado está situado en el otro lado del canal; - una pluralidad de pasajes para líquido situada entre las capas de laminado, - algunos de los pasajes de líquido se abren hacia el canal central y algunos otros pasajes de líquido se abren hacia los lados del laminado plegado, y - bien sea los pasajes que se abren hacia el canal o los pasajes que se abren hacia los lados laminados están separados lateralmente uno de otro para formar un perfil en terraza.",ATTENDS HEALTHCARE PRODUCTS INC,CHMIELEWSKI HARRY;;DUCKER PAUL;;VROOMAN JACOB;;KAISER THOMAS A;;SERGEANT TIM,,https://lens.org/141-270-555-721-091,Granted Patent,no,0,0,15,15,0,A61F13/534;;A61F13/535;;A61F2013/530547;;A61F13/53427;;A61F13/53427;;A61F13/53409;;A61F2013/530883;;A61F2013/5355;;A61F2013/530547;;A61F13/534;;A61F13/535,A61F13/15;;A61F13/534;;A61F13/535,,0,0,,,,ACTIVE
8,WO,A3,WO 2015/131161 A3,033-352-916-802-449,2015-12-10,2015,US 2015/0018198 W,2015-02-27,US 201461948744 P;;US 201461946595 P,2014-02-28,ABSORBENT ARTICLE WITH MULTI-LAYER FOLDED ABSORBENT CORE,"Absorbent laminates and multi-layer, folded absorbent cores comprising the absorbent laminates for use in absorbent articles are presented. Specifically, multi-layer, folded absorbent cores are presented that are formed from an absorbent laminate comprising an absorbent layer between two tissue layers, in which the absorbent core includes a central channel running longitudinally along the core and crenellations profiled along the thickness of the core and providing enhanced liquid distribution across the core surface area or profile and improved liquid absorption into the laminate.",ATTENDS HEALTHCARE PRODUCTS INC,CHMIELEWSKI HARRY;;DUCKER PAUL;;VROOMAN JACOB;;KAISER THOMAS A;;SERGEANT TIM,,https://lens.org/033-352-916-802-449,Search Report,yes,5,0,15,15,0,A61F13/534;;A61F13/535;;A61F2013/530547;;A61F13/53427;;A61F13/53427;;A61F13/53409;;A61F2013/530883;;A61F2013/5355;;A61F2013/530547;;A61F13/534;;A61F13/535,A61F13/15,,0,0,,,,PENDING
9,US,B2,US 11672710 B2,080-451-302-509-422,2023-06-13,2023,US 202016864991 A,2020-05-01,US 202016864991 A;;US 201715697018 A;;US 201514634718 A;;US 201461948744 P;;US 201461946595 P,2014-02-28,Absorbent article with multi-layer folded absorbent core,"Absorbent laminates and multi-layer, folded absorbent cores comprising the absorbent laminates for use in absorbent articles are presented. Specifically, multi-layer, folded absorbent cores are presented that are formed from an absorbent laminate comprising an absorbent layer between two tissue layers, in which the absorbent core includes a central channel running longitudinally along the core and crenellations profiled along the thickness of the core and providing enhanced liquid distribution across the core surface area or profile and improved liquid absorption into the laminate.",ATTENDS HEALTHCARE PRODUCTS INC,CHMIELEWSKI HARRY;;DUCKER PAUL;;VROOMAN JACOB;;KAISER THOMAS A;;SERGEANT TIM,ATTENDS HEALTHCARE PRODUCTS INC (2015-02-24),https://lens.org/080-451-302-509-422,Granted Patent,yes,156,0,15,15,0,A61F13/534;;A61F13/535;;A61F2013/530547;;A61F13/53427;;A61F13/53427;;A61F13/53409;;A61F2013/530883;;A61F2013/5355;;A61F2013/530547;;A61F13/534;;A61F13/535,A61F13/53;;A61F13/534;;A61F13/535,,22,0,,,"Extended Search Report for EP 15754606.0 dated Aug. 25, 2017.;;International Preliminary Report on Patentability for PCT/US2015/018198 dated Sep. 15, 2016.;;International Search Report for PCT/US2015/018198 dated Jun. 4, 2015.;;Office Action issued in Corresponding Chinese Application No. 202011083750.1, dated Aug. 20, 2021 (No English translation provided).;;Extended European Search Report issued in corresponding European Patent Application No. 16747100.2, dated Jun. 4, 2018.;;Extended European Search Report Issued in Corresponding European Patent Application No. 18813262.5, dated Feb. 16, 2021.;;Extended European Search Report issued in European Application No. 15754606.0, dated Aug. 25, 2017.;;International Preliminary Report for corresponding Application No. PCT/US2014/028292, dated Sep. 15, 2015.;;International Preliminary Report for corresponding Application No. PCT/US2014/028414, dated Sep. 15, 2015.;;International Search Report and Written Opinion for Application No. PCT/US2020/046065, dated Oct. 23, 2020, 16 pages.;;International Search Report and Written Opinion for Application No. PCT/US2020/042720, dated Oct. 13, 2020, 15 pages.;;International Search Report and Written Opinion for corresponding Application No. PCT/US2014/028292, dated Aug. 11, 2014.;;International Search Report and Written Opinion for corresponding Application No. PCT/US2014/028414, dated Aug. 11, 2014.;;International Search Report and Written Opinion for corresponding Application No. PCT/US2015/029807, dated Aug. 5, 2015.;;International Search Report and Written Opinion issued in corresponding application No. PCT/US2017/066467, dated Feb. 15, 2018.;;International Search Report and Written Opinion Issued in Corresponding International Application No. PCT/US2020/015397, dated Jul. 1, 2020.;;International Search Report and Written Opinion Issued in Corresponding PCT Patent Application No. PCT/US2019/064126, dated Feb. 20, 2020.;;International Search Report and Written opinion issued in International Application No. PCT/US2019/034201, dated Sep. 9, 2019.;;International Search Report and Written Opinion issued in International Patent Application No. PCT/US2016/16142, dated Apr. 8, 2016.;;International Search Report and Written Opinion Issued in PCT Patent Application No. PCT/US2019/064136, dated Feb. 21, 2020.;;International Search Report Issued in PCT Patent Application No. PCT/US2015/018198, dated Jun. 4, 2015.;;Decision to Grant and Search Report issued in related Russian Application No. 2020142738, dated Dec. 1, 2022 (English translation).",ACTIVE
10,EP,A4,EP 3110381 A4,071-853-036-961-189,2017-09-27,2017,EP 15754606 A,2015-02-27,US 201461946595 P;;US 201461948744 P;;US 2015/0018198 W,2014-02-28,ABSORBENT ARTICLE WITH MULTI-LAYER FOLDED ABSORBENT CORE,,ATTENDS HEALTHCARE PRODUCTS INC,CHMIELEWSKI HARRY;;DUCKER PAUL;;VROOMAN JACOB;;KAISER THOMAS A;;SERGEANT TIM,,https://lens.org/071-853-036-961-189,Search Report,no,5,0,15,15,0,A61F13/534;;A61F13/535;;A61F2013/530547;;A61F13/53427;;A61F13/53427;;A61F13/53409;;A61F2013/530883;;A61F2013/5355;;A61F2013/530547;;A61F13/534;;A61F13/535,A61F13/15;;A61F13/534;;A61F13/535,,1,0,,,See also references of WO 2015131161A2,ACTIVE
