"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A1,US 2015/0332421 A1,081-408-581-861-64X,2015-11-19,2015,US 201414278799 A,2014-05-15,US 201414278799 A,2014-05-15,CONCEPTS FOR GUARANTEEING ADDED VALUE,"Various embodiments are directed to concepts for providing a guaranteed added value to a potential customer. According to various embodiments, a vendor of products and/or services may obtain customer data comprising data regarding the sought out products or services to be provided by the vendor. The vendor may identify one or more products and/or services to be offered to the potential customer, and generate a proposal to be presented to the potential customer, wherein the proposal comprises a guaranteed added value. After implementing the one or more products and/or services, the vendor may monitor the provided products and/or services to determine the added value realized by the potential customer that is at least in part attributable to the provided products and/or services. If the added value realized by the potential customer is less than the guaranteed added value, the vendor may reimburse the potential customer for the difference.",UNITED PARCEL SERVICE INC,SNYDER TODD;;FOUNTAIN BRIAN,UNITED PARCEL SERVICE OF AMERICA INC (2014-10-14),https://lens.org/081-408-581-861-64X,Patent Application,yes,3,0,1,1,0,G06Q30/06;;G06Q30/06;;G06Q40/08;;G06Q40/08;;G06Q50/188;;G06Q50/188,G06Q50/18;;G06Q30/06,,0,0,,,,DISCONTINUED
2,US,A1,US 2006/0098765 A1,059-920-075-977-370,2006-05-11,2006,US 98189304 A,2004-11-05,US 98189304 A,2004-11-05,Interference cancellation in RFID systems,"An interference canceller for a RFID reader senses a signal related to the interference signal in the receive path of the reader. The canceller outputs an adjustment signal that depends on the sensed signal, which is coupled into the receive path before a downconverter in the receive path. The canceller can use a signal derived from the transmit path in generating the adjustment signal. The canceller adjusts the amplitude or phase (or both) of the derived signal to form the adjustment signal so that it cancels a carrier feed-through interference signal when injected into the receive path. The canceller can include a vector modulator to adjust the amplitude and/or phase of the derived signal; or alternatively, the canceller can include a variable attenuator and a variable phase shifter to adjust the amplitude and/or phase of the derived signal. The loop can be continuous or non-continuous.",IMPINJ INC,THOMAS MICHAEL H;;COLLERAN WILLIAM T;;FOUNTAIN ERIK C;;HUMES TODD E,IMPINI INC (2004-12-15),https://lens.org/059-920-075-977-370,Patent Application,yes,15,107,1,1,0,H04B1/525;;H04B1/525,H04B1/38;;H03D1/04,375/346;;375/219,0,0,,,,DISCONTINUED
3,US,B2,US 9364131 B2,059-101-839-187-75X,2016-06-14,2016,US 201313855770 A,2013-04-03,US 201313855770 A;;US 201113163945 A;;US 96642010 A,2010-12-13,Rotating filter for a dishwashing machine,"A dishwasher with a tub at least partially defining a washing chamber, a liquid spraying system for spraying liquid into the washing chamber, a liquid recirculation system defining a recirculation flow path from the washing chamber to the spraying system, and a liquid filtering system. The liquid filtering system includes a rotating filter disposed in the recirculation flow path to filter the liquid.",WHIRLPOOL CO,FOUNTAIN JORDAN R;;JOZWIAK TODD M;;RAPPETTE ANTONY M;;WELCH RODNEY M,WHIRLPOOL CORPORATION (2013-03-27),https://lens.org/059-101-839-187-75X,Granted Patent,yes,103,0,11,47,0,A47L15/4206;;A47L15/4206;;A47L15/4208;;A47L15/4208;;A47L15/4219;;A47L15/4219;;A47L15/4225,A47L15/02;;A47L15/42,,14,0,,,"German Search Report for Counterpart DE102013109125, Dec. 9, 2013.;;European Search Report for EP11188106, Mar. 29, 2012.;;German Search Report for DE102010061347, Jan. 23, 2013.;;German Search Report for DE102010061215, Feb. 7, 2013.;;German Search Report for DE102010061346, Sep. 30, 2011.;;German Search Report for DE102010061343, Jul. 7, 2011.;;German Search Report for DE102011053666, Oct. 21, 2011.;;German Search Report for DE102010061342, Aug. 19, 2011.;;European Search Report for EP101952380, May 19, 2011.;;European Search Report for EP12188007, Aug. 6, 2013.;;German Search Report for DE102013103264, Jul. 12, 2013.;;German Search Report for DE102013103625, Jul. 19, 2013.;;Ishihara et al., JP 11155792 A, English Machine Translation, 1999, pp. 1-14.;;German Search Report for Counterpart DE102014101260.7, Sep. 18, 2014.",ACTIVE
4,EP,B8,EP 2556784 B8,032-505-272-654-417,2017-12-06,2017,EP 12191467 A,2011-11-07,EP 11188106 A;;US 96642010 A;;US 201113163945 A,2010-12-13,Rotating filter for a dishwashing machine,,WHIRLPOOL CO,FOUNTAIN JORDAN R;;JOZWIAK TODD M;;WELCH RODNEY M;;RAPPETTE ANTONY M,WHIRLPOOL CORPORATION (2017-11-15),https://lens.org/032-505-272-654-417,Amended Patent,yes,7,0,11,47,0,A47L15/4206;;A47L15/4206;;A47L15/4208;;A47L15/4208;;A47L15/4219;;A47L15/4219;;A47L15/4225,A47L15/42,,0,0,,,,ACTIVE
5,EP,B1,EP 2556784 B1,116-121-183-740-578,2017-10-25,2017,EP 12191467 A,2011-11-07,EP 11188106 A;;US 96642010 A;;US 201113163945 A,2010-12-13,Rotating filter for a dishwashing machine,,WHIRLPOOL CO,FOUNTAIN JORDAN R;;JOZWIAK TODD M;;WELCH RODNEY M;;RAPPETTE ANTONY M,WHIRLPOOL CORPORATION (2017-11-15),https://lens.org/116-121-183-740-578,Granted Patent,yes,7,0,11,47,0,A47L15/4219;;A47L15/4206;;A47L15/4208;;A47L15/4225;;A47L15/4219;;A47L15/4206;;A47L15/4208,A47L15/42,,0,0,,,,ACTIVE
6,EP,B1,EP 2462857 B1,169-097-318-517-29X,2018-02-21,2018,EP 11188106 A,2011-11-07,US 96642010 A;;US 201113163945 A,2010-12-13,Dishwashing machine with rotating filter,,WHIRLPOOL CO,FOUNTAIN JORDAN R;;JOZWIAK TODD M;;RAPPETTE ANTONY M;;WELCH RODNEY M,,https://lens.org/169-097-318-517-29X,Granted Patent,yes,1,0,11,47,0,A47L15/4206;;A47L15/4206;;A47L15/4208;;A47L15/4208;;A47L15/4219;;A47L15/4219;;A47L15/4225,A47L15/42,,0,0,,,,ACTIVE
7,EP,A1,EP 2462857 A1,181-629-993-102-88X,2012-06-13,2012,EP 11188106 A,2011-11-07,US 96642010 A;;US 201113163945 A,2010-12-13,Dishwashing machine with rotating filter,"A dishwasher (10) with a tub (12) at least partially defining a washing chamber (14), a liquid spraying system, a liquid recirculation system defining a recirculation flow path, and a liquid filtering system. The liquid filtering system includes a rotating filter (130) disposed in the recirculation flow path to filter the liquid.
",WHIRLPOOL CO,FOUNTAIN JORDAN R;;JOZWIAK TODD M;;RAPPETTE ANTONY M;;WELCH RODNEY M,,https://lens.org/181-629-993-102-88X,Patent Application,yes,4,4,11,47,0,A47L15/4219;;A47L15/4206;;A47L15/4208;;A47L15/4225;;A47L15/4219;;A47L15/4206;;A47L15/4208,A47L15/42,,0,0,,,,ACTIVE
8,EP,A1,EP 2556784 A1,174-078-551-179-909,2013-02-13,2013,EP 12191467 A,2011-11-07,EP 11188106 A;;US 96642010 A;;US 201113163945 A,2010-12-13,Rotating filter for a dishwashing machine,"A dishwasher (10) with a tub (12) at least partially defining a washing chamber (14), a liquid spraying system (54, 56), a liquid recirculation system (50, 34) defining a recirculation flow path, and a liquid filtering system. The liquid filtering system includes a rotating filter (708) disposed in the recirculation flow path to filter the liquid.
",WHIRLPOOL CO,FOUNTAIN JORDAN R;;JOZWIAK TODD M;;WELCH RODNEY M;;RAPPETTE ANTONY M,WHIRLPOOL CORPORATION (2017-11-15),https://lens.org/174-078-551-179-909,Patent Application,yes,7,0,11,47,0,A47L15/4206;;A47L15/4206;;A47L15/4208;;A47L15/4208;;A47L15/4219;;A47L15/4219;;A47L15/4225,A47L15/42,,0,0,,,,ACTIVE
9,US,B2,US 8627832 B2,098-750-044-791-35X,2014-01-14,2014,US 201113163945 A,2011-06-20,US 201113163945 A;;US 96642010 A,2010-12-13,Rotating filter for a dishwashing machine,"A dishwasher with a tub at least partially defining a washing chamber, a liquid spraying system, a liquid recirculation system defining a recirculation flow path, and a liquid filtering system. The liquid filtering system includes a rotating filter disposed in the recirculation flow path to filter the liquid.",FOUNTAIN JORDAN R;;JOZWIAK TODD M;;RAPPETTE ANTONY M;;WELCH RODNEY M;;WHIRLPOOL CO,FOUNTAIN JORDAN R;;JOZWIAK TODD M;;RAPPETTE ANTONY M;;WELCH RODNEY M,WHIRLPOOL CORPORATION (2011-07-01),https://lens.org/098-750-044-791-35X,Granted Patent,yes,101,36,11,47,0,A47L15/4206;;A47L15/4206;;A47L15/4208;;A47L15/4208;;A47L15/4219;;A47L15/4219;;A47L15/4225,A47L15/42,134/104.4,12,0,,,"European Search Report for EP11188106, Mar. 29, 2012.;;European Search Report for Corresponding EP 12191467.5, Dec. 5, 2012.;;German Search Report for DE102010061215, Feb. 7, 2013.;;European Search Report for EP12188007, Aug. 6, 2013.;;German Search Report for DE102013103264, Jul. 12, 2013.;;German Search Report for DE102013103625, Jul. 19, 2013.;;German Search Report for DE102010061347, Jan. 23, 2013.;;German Search Report for DE102011053666, Oct. 21, 2011.;;German Search Report for DE102010061346, Sep. 30, 2011.;;German Search Report for DE102010061343, Jul. 7, 2011.;;German Search Report for DE102010061342, Aug. 19, 2011.;;European Search Report for EP101952380, May 19, 2011.",ACTIVE
10,US,A1,US 2012/0167928 A1,158-473-341-076-733,2012-07-05,2012,US 201113163945 A,2011-06-20,US 201113163945 A;;US 96642010 A,2010-12-13,ROTATING FILTER FOR A DISHWASHING MACHINE,"A dishwasher with a tub at least partially defining a washing chamber, a liquid spraying system, a liquid recirculation system defining a recirculation flow path, and a liquid filtering system. The liquid filtering system includes a rotating filter disposed in the recirculation flow path to filter the liquid.",FOUNTAIN JORDAN R;;JOZWIAK TODD M;;RAPPETTE ANTONY M;;WELCH RODNEY M;;WHIRLPOOL CO,FOUNTAIN JORDAN R;;JOZWIAK TODD M;;RAPPETTE ANTONY M;;WELCH RODNEY M,WHIRLPOOL CORPORATION (2011-07-01),https://lens.org/158-473-341-076-733,Patent Application,yes,2,33,11,47,0,A47L15/4206;;A47L15/4206;;A47L15/4208;;A47L15/4208;;A47L15/4219;;A47L15/4219;;A47L15/4225,A47L15/02;;A47L15/42,134/111,0,0,,,,ACTIVE
