"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A1,US 2022/0062614 A1,000-078-003-296-362,2022-03-03,2022,US 201917416023 A,2019-12-20,US 201917416023 A;;US 201862783021 P;;US 2019/0067990 W,2018-12-20,CATHETER SYSTEMS AND RELATED METHODS,"A catheter system includes abase plate having a bottom surface, an outer circumferential wall, a circular flange extending inwardly from the outer circumferential wall, and an inner ring that is spaced apart from the outer circumferential wall, extends upwardly from the bottom surface, and defines a central opening in the base plate. A catheter is placed within the central opening of the base plate. A cover is placed over and secured to the base plate. The cover has a closed upper portion defining an internal chamber of the cover and a lower portion defining an opening in the cover. The lower portion includes a skirt with a flange extending outwardly around a periphery of the skirt to engage the circular flange of the base plate and form a closed reservoir. Methods of accessing cerebrospinal fluid using the catheter systems are also provided.",UNIV KENTUCKY RES FOUND,PITTMAN THOMAS;;DILLEN WILLIAM,UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION (2019-01-03),https://lens.org/000-078-003-296-362,Patent Application,yes,0,1,2,2,0,A61M39/02;;A61M39/00;;A61M27/006;;A61M25/02;;A61M39/0247;;A61M2025/0246;;A61M2039/0205;;A61M2039/025;;A61M2039/0261;;A61M2039/0273;;A61M2039/0291;;A61M2202/0464;;A61M2205/123;;A61M2210/0693,A61M39/02;;A61M25/02,,0,0,,,,PENDING
2,WO,A1,WO 2020/132529 A1,186-204-643-001-892,2020-06-25,2020,US 2019/0067990 W,2019-12-20,US 201862783021 P,2018-12-20,CATHETER SYSTEMS AND RELATED METHODS,"A catheter system includes a base plate having a bottom surface, an outer circumferential wall, a circular flange extending inwardly from the outer circumferential wall, and an inner ring that is spaced apart from the outer circumferential wall, extends upwardly from the bottom surface, and defines a central opening in the base plate. A catheter is placed within the central opening of the base plate. A cover is placed over and secured to the base plate. The cover has a closed upper portion defining an internal chamber of the cover and a lower portion defining an opening in the cover. The lower portion includes a skirt with a flange extending outwardly around a periphery of the skirt to engage the circular flange of the base plate and form a closed reservoir. Methods of accessing cerebrospinal fluid using the catheter systems are also provided.",UNIV KENTUCKY RES FOUND,PITTMAN THOMAS;;DILLEN WILLIAM,,https://lens.org/186-204-643-001-892,Patent Application,yes,4,0,2,2,0,A61M39/02;;A61M39/00;;A61M27/006;;A61M25/02;;A61M39/0247;;A61M2025/0246;;A61M2039/0205;;A61M2039/025;;A61M2039/0261;;A61M2039/0273;;A61M2039/0291;;A61M2202/0464;;A61M2205/123;;A61M2210/0693,A61M5/00;;A61M27/00;;A61M39/00;;A61M39/02,,0,0,,,,PENDING
3,US,A1,US 2009/0222982 A1,023-175-143-570-166,2009-09-10,2009,US 7506008 A,2008-03-07,US 7506008 A,2008-03-07,Swimming pool with bench seating module,"A modular occupant bench unit for use in a swimming pool formed from a plurality of contiguous modular wall panels joined end-to-end to define a pool enclosure having a vertical perimeter wall includes a vertical wall having opposite ends adapted to be joined with contiguous wall panels and being substantially coplanar with the vertical walls of the wall panels and an elongate bench protruding from the vertical wall between the top and bottom thereof into the pool substantially beyond the plane formed by the vertical wall of the pool, the upper side of the bench defining an occupant seating area and the underside being spaced from the floor of the pool. A plurality of hydrotherapy jets are spaced apart along the vertical wall above the upper side of said bench and below the water line of the swimming pool.",FOX POOL CORP,DILLEN II WILLIAM A;;SEITZ ROBERT E,FOX POOL CORPORATION (2008-03-06);;CARDINAL SYSTEMS INC (2018-12-07),https://lens.org/023-175-143-570-166,Patent Application,yes,15,2,3,3,0,E04H4/144;;E04H4/144,E04H4/14;;E04H4/00,4/496;;4/506,0,0,,,,INACTIVE
4,US,A1,US 2011/0203045 A1,111-903-751-159-779,2011-08-25,2011,US 201113066888 A,2011-04-27,US 201113066888 A;;US 7506008 A,2008-03-07,Modular stair unit for a swimming pool,"A modular stair unit for use in a swimming pool formed from a plurality of contiguous modular wall panels joined end-to-end to define a pool enclosure having a vertical perimeter wall includes a vertical wall having opposite ends adapted to be joined with contiguous wall panels and being substantially coplanar with the vertical walls of the contiguous wall panels at its joinder therewith and at least two planar steps extending downwardly and protruding from the vertical wall into the pool, the top step being recessed below the top of the vertical wall and at least one of the steps defining a seating area for supporting a person seated thereon. A plurality of hydrotherapy jets are spaced apart along the vertical wall above the seating area and below the water line of the swimming pool.",FOX POOL CORP,DILLEN II WILLIAM A;;SEITZ ROBERT E,,https://lens.org/111-903-751-159-779,Patent Application,yes,17,4,3,3,0,E04H4/144;;E04H4/144,E04H4/00,4/506,0,0,,,,DISCONTINUED
5,US,B2,US 7971286 B2,093-365-896-228-214,2011-07-05,2011,US 7506008 A,2008-03-07,US 7506008 A,2008-03-07,Swimming pool with bench seating module,"A modular occupant bench unit for use in a swimming pool formed from a plurality of contiguous modular wall panels joined end-to-end to define a pool enclosure having a vertical perimeter wall includes a vertical wall having opposite ends adapted to be joined with contiguous wall panels and being substantially coplanar with the vertical walls of the wall panels and an elongate bench protruding from the vertical wall between the top and bottom thereof into the pool substantially beyond the plane formed by the vertical wall of the pool, the upper side of the bench defining an occupant seating area and the underside being spaced from the floor of the pool. A plurality of hydrotherapy jets are spaced apart along the vertical wall above the upper side of said bench and below the water line of the swimming pool.",FOX POOL CORP,DILLEN II WILLIAM A;;SEITZ ROBERT E,FOX POOL CORPORATION (2008-03-06);;CARDINAL SYSTEMS INC (2018-12-07),https://lens.org/093-365-896-228-214,Granted Patent,yes,15,6,3,3,0,E04H4/144;;E04H4/144,E04H4/00,4/496;;4/578.1;;4/499;;4/501;;4/492;;4/511;;312/235.8,0,0,,,,INACTIVE
6,US,A1,US 2003/0070369 A1,022-722-134-014-698,2003-04-17,2003,US 97480301 A,2001-10-12,US 97480301 A,2001-10-12,Stair module support and leveling system,"
   An improvement to a stair module support system includes a flexible engagement between a post and a channel attached to the underside of a stair module. The flexible engagement enables the stair module support system to be assembled and placed into a stored configuration with each post received by a corresponding channel. The system may then be shipped to an installation site where the posts may be rotated to a deployed position without requiring further assembly or tools. 
",DILLEN WILLIAM A.;;DAHOWSKI DONALD E.;;KINNER ALLEN L.;;CRAMER MATTHEW A.;;WILLSON JAMES G.,DILLEN WILLIAM A;;DAHOWSKI DONALD E;;KINNER ALLEN L;;CRAMER MATTHEW A;;WILLSON JAMES G,QUAKER PLASTIC CORPORATION (2001-12-11),https://lens.org/022-722-134-014-698,Patent Application,yes,0,4,4,4,0,E04F21/26;;E04F21/26;;E04H4/144;;E04H4/144,E04F21/26;;E04H4/14,52/182;;52/184;;X05219,0,0,,,,EXPIRED
7,US,B2,US 6655098 B2,065-059-391-505-537,2003-12-02,2003,US 97480301 A,2001-10-12,US 97480301 A,2001-10-12,Stair module support and leveling system,"
    An improvement to a stair module support system includes a flexible engagement between a post and a channel attached to the underside of a stair module. The flexible engagement enables the stair module support system to be assembled and placed into a stored configuration with each post received by a corresponding channel. The system may then be shipped to an installation site where the posts may be rotated to a deployed position without requiring further assembly or tools. 
",QUAKER PLASTIC CORP,DILLEN II WILLIAM A;;DAHOWSKI DONALD E;;KINNER ALLEN L;;CRAMER MATTHEW A;;WILSON JAMES G,QUAKER PLASTIC CORPORATION (2001-12-11),https://lens.org/065-059-391-505-537,Granted Patent,yes,22,6,4,4,0,E04F21/26;;E04F21/26;;E04H4/144;;E04H4/144,E04F21/26;;E04H4/14,52/182;;52/183;;52/184;;248/188.9,0,0,,,,EXPIRED
8,CA,C,CA 2406345 C,121-019-116-053-145,2006-07-04,2006,CA 2406345 A,2002-10-02,US 97480301 A,2001-10-12,STAIR MODULE SUPPORT AND LEVELING SYSTEM,An improvement to a stair module support system includes a flexible engageme nt between a post and a channel attached to the underside of a stair module. Th e flexible engagement enables the stair module support system to be assembled and placed into a stored configuration with each post received by a correspondin g channel. The system may then be shipped to an installation site where the posts may b e rotated to a deployed position without requiring further assembly or tools.,QUAKER PLASTIC CORP,WILSON JAMES G;;CRAMER MATTHEW A;;KINNER ALLEN L;;DAHOWSKI DONALD E;;DILLEN WILLIAM A II,,https://lens.org/121-019-116-053-145,Granted Patent,no,0,0,4,4,0,E04F21/26;;E04F21/26;;E04H4/144;;E04H4/144,E04F11/022;;E04F21/26;;E04H4/14,,0,0,,,,EXPIRED
9,CA,A1,CA 2406345 A1,054-648-567-792-194,2003-04-12,2003,CA 2406345 A,2002-10-02,US 97480301 A,2001-10-12,STAIR MODULE SUPPORT AND LEVELING SYSTEM,An improvement to a stair module support system includes a flexible engagement between a post and a channel attached to the underside of a stair module. The flexible engagement enables the stair module support system to be assembled and placed into a stored configuration with each post received by a corresponding channel. The system may then be shipped to an installation site where the posts may be rotated to a deployed position without requiring further assembly or tool s.,QUAKER PLASTIC CORP,CRAMER MATTHEW A;;WILSON JAMES G;;DAHOWSKI DONALD E;;DILLEN WILLIAM A II;;KINNER ALLEN L,,https://lens.org/054-648-567-792-194,Patent Application,no,0,0,4,4,0,E04F21/26;;E04F21/26;;E04H4/144;;E04H4/144,E04F21/26;;E04H4/14,,0,0,,,,EXPIRED
10,CN,A,CN 116194467 A,030-761-992-804-954,2023-05-30,2023,CN 202180047593 A,2021-05-07,US 202063022373 P;;US 202063034361 P;;US 202063080643 P;;US 2021/0031432 W,2020-05-08,APRIL AND BAFF INHIBITIVE IMMUNOMODULATORS WITH AND NON T CELL INHIBITORS AND METHODS OF USE THEREOF,"In particular, provided herein are immunomodulatory proteins that exhibit neutralizing activity of BAFF and APRIL (or BAFF/APRIL heterotrimers) alone, or also coupled to inhibition of co-stimulation of T cells. Immunomodulatory proteins provided herein include variant domains of B cell maturation antigen (BCMA) alone, or multi-domain immunomodulatory proteins that inhibit B cell responses and may also inhibit T cell co-stimulation. Nucleic acid molecules encoding the immunomodulatory proteins are also provided. The immunomodulatory proteins provide therapeutic utility against a variety of immune diseases or conditions. Compositions and methods for making and using such proteins are also provided.",ALPINE IMMUNE SCIENCES INC,DILLEN STAN;;REXSON MARTIN;;EVANS LESLIE;;DEMONTE DANIEL WILLIAM;;QUILL JASON L;;PENG SHUI LI;;SWANSON RYAN,,https://lens.org/030-761-992-804-954,Patent Application,no,0,0,30,30,0,C07K14/70578;;A61P37/00;;C07K2319/30;;C07K14/70578;;C07K14/7151;;C07K2317/92;;A61K38/00;;C07K2317/76;;C07K2319/30;;C07K2319/31;;A61P37/00;;A61K2039/505;;A61K38/00;;C07K14/70578;;C07K2319/30;;A61K2039/505;;C07K14/7151;;C07K2317/76;;C07K2317/92;;C07K2319/31;;A61K47/6425;;A61P37/06;;A61K38/1774;;A61K38/1793,C07K14/705,,0,0,,,,PENDING
