"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A,US 1689199 A,079-808-232-833-430,1928-10-30,1928,US 40647720 A,1920-08-27,US 40647720 A,1920-08-27,"Feeding, cutting, rolling, and forming machine for plastic material",,SWEETS COMPANY,WILLIAM GANZ;;HENRY GANZ,,https://lens.org/079-808-232-833-430,Granted Patent,no,0,2,1,1,0,A23G3/06;;A23G3/06,A23G3/06,,0,0,,,,EXPIRED
2,US,A,US 3089587 A,000-670-972-312-344,1963-05-14,1963,US 2350660 A,1960-04-20,US 2350660 A,1960-04-20,Rolled pressure-sensitive adhesive tape,,JOHNSON & JOHNSON,WILLIAM GANZ,,https://lens.org/000-670-972-312-344,Granted Patent,no,5,1,2,3,0,B26D3/161;;B26D3/161;;B65D63/1009;;B65D63/1009;;B65H18/16;;B65H18/16;;B65H2301/4148;;B65H2301/4148;;D06H7/04;;D06H7/04,B26D3/16;;B65D63/10;;B65H18/16;;D06H7/04,,0,0,,,,EXPIRED
3,US,A,US 1592630 A,137-148-603-936-385,1926-07-13,1926,US 58973722 A,1922-09-22,US 58973722 A,1922-09-22,Lock for steering gears,,BAUER LOCK COMPANY,WILLIAM GANZ,,https://lens.org/137-148-603-936-385,Granted Patent,no,0,4,1,1,0,B60R25/0222;;B60R25/0222;;Y10T70/5819;;Y10T70/5819,B60R25/02,,0,0,,,,EXPIRED
4,CA,A,CA 703035 A,139-318-736-489-138,1965-02-02,1965,CA 703035D A,,CA 703035T A,,TAPE ROLL WITH DEPRESSED EDGE PORTIONS,,JOHNSON & JOHNSON,GANZ WILLIAM,,https://lens.org/139-318-736-489-138,Granted Patent,no,0,0,1,1,0,,,,0,0,,,,EXPIRED
5,US,A,US 1692826 A,119-718-570-853-442,1928-11-27,1928,US 19899627 A,1927-06-15,US 19899627 A,1927-06-15,Lock,,WILLIAM GANZ,WILLIAM GANZ,,https://lens.org/119-718-570-853-442,Granted Patent,no,0,35,1,1,0,B62D43/007;;B62D43/007;;Y10T70/5863;;Y10T70/5863;;Y10T70/5987;;Y10T70/5987;;Y10T70/5991;;Y10T70/5991;;Y10T70/7751;;Y10T70/7751,B62D43/00,,0,0,,,,EXPIRED
6,US,A,US 1692825 A,036-497-538-590-747,1928-11-27,1928,US 19108327 A,1927-05-13,US 19108327 A,1927-05-13,Lock,,WILLIAM GANZ,WILLIAM GANZ,,https://lens.org/036-497-538-590-747,Granted Patent,no,0,4,1,1,0,F16B41/005;;Y10S70/70;;Y10T70/5863;;Y10T70/5991;;Y10T70/5987;;Y10T70/7706;;Y10T70/5867;;Y10T70/5863;;Y10T70/5991;;Y10T70/5987;;Y10T70/7706;;Y10T70/5867;;F16B41/005;;Y10S70/70,F16B41/00,,0,0,,,,EXPIRED
7,US,A,US 1603532 A,114-717-168-507-975,1926-10-19,1926,US 58973622 A,1922-09-22,US 58973622 A,1922-09-22,Lock for steering gears,,BAUER LOCK COMPANY,WILLIAM GANZ,,https://lens.org/114-717-168-507-975,Granted Patent,no,0,2,1,1,0,B60R25/02147;;B60R25/02147;;Y10T70/5659;;Y10T70/5659;;Y10T70/577;;Y10T70/577,B60R25/02,,0,0,,,,EXPIRED
8,US,A,US 2576068 A,090-597-651-144-93X,1951-11-20,1951,US 78642447 A,1947-11-17,US 78642447 A,1947-11-17,Machine for making cotton tipped applicators,,JOHNSON & JOHNSON,WILLIAM GANZ,,https://lens.org/090-597-651-144-93X,Granted Patent,no,7,7,1,1,0,A61F13/385;;A61F13/385,A61F13/38,,0,0,,,,EXPIRED
9,US,A,US 1796517 A,040-014-463-585-518,1931-03-17,1931,US 19899527 A,1927-06-15,US 19899527 A,1927-06-15,Lock,,WILLIAM GANZ,WILLIAM GANZ,,https://lens.org/040-014-463-585-518,Granted Patent,no,0,6,1,1,0,F16B41/005;;F16B41/005;;Y10S70/70;;Y10S70/70;;Y10T70/5863;;Y10T70/5863;;Y10T70/5867;;Y10T70/5867;;Y10T70/5987;;Y10T70/5987;;Y10T70/5991;;Y10T70/5991,F16B41/00,,0,0,,,,EXPIRED
10,CA,A,CA 720709 A,103-142-916-042-04X,1965-11-02,1965,CA 720709D A,,CA 720709T A,,TAPE WINDING DEVICE AND METHOD,,JOHNSON & JOHNSON,GANZ WILLIAM,,https://lens.org/103-142-916-042-04X,Granted Patent,no,0,0,1,1,0,,,,0,0,,,,EXPIRED
