"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,US,A,US 1930196 A,129-637-458-222-139,1933-10-10,1933,US 58019331 A,1931-12-10,US 58019331 A,1931-12-10,Saliva ejector rest,,FISHER WINFIELD S,FISHER WINFIELD S,,https://lens.org/129-637-458-222-139,Granted Patent,no,0,8,1,1,0,A61C17/08;;A61C17/08,A61C17/08,,0,0,,,,EXPIRED
2,US,A,US 1641844 A,141-916-937-077-30X,1927-09-06,1927,US 10526926 A,1926-04-28,US 10526926 A,1926-04-28,Tooth-canal-filling compound,,FISHER WINFIELD S,FISHER WINFIELD S,,https://lens.org/141-916-937-077-30X,Granted Patent,no,0,14,1,1,0,A61K6/54;;A61K6/54,A61K6/00,,0,0,,,,EXPIRED
3,EP,B1,EP 3281182 B1,108-309-239-786-634,2022-02-16,2022,EP 16716193 A,2016-04-08,US 201562145924 P;;EP 2016057751 W,2015-04-10,"MOBILE, PORTABLE APPARATUS FOR AUTHENTICATING A SECURITY ARTICLE AND METHOD OF OPERATING THE PORTABLE AUTHENTICATION APPARATUS",,SICPA HOLDING SA,TALWERDI MEHDI;;FISHER WINFIELD,SICPA HOLDING SA (2022-02-16),https://lens.org/108-309-239-786-634,Granted Patent,yes,1,0,16,16,0,G06F21/32;;G06F21/33;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G07C9/257;;G06F21/32;;G06F21/33;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G07D13/00;;G07C9/257;;Y04S40/20;;G07C9/00;;G06F21/32;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G06F21/33;;G07D13/00;;G07C9/257;;G07C9/26;;G06F21/34,G07C9/25;;G06F21/32;;G06F21/33;;G06F21/86;;G07D13/00,,0,0,,,,ACTIVE
4,EP,A1,EP 3281182 A1,119-237-329-501-339,2018-02-14,2018,EP 16716193 A,2016-04-08,US 201562145924 P;;EP 2016057751 W,2015-04-10,"MOBILE, PORTABLE APPARATUS FOR AUTHENTICATING A SECURITY ARTICLE AND METHOD OF OPERATING THE PORTABLE AUTHENTICATION APPARATUS",,SICPA HOLDING SA,TALWERDI MEHDI;;FISHER WINFIELD,SICPA HOLDING SA (2022-02-16),https://lens.org/119-237-329-501-339,Patent Application,yes,0,1,16,16,0,G06F21/32;;G06F21/33;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G07C9/257;;G06F21/32;;G06F21/33;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G07D13/00;;G07C9/257;;Y04S40/20;;G07C9/00;;G06F21/32;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G06F21/33;;G07D13/00;;G07C9/257;;G07C9/26;;G06F21/34,G07C9/00;;G06F21/32;;G06F21/34,,0,0,,,,ACTIVE
5,CA,A1,CA 2978660 A1,017-688-485-657-516,2016-10-13,2016,CA 2978660 A,2016-04-08,US 201562145924 P;;EP 2016057751 W,2015-04-10,"MOBILE, PORTABLE APPARATUS FOR AUTHENTICATING A SECURITY ARTICLE AND METHOD OF OPERATING THE PORTABLE AUTHENTICATION APPARATUS","A mobile, portable apparatus for authenticating, verification and certification of a security article, the apparatus comprising an enclosure securely housing components of the apparatus; an authentication device operable to authenticate the security article; a power source, preferably of solar type, different type of batteries, uninterruptable power supply, different type of charging facilities and/or any source of energy; an imaging device for simultaneously imaging in opposing and/or multiple directions; a programmable and configurable control panel; an information processing unit; and a printing device for printing and/or special marking on the security article, wherein the imaging device is portably coupled to the authentication device; and wherein the control panel is arranged as an interface command and control center connected to the information processing unit and the other components of the apparatus. The method involves determining whether a registered operator of the portable authentication apparatus is verified; and permitting access to an authentication device of the portable authentication apparatus if the registered operator is verified. The system includes the portable authentication apparatus; and a remote server operable to communicate with the portable authentication apparatus.",SICPA HOLDING SA,TALWERDI MEHDI;;FISHER WINFIELD,,https://lens.org/017-688-485-657-516,Patent Application,no,0,0,16,16,0,G06F21/32;;G06F21/33;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G07C9/257;;G06F21/32;;G06F21/33;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G07D13/00;;G07C9/257;;Y04S40/20;;G07C9/00;;G06F21/32;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G06F21/33;;G07D13/00;;G07C9/257;;G07C9/26;;G06F21/34,G06F21/31;;G06F21/86;;G07C9/00,,0,0,,,,PENDING
6,RU,C2,RU 2703124 C2,153-291-402-212-18X,2019-10-15,2019,RU 2017138113 A,2016-04-08,US 201562145924 P;;EP 2016057751 W,2015-04-10,MOBILE PORTABLE DEVICE FOR AUTHENTICATING SECURE ARTICLE AND METHOD OF OPERATING PORTABLE AUTHENTICATION DEVICE,"FIELD: physics.SUBSTANCE: mobile portable device for authentication, verification and certification of a secure article, comprising a housing in which components of the device are safely enclosed; authentication means configured to authenticate the security article; power supply, preferably using solar energy, different types of batteries, uninterruptible power supply, various types of charging devices and/or any power source; image forming means for simultaneous formation of images in opposite and/or several directions; programmable and configurable control panel; information processing unit and printing device for printing and/or special marking of protected article; wherein the image forming apparatus is portably connected to the authentication means; and wherein the control panel is provided as an interface command, and the control center is connected to the information processing unit and other components of the device. Method includes determining whether a registered operator of a portable device has passed verification; and providing access to an authentication means contained in the portable authentication device if the registered operator has been verified.EFFECT: system comprises a portable device for authentication and a remote server configured to communicate with a portable authentication device.16 cl, 13 dwg",SICPA HOLDING SA,TALWERDI MEHDI;;FISHER WINFIELD,,https://lens.org/153-291-402-212-18X,Granted Patent,no,4,0,16,16,0,G06F21/32;;G06F21/33;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G07C9/257;;G06F21/32;;G06F21/33;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G07D13/00;;G07C9/257;;Y04S40/20;;G07C9/00;;G06F21/32;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G06F21/33;;G07D13/00;;G07C9/257;;G07C9/26;;G06F21/34,G07C9/00,,0,0,,,,ACTIVE
7,UA,C2,UA 123007 C2,192-297-626-997-766,2021-02-03,2021,UA A201710865 A,2016-04-08,US 201562145924 P;;EP 2016057751 W,2015-04-10,"MOBILE, PORTABLE APPARATUS FOR AUTHENTICATING A SECURITY ARTICLE AND METHOD OF OPERATING THE PORTABLE AUTHENTICATION APPARATUS","A mobile, portable apparatus for authenticating, verification and certification of a security article, the apparatus comprising an enclosure securely housing components of the apparatus; an authentication device operable to authenticate the security article; a power source, preferably of solar type, different type of batteries, uninterruptable power supply, different type of charging facilities and/or any source of energy; an imaging device for simultaneously imaging in opposing and/or multiple directions; a programmable and configurable control panel; an information processing unit; and a printing device for printing and/or special marking on the security article, wherein the imaging device is portably coupled to the authentication device; and wherein the control panel is arranged as an interface command and control center connected to the information processing unit and the other components of the apparatus. The method involves determining whether a registered operator of the portable authentication apparatus is verified; and permitting access to an authentication device of the portable authentication apparatus if the registered operator is verified. The system includes the portable authentication apparatus; and a remote server operable to communicate with the portable authentication apparatus.",SICPA HOLDING SA,TALWERDI MEHDI;;FISHER WINFIELD,,https://lens.org/192-297-626-997-766,Limited Patent,no,0,0,16,16,0,G06F21/32;;G06F21/33;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G07C9/257;;G06F21/32;;G06F21/33;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G07D13/00;;G07C9/257;;Y04S40/20;;G07C9/00;;G06F21/32;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G06F21/33;;G07D13/00;;G07C9/257;;G07C9/26;;G06F21/34,,,0,0,,,,ACTIVE
8,MY,A,MY 188552 A,131-026-181-288-950,2021-12-22,2021,MY PI2017703245 A,2016-04-08,EP 2016057751 W;;US 201562145924 P,2015-04-10,"MOBILE, PORTABLE APPARATUS FOR AUTHENTICATING A SECURITY ARTICLE AND METHOD OF OPERATING THE PORTABLE AUTHENTICATION APPARATUS","A mobile, portable apparatus (10) for authenticating, verification and certification of a security article, the apparatus (10) comprising an enclosure securely housing components of the apparatus (10); an authentication device operable to authenticate the security article; a power source, preferably of solar type, different type of batteries, uninterruptable power supply, different type of charging facilities and/or any source of energy; an imaging device for simultaneously imaging in opposing and/or multiple directions; a programmable and configurable control panel (72); an information processing unit; and a printing device for printing and/or special marking on the security article, wherein the imaging device is portably coupled to the authentication device; and wherein the control panel (72) is arranged as an interface command and control center connected to the information processing unit and the other components of the apparatus (10). The method involves determining whether a registered operator of the portable authentication apparatus (10) is verified; and permitting access to an authentication device of the portable authentication apparatus (10) if the registered operator is verified. The system includes the portable authentication apparatus (10); and a remote server operable to communicate with the portable authentication apparatus (10).",SICPA HOLDING SA,TALWERDI MEHDI;;FISHER WINFIELD,,https://lens.org/131-026-181-288-950,Granted Patent,no,0,0,16,16,0,G06F21/32;;G06F21/33;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G07C9/257;;G06F21/32;;G06F21/33;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G07D13/00;;G07C9/257;;Y04S40/20;;G07C9/00;;G06F21/32;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G06F21/33;;G07D13/00;;G07C9/257;;G07C9/26;;G06F21/34,,,0,0,,,,ACTIVE
9,CN,A,CN 107438851 A,156-523-719-594-373,2017-12-05,2017,CN 201680021161 A,2016-04-08,US 201562145924 P;;EP 2016057751 W,2015-04-10,"MOBILE, PORTABLE APPARATUS FOR AUTHENTICATING A SECURITY ARTICLE AND METHOD OF OPERATING THE PORTABLE AUTHENTICATION APPARATUS","A mobile, portable apparatus for authenticating, verification and certification of a security article, the apparatus comprising an enclosure securely housing components of the apparatus; an authentication device operable to authenticate the security article; a power source, preferably of solar type, different type of batteries, uninterruptable power supply, different type of charging facilities and/or any source of energy; an imaging device for simultaneously imaging in opposing and/or multiple directions; a programmable and configurable control panel; an information processing unit; and a printing device for printing and/or special marking on the security article, wherein the imaging device is portably coupled to the authentication device; and wherein the control panel is arranged as an interface command and control center connected to the information processing unit and the other components of the apparatus. The method involves determining whether a registered operator of the portable authentication apparatus is verified; and permitting access to an authentication device of the portable authentication apparatus if the registered operator is verified. The system includes the portable authentication apparatus; and a remote server operable to communicate with the portable authentication apparatus.",SICPA HOLDING SA,TALWERDI MEHDI;;FISHER WINFIELD,,https://lens.org/156-523-719-594-373,Patent Application,no,9,1,16,16,0,G06F21/32;;G06F21/33;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G07C9/257;;G06F21/32;;G06F21/33;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G07D13/00;;G07C9/257;;Y04S40/20;;G07C9/00;;G06F21/32;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G06F21/33;;G07D13/00;;G07C9/257;;G07C9/26;;G06F21/34,G06F21/86;;G06F21/32;;G06F21/33;;G07C9/00,,0,0,,,,ACTIVE
10,US,A1,US 2018/0121643 A1,051-305-763-888-499,2018-05-03,2018,US 201615569688 A,2016-04-08,US 201615569688 A;;US 201562145924 P;;EP 2016057751 W,2015-04-10,"MOBILE, PORTABLE APPARATUS FOR AUTHENTICATING A SECURITY ARTICLE AND METHOD OF OPERATING THE PORTABLE AUTHENTICATION APPARATUS","A mobile, portable apparatus for authenticating, verification and certification of a security article, the apparatus comprising an enclosure securely housing components of the apparatus; an authentication device operable to authenticate the security article; a power source, preferably of solar type, different type of batteries, uninterruptable power supply, different type of charging facilities and/or any source of energy; an imaging device for simultaneously imaging in opposing and/or multiple directions; a programmable and configurable control panel; an information processing unit; and a printing device for printing and/or special marking on the security article, wherein the imaging device is portably coupled to the authentication device; and wherein the control panel is arranged as an interface command and control center connected to the information processing unit and the other components of the apparatus. The method involves determining whether a registered operator of the portable authentication apparatus is verified; and permitting access to an authentication device of the portable authentication apparatus if the registered operator is verified. The system includes the portable authentication apparatus; and a remote server operable to communicate with the portable authentication apparatus.",SICPA HOLDING SA,TALWERDI MEHDI;;FISHER WINFIELD,SICPA HOLDING SA (2017-08-30),https://lens.org/051-305-763-888-499,Patent Application,yes,9,49,16,16,0,G06F21/32;;G06F21/33;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G07C9/257;;G06F21/32;;G06F21/33;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G07D13/00;;G07C9/257;;Y04S40/20;;G07C9/00;;G06F21/32;;G06F21/86;;G06F2221/2111;;G06F2221/2143;;G06F21/33;;G07D13/00;;G07C9/257;;G07C9/26;;G06F21/34,G06F21/34;;G06F21/32;;G06F21/86;;G07C9/00,,0,0,,,,ACTIVE
