"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,WO,A1,WO 2020/201218 A1,184-985-905-771-646,2020-10-08,2020,EP 2020058968 W,2020-03-30,FR 1903682 A,2019-04-05,DRY-TYPE VACUUM PUMP AND PUMPING INSTALLATION,"The present invention relates to a dry-type vacuum pump (1) comprising an ancillary stator (13) at least traversed by one of the shafts (4); - a suction pipe (14) provided with a controllable inlet valve (15), connecting an inlet (17) of the ancillary stator (13) to a pumping stage (3f) communicating with the discharge portion (8) of the vacuum pump (1); and - at least one ancillary rotor (16) supported by said shaft (4), said ancillary rotor (16) being configured so that the rotation thereof in the ancillary stator (13) causes a gas to be pumped between the inlet (17) and an outlet (18) of the ancillary stator (13) in order to lower the pressure in the pumping stage (3f) when the controllable inlet valve (15) is commanded to open. The invention also relates to a pumping installation comprising an airlock connected to a vacuum pump (1).",PFEIFFER VACUUM,GRENIER YANNICK,,https://lens.org/184-985-905-771-646,Patent Application,yes,3,2,10,10,0,F04C25/02;;F04C2220/12;;F04C23/005;;F04C23/001;;F04C18/126;;F04C18/123;;F04C18/3442;;F04C18/18;;F04C28/26;;F04C25/02;;F04C18/18;;F04C18/123;;F04C18/344;;F04C23/001;;F04C28/26;;F04C2220/12,F04C18/12;;F04C18/18;;F04C18/344;;F04C23/00;;F04C25/02;;F04C28/26,,0,0,,,,PENDING
2,FR,A1,FR 3094762 A1,161-731-736-312-988,2020-10-09,2020,FR 1903682 A,2019-04-05,FR 1903682 A,2019-04-05,Pompe à vide de type sèche et installation de pompage,"La présente invention concerne une pompe à vide (1) de type sèche comportant un stator annexe (13) traversé au moins par un des arbres (4), - une canalisation d’aspiration (14) munie d’une vanne d’entrée pilotable (15), reliant une entrée (17) du stator annexe (13) à un étage de pompage (3f) communiquant avec le refoulement (8) de la pompe à vide (1), et - au moins un rotor annexe (16) porté par ledit arbre (4), ledit rotor annexe (16) étant configuré pour que sa rotation dans le stator annexe (13) entraine un gaz à pomper entre l’entrée (17) et une sortie (18) du stator annexe (13) pour abaisser la pression dans l’étage de pompage (3f) lorsque la vanne d’entrée pilotable (15) est commandée en ouverture. L’invention se rapporte également à une installation de pompage comportant un sas relié à une pompe à vide (1).Figure à publier avec l’abrégé : Fig. 2",PFEIFFER VACUUM,GRENIER YANNICK,,https://lens.org/161-731-736-312-988,Patent Application,no,3,0,10,10,0,F04C25/02;;F04C2220/12;;F04C23/005;;F04C23/001;;F04C18/126;;F04C18/123;;F04C18/3442;;F04C18/18;;F04C28/26;;F04C25/02;;F04C18/18;;F04C18/123;;F04C18/344;;F04C23/001;;F04C28/26;;F04C2220/12,F04C25/02;;F04C18/12;;F04C23/00,,0,0,,,,ACTIVE
3,TW,A,TW 202041784 A,112-993-377-056-427,2020-11-16,2020,TW 109108015 A,2020-03-11,FR 1903682 A,2019-04-05,Dry type vacuum pump and pumping installation,"The present invention concerns a dry type vacuum pump (1) including an auxiliary stator (13) through which at least one of the shafts (4) passes, - an inlet passage (14) provided with a controllable inlet valve (15), connecting an inlet (17) of the auxiliary stator (13) to a pumping stage (3f) communicating with the outlet (8) of the vacuum pump (1), and - at least one auxiliary rotor (16) carried by said shaft (4), said auxiliary rotor (16) being configured so that its rotation in the auxiliary stator (13) drives a gas to be pumped between the inlet (17) and an outlet (18) of the auxiliary stator (13) to lower the pressure in the pumping stage (3f) when the controllable inlet valve (15) is commanded to open. The invention also relates to a pumping installation including a loadlock connected to a vacuum pump (1).",PFEIFFER VACUUM,GRENIER YANNICK,,https://lens.org/112-993-377-056-427,Patent of Addition,no,0,0,10,10,0,F04C25/02;;F04C2220/12;;F04C23/005;;F04C23/001;;F04C18/126;;F04C18/123;;F04C18/3442;;F04C18/18;;F04C28/26;;F04C25/02;;F04C18/18;;F04C18/123;;F04C18/344;;F04C23/001;;F04C28/26;;F04C2220/12,F04C25/02;;F04B9/12;;H02K11/24,,0,0,,,,PENDING
4,FR,B1,FR 3094762 B1,000-545-806-708-578,2021-04-09,2021,FR 1903682 A,2019-04-05,FR 1903682 A,2019-04-05,Pompe à vide de type sèche et installation de pompage,"La présente invention concerne une pompe à vide (1) de type sèche comportant un stator annexe (13) traversé au moins par un des arbres (4), - une canalisation d’aspiration (14) munie d’une vanne d’entrée pilotable (15), reliant une entrée (17) du stator annexe (13) à un étage de pompage (3f) communiquant avec le refoulement (8) de la pompe à vide (1), et - au moins un rotor annexe (16) porté par ledit arbre (4), ledit rotor annexe (16) étant configuré pour que sa rotation dans le stator annexe (13) entraine un gaz à pomper entre l’entrée (17) et une sortie (18) du stator annexe (13) pour abaisser la pression dans l’étage de pompage (3f) lorsque la vanne d’entrée pilotable (15) est commandée en ouverture. L’invention se rapporte également à une installation de pompage comportant un sas relié à une pompe à vide (1).Figure à publier avec l’abrégé : Fig. 2",PFEIFFER VACUUM,GRENIER YANNICK,,https://lens.org/000-545-806-708-578,Granted Patent,no,0,0,10,10,0,F04C25/02;;F04C2220/12;;F04C23/005;;F04C23/001;;F04C18/126;;F04C18/123;;F04C18/3442;;F04C18/18;;F04C28/26;;F04C25/02;;F04C18/18;;F04C18/123;;F04C18/344;;F04C23/001;;F04C28/26;;F04C2220/12,F04C25/02;;F04C18/12;;F04C23/00,,0,0,,,,ACTIVE
5,DE,T5,DE 112020001762 T5,051-917-438-349-616,2022-01-05,2022,DE 112020001762 T,2020-03-30,FR 1903682 A;;EP 2020058968 W,2019-04-05,Trockenvakuumpumpe und Pumpanlage,"Die vorliegende Erfindung betrifft eine Trockenvakuumpumpe (1), einen Zusatzstator (13) aufweisend, durch den sich mindestens eine der Wellen (4) erstreckt,- einen Einlasskanal (14), der mit einem steuerbaren Eingangsventil (15) versehen ist und einen Eingang (17) des Zusatzstators (13) mit einer Pumpstufe (3f) verbindet, die mit dem Ausgang (8) der Vakuumpumpe (1) in Verbindung steht, und- mindestens einen Zusatzrotor (16), der von der Welle (4) getragen wird, wobei der Zusatzrotor (16) so konfiguriert ist, dass seine Drehung in dem Zusatzstator (13) ein zu pumpendes Gas zwischen den Eingang (17) und einen Ausgang (18) des Zusatzstators (13) fördert, um den Druck in der Pumpstufe (3f) abzusenken, wenn das steuerbare Eingangsventil (15) zum Öffnen angesteuert wird.Die Erfindung betrifft auch eine Pumpanlage, die eine mit einer Vakuumpumpe (1) verbundene Ladeschleuse aufweist.",PFEIFFER VACUUM SAS,GRENIER YANNICK,,https://lens.org/051-917-438-349-616,Patent Application,no,0,0,10,10,0,F04C25/02;;F04C2220/12;;F04C23/005;;F04C23/001;;F04C18/126;;F04C18/123;;F04C18/3442;;F04C18/18;;F04C28/26;;F04C25/02;;F04C18/18;;F04C18/123;;F04C18/344;;F04C23/001;;F04C28/26;;F04C2220/12,F04C25/02;;F04C18/12;;F04C28/26,,0,0,,,,PENDING
6,CN,A,CN 113574277 A,151-077-726-718-515,2021-10-29,2021,CN 202080021803 A,2020-03-30,FR 1903682 A;;EP 2020058968 W,2019-04-05,DRY-TYPE VACUUM PUMP AND PUMPING INSTALLATION,"The present invention relates to a dry-type vacuum pump (1) comprising an ancillary stator (13) at least traversed by one of the shafts (4); a suction pipe (14) provided with a controllable inlet valve (15), connecting an inlet (17) of the ancillary stator (13) to a pumping stage (3f) communicating with the discharge portion (8) of the vacuum pump (1); and at least one ancillary rotor (16) supported by said shaft (4), said ancillary rotor (16) being configured so that the rotation thereof in the ancillary stator (13) causes a gas to be pumped between the inlet (17) and an outlet (18) of the ancillary stator (13) in order to lower the pressure in the pumping stage (3f) when the controllable inlet valve (15) is commanded to open. The invention also relates to a pumping installation comprising an airlock connected to a vacuum pump (1).",ADIXEN VACUUM PRODUCTS,GRENIER YANNICK,,https://lens.org/151-077-726-718-515,Patent Application,no,5,0,10,10,0,F04C25/02;;F04C2220/12;;F04C23/005;;F04C23/001;;F04C18/126;;F04C18/123;;F04C18/3442;;F04C18/18;;F04C28/26;;F04C25/02;;F04C18/18;;F04C18/123;;F04C18/344;;F04C23/001;;F04C28/26;;F04C2220/12,F04C18/12;;F04C18/18;;F04C18/344;;F04C23/00;;F04C25/02;;F04C28/26,,0,0,,,,ACTIVE
7,FR,B3,FR 3111958 B3,140-713-970-567-953,2022-07-15,2022,FR 2006703 A,2020-06-26,FR 2006703 A,2020-06-26,"Dispositif, procédé de surveillance de dépôts et pompe à vide","Dispositif de surveillance (1) de dépôts dans un conduit de refoulement (9) caractérisé en ce qu’il comporte :- un capteur de pression (10) permettant de mesurer au moins une différence de pression dans le conduit de refoulement (9) entre une pression amont dans un emplacement amont (11) et une pression aval dans un emplacement aval (12) dans la direction de pompage des gaz (F), et - une unité de traitement (14) configurée pour déterminer la présence de dépôt entre les emplacements amont et aval (11, 12) en fonction de la comparaison de la différence de pression mesurée avec au moins un seuil prédéterminé. Figure d’abrégé : Figure 1",PFEIFFER VACUUM,GRENIER YANNICK;;DECORDE PAUL,,https://lens.org/140-713-970-567-953,Limited Patent,no,0,0,2,2,0,F04C29/06;;F04C2220/12;;F04C2280/02;;F04C25/02;;F04C23/001;;F04C2240/81;;F04C28/28;;F04C29/0092;;F04C2270/215;;F04D19/04;;F04D29/701;;F05D2260/607,F04C29/00;;F04C18/12;;F04D19/04;;F04D29/00,,0,0,,,,ACTIVE
8,CN,A,CN 114008325 A,067-277-421-229-261,2022-02-01,2022,CN 202080044689 A,2020-05-15,FR 1906546 A;;EP 2020063590 W,2019-06-18,DRY ROUGH VACUUM PUMP AND METHOD FOR CONTROLLING THE INJECTION OF A PURGING GAS,"The invention relates to a dry rough vacuum pump (1) comprising an injection device (9) designed to distribute a purging gas in the pumping stages (2a-2e), the injection device (9) comprising: - a first pressure sensor (12) arranged on a common portion (15) of the distributor (10); - a second pressure sensor (13a-13e) arranged on each branch (16a-16e) of the distributor (10); and - a control unit (14) designed to generate a control signal by pulse width modulation to control the regulation valves (11a-11e) independently of each other as a function of the pressure measurement differences between the first pressure sensor (12) and the second pressure sensors (13a-13e).",ADIXEN VACUUM PRODUCTS,DECORDE PAUL;;GRENIER YANNICK,,https://lens.org/067-277-421-229-261,Patent Application,no,4,0,9,9,0,F04C25/02;;F04C2220/12;;F04C23/001;;F04C2280/02;;F04C2270/185;;F04C2240/81;;F04C2270/585;;F04C18/126;;F04C18/123;;F04C18/16;;F04C23/001;;F04C25/02;;F04C18/126;;F04C18/123;;F04C18/16;;F04C2220/12;;F04C2240/81;;F04C2270/185;;F04C2270/585;;F04C2280/02;;F04C18/16;;F04C23/001;;F04C25/02,F04C23/00;;F04C18/12;;F04C18/16;;F04C25/02,,0,0,,,,PENDING
9,US,A1,US 2022/0372979 A1,067-924-416-139-884,2022-11-24,2022,US 202017619394 A,2020-05-15,FR 1906546 A;;EP 2020063590 W,2019-06-18,DRY-TYPE PRIMARY VACUUM PUMP AND METHOD FOR CONTROLLING THE INJECTION OF A PURGING GAS,"A dry-type primary vacuum pump includes an injection device to distribute a purging gas in the pumping stages. The injection device includes: a first pressure sensor arranged on a common portion of the distributor, a second pressure sensor arranged on each branch of the distributor, and a control unit to generate a pulse width modulation command signal for the control of the regulation valves independently of one another as a function of the pressure measurement differences between the first pressure sensor and the second pressure sensors.",PFEIFFER VACUUM,DECORDE PAUL;;GRENIER YANNICK,PFEIFFER VACUUM (2021-11-17),https://lens.org/067-924-416-139-884,Patent Application,yes,4,0,9,9,0,F04C25/02;;F04C2220/12;;F04C23/001;;F04C2280/02;;F04C2270/185;;F04C2240/81;;F04C2270/585;;F04C18/126;;F04C18/123;;F04C18/16;;F04C23/001;;F04C25/02;;F04C18/126;;F04C18/123;;F04C18/16;;F04C2220/12;;F04C2240/81;;F04C2270/185;;F04C2270/585;;F04C2280/02;;F04C18/16;;F04C23/001;;F04C25/02,F04C23/00;;F04C18/16;;F04C25/02,,0,0,,,,ACTIVE
10,FR,A1,FR 3097599 A1,095-099-443-318-907,2020-12-25,2020,FR 1906546 A,2019-06-18,FR 1906546 A,2019-06-18,Pompe à vide primaire de type sèche et procédé de contrôle de l’injection d’un gaz de purge,"L’invention concerne une pompe à vide (1) primaire de type sèche comportant un dispositif d’injection (9) configuré pour distribuer un gaz de purge dans les étages de pompage (2a-2e), le dispositif d’injection (9) comportant :o un premier capteur de pression (12) agencé sur une portion commune (15) du distributeur (10),o un deuxième capteur de pression (13a-13e) agencé sur chaque branche (16a-16e) du distributeur (10), et o une unité de contrôle (14) configurée pour générer un signal de commande par modulation de largeur d’impulsions pour le contrôle des vannes de régulation (11a-11e) indépendamment les unes des autres en fonction des différences de mesure de pression entre le premier capteur de pression (12) et les deuxièmes capteurs de pression (13a-13e). Figure pour l’abrégé : Fig. 1",PFEIFFER VACUUM,DECORDE PAUL;;GRENIER YANNICK,,https://lens.org/095-099-443-318-907,Patent Application,no,4,2,9,9,0,F04C25/02;;F04C2220/12;;F04C23/001;;F04C2280/02;;F04C2270/185;;F04C2240/81;;F04C2270/585;;F04C18/126;;F04C18/123;;F04C18/16;;F04C23/001;;F04C25/02;;F04C18/126;;F04C18/123;;F04C18/16;;F04C2220/12;;F04C2240/81;;F04C2270/185;;F04C2270/585;;F04C2280/02;;F04C18/16;;F04C23/001;;F04C25/02,F04C25/02;;F04C18/12;;F04C23/00,,0,0,,,,ACTIVE
